,BAS_ID,IntHH_RI,IntHH_R2_RI,IntHH_R3_RI,IntHH_R5_RI,IntTekl_RI,IntTekl_R2_RI,IntTekl_R3_RI,IntTekl_R5_RI
0,21300,577.8532084638782,9104.257303287364,7337.753539023491,5798.557907426881,4924.972983004878,2812.9975588216275,3965.556094302588,4117.201560986152
1,21301,188.54734020050776,3087.4562903563256,2470.0671127016763,1925.5957775451784,1574.004687125818,1533.6219805422834,1391.7948932317597,1362.3436011302065
2,21302,298.8894002208611,4442.7882501715285,3532.751413576749,2761.022633992726,2133.350640685241,2016.7274696518116,1897.7706142319485,1884.2758301865765
3,21303,409.52695911097,6691.973979973914,5217.699393561673,4075.328124590063,2931.6212903814435,2699.004208087166,2681.0846055153897,2664.2344682916196
4,21304,181.80139590397272,2853.9421031687634,2202.9108353769234,1703.659839356197,1225.259300978437,1269.314776859125,1132.8679100144666,1105.9190295835567
5,21305,410.10292610740623,5392.676610750193,4343.474116937171,3473.569288829151,2699.5445449741833,2182.7475104745613,2313.0405622553135,2364.19754395802
6,21306,568.5500478684097,8521.721988313348,6777.202497838697,5332.79685602701,4109.1140575261925,3747.265636036,3650.7378710685634,3629.7082069867424
7,21307,468.5913388235248,6856.758386008268,5456.294110746528,4297.166548784507,3294.282048259951,2835.2716046248606,2921.867422435792,2915.462567713411
8,21308,422.1589402030955,5909.768094728449,4662.364239986963,3673.2403670919534,2703.9419488798308,2308.9902619486593,2397.0409624956974,2424.46604673155
9,21309,265.9223979818201,4316.0360609562495,3233.1597437759315,2447.7683554869323,1672.2970923057887,1822.4457698844835,1597.100626014653,1535.437331277177
10,21310,328.84417163951093,5328.35776614782,4352.563443689888,3474.750494707978,2723.7877866371473,2568.73622176514,2407.251957584754,2388.545806561796
11,21311,251.69689320094517,3591.635198536023,2886.5399129908683,2297.597681274795,1702.55363660687,1579.5681394597732,1534.4621490427908,1529.3849018316332
12,21312,345.87606922455427,4920.30102269431,3934.097231261168,3105.1068624552468,2257.3674677521576,2302.4115079285034,2086.7301701638607,2052.3852108891356
13,21313,308.5003629056902,3835.554261246607,3103.218716570486,2457.7741847638,2038.784881058148,1649.3967850428978,1701.7871447750051,1733.819766349813
14,21314,412.3139397478917,7061.927629779118,5306.882648339437,4104.768072141348,2822.8681332091724,3196.857022367473,2693.9130851298128,2610.0601046755496
15,21315,423.43940861775525,7202.4354619837495,5418.682710702976,4168.580636658868,2901.811056596331,3294.8633716299814,2764.8864231163975,2673.2470494770555
16,21316,454.1014190453288,7038.380378178571,5640.503779995452,4424.163905993892,3526.928829649318,3273.9951937295723,3119.1090405888353,3082.5955527376036
17,21317,428.6556744812914,7018.707802579505,5553.756963901281,4341.1022971769635,3356.4505280119697,3216.0443080486266,3023.212852007923,2980.171069855555
18,21318,608.4175395246352,9674.765665457626,7687.352290629897,6066.724938031037,4506.7970129968635,4310.600281943843,4094.278413283103,4055.4933161681824
19,21319,231.50171327021465,3779.6692547491966,2936.7715173015067,2296.704232679431,1715.6371139258486,1797.263971790899,1577.9437735077054,1537.2796736755179
20,21320,240.02865891350598,3875.8066815747848,3046.8846860063195,2427.975959660684,1572.008311548639,1789.8408439119125,1543.6209500843945,1502.1897356096395
21,21321,422.6615827060281,6653.915639223025,5262.456914111,4146.59338199648,3034.4851395474725,3123.2069082065586,2803.8306174339805,2754.2631958013176
22,21322,332.2373784552523,3436.9575208670713,2796.398169777467,2282.4929206577585,1752.0120152159425,1673.8284369414534,1587.0615017174089,1594.0824066600267
23,21323,185.74635473286907,3344.0808835655766,2556.4911907007076,2007.755678553661,1239.2544554400602,1467.071993596705,1248.8395982100383,1203.0881378643394
24,21324,30.18883460508629,374.71525462778783,313.74996628406257,249.09440973883034,195.72109708152226,198.5451146414286,178.06876680409152,171.76865359375583
25,21325,170.74774523230022,2365.3224804090546,1850.381357722479,1425.706776987772,1095.6294846204082,1158.5958046733415,993.5880048624678,963.8911280838225
26,21326,24.46532751464398,1417.1964749092995,1195.5526776055324,977.6096025036843,859.6780116833892,155.26650478236684,594.5641349981878,674.3889489570932
27,21327,104.71547570368737,1576.3617777531522,1196.7547153816831,911.1860815741551,687.7570027982321,729.0770576251821,622.5352540918849,605.350218008018
28,21328,72.71836185092766,897.6145422991577,731.6506601352667,588.2401449670317,482.4640425903673,476.1787378501014,421.19885299893343,417.031018327184
29,21329,160.0985120033548,2295.6831678527915,1865.7409464088519,1498.5609839204142,1119.3079212852808,1131.8219426481146,1024.1140409701106,1013.7305620812081
30,21330,139.19172146333975,1931.7420376920734,1551.5658682696258,1229.9366337157915,973.7657419205638,1016.8508385104154,880.784487276849,859.6804465827706
31,21331,196.1556505896973,2937.4254983544984,2235.6859390492978,1732.222478651149,1291.3134517042952,1421.8306231851527,1191.0886579012065,1152.6817422555575
32,21332,93.19386976611557,1374.490001158558,1063.7788809392805,817.7664346881463,598.3194601313073,649.8873592044974,553.5926034470825,537.060305370475
33,21333,218.23881760806975,3048.896602095421,2455.94396850549,1950.6297519051252,1426.703254089615,1430.5705415096531,1324.7342892774207,1302.9157790573906
34,21334,184.74703754144483,2205.475024607836,1779.5960248502956,1400.8032989929866,1213.082569428252,1165.5473213044759,1035.148701172908,1019.3885502707343
35,21335,160.4379095296056,1903.5164066082953,1544.5639418636752,1224.455249189776,1021.1474729354046,887.685343947307,859.399193529333,865.1475182946232
36,21336,103.38463486180939,1581.785359753482,1227.5526912425214,974.215620136159,659.4733544574002,755.3049186704112,636.2484224304584,616.1992082317831
