,BAS_ID,IntHH_RI,IntHH_R2_RI,IntHH_R3_RI,IntHH_R5_RI,IntTekl_RI,IntTekl_R2_RI,IntTekl_R3_RI,IntTekl_R5_RI
0,21300,617.1300760555725,9948.79168887593,7987.604944955008,6307.116930588853,5339.1203470915125,3357.6323968182187,4372.291801643706,4483.019978217339
1,21301,221.39704617154047,3587.734582371065,2876.5349435391854,2258.8141237681016,1818.966971147443,1781.3248905952237,1617.045867009171,1589.0131509796681
2,21302,341.2528777247903,5308.076889492122,4162.583064162509,3224.9347537977296,2427.9320068532716,2405.648722408824,2202.294228139787,2168.5949524948296
3,21303,475.0380101537113,7793.656633538786,6080.093135125093,4743.9019912660215,3431.1014594511644,3253.9387771048328,3148.6960263255805,3113.5268182054333
4,21304,273.2415670080653,4726.381193103569,3575.5142331756088,2710.870770813245,1834.7518043099965,2042.5767767007085,1767.656148338459,1700.0783091364199
5,21305,523.7108482067903,7836.334095469043,6145.1331621262225,4810.529405082512,3431.745082935124,3128.9348473841114,3101.356257576774,3104.986023543611
6,21306,649.3819626755434,10061.140948630116,7939.781286336286,6215.99097329771,4672.021789316785,4383.848098334866,4210.745196837279,4168.77261636866
7,21307,589.2732841163487,9001.316184518491,7121.37241833976,5578.460824951352,4177.520044243538,3985.8078532414747,3790.144546673505,3741.7364327407186
8,21308,421.90348196663064,6511.383548876896,5071.58165772379,3960.880304716658,2859.4024518791,2674.9090438189855,2632.814324083375,2593.443591848206
9,21309,342.12874088715654,5645.8038374346315,4248.872704379337,3225.329305578106,2159.0641724345714,2405.9516880209776,2086.98132873826,2002.7493633128306
10,21310,377.2476671459371,6268.257947012407,5058.2957371142775,4002.39797875785,3036.273144655783,2931.6732384174943,2730.5350192045225,2695.6665247868013
11,21311,379.03764058238465,5740.52925108345,4513.843601274931,3530.715452212311,2564.036766787852,2571.9949861133496,2362.583106909484,2320.9622762517993
12,21312,475.9783252930057,7456.765890880072,5835.218463183299,4544.523224475028,3098.681483632966,3351.8181642674754,2964.5316934245525,2886.3601457209384
13,21313,420.1243730572967,6041.084566724857,4727.361242566312,3664.3414146199448,2732.706529404725,2540.881729381665,2437.0799048178465,2424.2535444537816
14,21314,526.9560800369253,8992.917064452553,6773.6137446512075,5233.510700879759,3607.814995714022,4070.8591424204405,3447.5606464455163,3337.570411436288
15,21315,514.3535321906554,8691.563992916974,6543.46499309614,5035.493718418391,3521.812346005233,4000.612237193952,3352.1224730221975,3242.71526109955
16,21316,553.9188531275375,8557.545456135851,6828.550654524048,5356.564873907594,4220.929458423338,4033.157708794595,3764.7649238132453,3712.326002447471
