intercept,APART_DIFF_AVG,점포밀도,주거인구/직장인구,소매업매출월평균변화량,외식업매출월평균변화량,아파트 가구수,단독주택 연면적 비율,상가밀도,근린생활시설 연면적 비율,BUILD_DIFF_AVG,평균최근접역거리,(주거인구+직장인구)/유동인구,평균 도로 길이,INT_LOAD_R3,BAS_AR,외식업종다양성,공동주택 연면적 비율,평균최근접정류장거리,x,y,BAS_ID
102.28908565720822,-0.009533034561722503,-0.0007813074141262772,-0.03117525115976873,-7.113371419357335e-08,-5.634927421834772e-09,-0.011370045256899736,-0.06338717310933759,-0.00922891661353515,0.5854904296639296,1.6802576333291966e-05,10.018098846602586,19.76238820228383,-0.0706179548183863,0.0032770638771105285,97.45463776008202,-34.68918782913225,0.13192205769180876,-166.6765770777271,126.68913490770505,37.51870773736182,21300
102.899520772029,-0.010693955316809504,-0.0007275717014151274,-0.032669522738949394,-5.800084686546507e-08,-4.8957851603230476e-09,-0.010914639302138594,-0.09777491150950661,-0.009870944528812747,0.6808383246799266,1.7947667607882184e-05,10.08314872272862,18.922959454894976,-0.09252984068994681,0.002562289184742049,92.0360992993614,-29.56267013629179,0.13365482720405,-138.34584307674106,126.69545880461988,37.52241686372307,21301
103.82060540066955,-0.011151037047202795,-0.000694716318543216,-0.03155264689580988,-5.1605853439295085e-08,-4.64484546795401e-09,-0.010768179074499168,-0.11800394096285634,-0.01001835891111572,0.7104459792573574,1.8789768111851294e-05,9.790287277488106,18.241878091601667,-0.10408253941335092,0.0020582738693310184,91.65527385623979,-26.514576576955402,0.13137790219408843,-121.75207290607487,126.70134171772969,37.52233877708572,21302
102.35147123130429,-0.01086416955217325,-0.0007219048747819295,-0.03368697971616426,-5.500145565721903e-08,-4.907204944776848e-09,-0.010906479096542967,-0.09692594974467007,-0.009700551924132935,0.6771541629651698,1.9301349806166394e-05,10.032987889526336,18.78523133824229,-0.09103590731578824,0.0023957475786888336,93.02036589955947,-29.16396252888913,0.13667510793630652,-133.31813296521366,126.69872979436714,37.51898140944887,21303
103.45571713364572,-0.011280917520807805,-0.0006868369988478017,-0.03246436555954707,-4.9479163415329415e-08,-4.664538849246378e-09,-0.010767953507709161,-0.1159729772555882,-0.009824359059277575,0.7001548715604701,1.947707992888252e-05,9.780734851841078,18.119496400349224,-0.10247288276583848,0.0019513410920957788,92.54049759232561,-26.330572812363627,0.13366746865509233,-118.57149706186254,126.70341884326405,37.519318995056054,21304
102.78210495567001,-0.011100609009530214,-0.0006910773021624333,-0.034602883862608534,-5.171437531133095e-08,-4.951685373237919e-09,-0.010962569947135728,-0.10552111055938981,-0.009403034170482988,0.6568538695966772,2.0094267938144847e-05,9.857843972188489,18.25456495956863,-0.09239486061224482,0.0020438729997130996,94.98413901559445,-27.808174001769316,0.1359389439839785,-122.58092384145908,126.70300423971963,37.515329100586754,21305
101.4854646210098,-0.01038448072688492,-0.0007489982883736576,-0.03455532312374047,-5.982585007807925e-08,-5.298598733948083e-09,-0.011159053768093124,-0.08136992867661787,-0.009291373813123827,0.6308041388405434,2.0002053661725866e-05,9.98650937500791,19.21651807847651,-0.0778822206997793,0.0026566504358814733,96.08593051972342,-31.633116124330048,0.1383079294230607,-144.02435495595785,126.69720548857926,37.51567898613793,21306
102.46826733892732,-0.008881621458485823,-0.0007884966546705911,-0.02891005218330837,-7.72600603249963e-08,-6.293726890962591e-09,-0.011907527364588524,-0.06948746073253406,-0.008665853053453625,0.5182147716487585,1.9588604299704626e-05,9.417530337239283,19.60820085513668,-0.059841117527291855,0.0031171796100009233,104.37442414793638,-35.16316329898504,0.12643689627343216,-165.90188553473976,126.69309964043227,37.512529261238306,21307
102.10402320834257,-0.008207008928173805,-0.0008205429192655271,-0.02493768049231661,-8.118484986267635e-08,-6.721266160358727e-09,-0.012291652023686638,-0.07340551064930423,-0.008431662275274997,0.4849659405975521,2.212675592166326e-05,8.924575661871627,19.793853986892415,-0.050535596153423894,0.0031404762550980236,108.49335919488847,-36.21097879958668,0.12320617071234045,-169.3898605570444,126.69463592515947,37.50972402615308,21308
100.754217250883,-0.010604040188218299,-0.0007253946032896619,-0.03674494919539317,-5.466810096658594e-08,-5.42993290031836e-09,-0.01131038233317364,-0.08753929173782028,-0.008880459283476173,0.6079210780885022,2.293219246354441e-05,9.742314095657676,18.83234854087261,-0.07423973712797013,0.002216575363717774,99.08341296471366,-30.38319156733048,0.14193614227550697,-130.80987235288885,126.70257157044347,37.51088024429188,21309
104.93037391285479,-0.011573802510901576,-0.0006617826502941123,-0.02982938936867671,-4.448497631651333e-08,-4.402530526252332e-09,-0.010603110766340624,-0.13581425859502477,-0.010044975281992843,0.7294457884442171,1.917839733022979e-05,9.300157141311878,17.532871712176227,-0.11520612711424662,0.0015516758062348475,91.96636149726477,-23.55922111310266,0.12838256608218898,-106.26737748054255,126.70802741158735,37.5214043470635,21310
103.81560936717582,-0.011520676258690599,-0.000670366442668762,-0.03183506394212526,-4.561120195362499e-08,-4.5295924220673124e-09,-0.010676478203324886,-0.12352154937129642,-0.009835237961913329,0.7104297349864885,1.974974317526593e-05,9.595289591218336,17.79334044332504,-0.10767312524696127,0.0017106461777009177,92.50276757864437,-24.899612634025008,0.13320068355657816,-110.9699305472098,126.70645139187884,37.51875080500249,21311
