intercept,BAS_AR,서비스업매출월평균변화량,소매업매출월평균변화량,아파트시세변화_차분평균,외식업매출비율,근린생활시설 비율,단독주택 비율,상가밀도,주거인구/직장인구,외식업매출월평균변화량,도로길이고려_국부통합도_R3,개별공시지가 변화 차분평균,x,y,BAS_ID
131.5014562867442,-29.492616785167417,2.213036609055945e-06,-2.9846258753051537e-07,-0.02822160986170464,11.691857561088415,0.2386355873533671,0.7147098196338668,0.005907298023781227,0.5861087211624477,-3.685191206106852e-06,0.0021999456282840585,4.9245735626209246e-05,126.68913490770505,37.51870773736182,21300
131.5467496065147,-28.89660048920205,2.8966067969772156e-06,-2.3693149224281756e-07,-0.026140643498048087,11.05265513302789,0.17742423620739026,0.683701134460575,0.00616864835554898,0.5552426365458795,-3.5976428499969887e-06,0.0021333323402253314,4.682189305123923e-05,126.69545880461988,37.52241686372307,21301
131.36479707027928,-26.675978036253504,2.12961655014518e-06,-1.5375340579450798e-07,-0.0244488437661238,9.813067917067112,0.1371119470594228,0.6046960015148375,0.005511210427559257,0.24509704401749105,-3.2629987939214906e-06,0.0020742216869827045,3.871909868166426e-05,126.70134171772969,37.52233877708572,21302
130.80214971221537,-27.285884465898242,1.3121173566542323e-06,-1.6874593092896775e-07,-0.024845624125230725,8.902681234860285,0.1644133348500345,0.6338446697620435,0.004977408777199996,0.35267267299173044,-3.0657298541763203e-06,0.0020289515791902363,3.3872104332176555e-05,126.69872979436714,37.51898140944887,21303
130.4931055916491,-25.16581505439799,1.2120234770643973e-06,-1.0237494098480333e-07,-0.023476951287186423,8.02282234940949,0.1336601034542846,0.5342236273973252,0.0038921044389090475,0.1549062210239957,-2.558721820607457e-06,0.0019677724202085555,2.457911104189738e-05,126.70341884326405,37.519318995056054,21304
129.7479238757681,-25.366387966053793,7.154889983959301e-07,-1.0085900240734858e-07,-0.023202692315554503,6.896762628809822,0.15052117172354626,0.5452982083463136,0.003116995624130091,0.22224816610308193,-2.0495190162123223e-06,0.0018569836043912738,1.6548052834396307e-05,126.70300423971963,37.515329100586754,21305
130.14083188655871,-27.159558622289552,6.679602487781072e-07,-1.682837456787624e-07,-0.0244806791944576,7.97340603546778,0.18204729292222838,0.6535733081726889,0.004160189559371343,0.444490179054406,-2.6370850213150695e-06,0.00194579559211344,2.7975299724865026e-05,126.69720548857926,37.51567898613793,21306
129.8024975491918,-27.579879238143278,1.8363915368547795e-07,-2.005681427188685e-07,-0.025105750671907186,8.152242399669536,0.2143667166992022,0.7245390909791626,0.003931481731959414,0.6327420713894104,-2.612371113855659e-06,0.0019247322951101843,3.083667269914779e-05,126.69309964043227,37.512529261238306,21307
128.9886280238885,-26.608372522558987,-1.032034948401197e-07,-1.7102501400174183e-07,-0.02397692860499486,7.1327221454231795,0.2077635057247946,0.7290432293457485,0.0029116457942577733,0.64872397542423,-1.979499999547506e-06,0.0017753707698344623,2.187787878016377e-05,126.69463592515947,37.50972402615308,21308
128.91081446261364,-25.622846552249044,1.9149099284846674e-07,-1.0992850703799065e-07,-0.023012763264306776,5.829551869205865,0.17767995542545517,0.5952954474681262,0.002563404065240255,0.41570690422065537,-1.6887474210639046e-06,0.0017269093063702837,1.012352898854586e-05,126.70257157044347,37.51088024429188,21309
130.49953460671654,-22.509056374936286,1.3473152679249685e-06,-4.335214994922113e-08,-0.020367556953444423,8.003035726845148,0.09662242304208829,0.4451733957066982,0.003364182140889904,0.06310171090451994,-2.4487441401097623e-06,0.001972113863908293,2.2159958578782295e-05,126.70802741158735,37.5214043470635,21310
129.95829161897288,-23.30324081764823,1.0602342887022673e-06,-5.1226568214590775e-08,-0.021859883926036276,7.127053999601562,0.11387680455269318,0.4598892093222216,0.002843500434996301,0.088050715103844,-2.0363450664639726e-06,0.0018955772639049852,1.6098818047883066e-05,126.70645139187884,37.51875080500249,21311
129.4977821639934,-23.657988784769266,7.903555822424654e-07,-4.9954676919746175e-08,-0.02212938218707204,6.419780417144258,0.13083817233737552,0.4635805528668165,0.00250324933338482,0.12669399359308722,-1.7628329187070481e-06,0.001815914992032632,9.78878596894628e-06,126.70691946411556,37.51509833713639,21312
128.69561607033893,-24.110693702892803,3.237264086575496e-07,-5.8724844460587103e-08,-0.022142893512725643,5.263141647134886,0.16477076924718884,0.507198770913806,0.0021118916530047335,0.2740431668735359,-1.431190652852603e-06,0.0016801013075999904,2.3491978322351593e-06,126.70652058482338,37.51059783447811,21313
129.2301903477086,-18.613039055778078,1.0532384401474367e-06,4.995222283215543e-08,-0.013860028770534463,6.2870261657837245,0.051808144106502835,0.32189180499821696,0.0018657703467881964,0.014562812337918875,-1.7064003817296497e-06,0.0018152391130437577,7.809571918812699e-06,126.71319259164342,37.52037539808062,21314
127.93075988225844,-13.832332705983703,9.516929405073733e-07,1.581095348398709e-07,-0.0064590349595263115,4.780257405634147,-0.012936647806826913,0.20212465216355385,0.0010510329911920487,-0.011435486839356461,-1.3281475230365467e-06,0.001618168213036392,-3.3481014383442144e-06,126.71891876142693,37.52020716759903,21315
126.67562869655376,-6.2606632060578935,8.087142322358783e-07,3.011357531365283e-07,-0.006042194873113517,3.252527181868842,-0.08290365558645772,0.0896724281661498,0.00047334565318826873,-0.02570393624706183,-1.1183707486558734e-06,0.0013764541215330254,-1.3275975205116936e-05,126.72512332161521,37.52075627781089,21316
