intercept,아파트시세변화_차분평균,소매업매출비율,근린생활시설 연면적 비율,외식업매출월평균변화량,기초구역평균_전체통합도,개별공시지가 변화 차분평균,아파트 가구수,평균최근접정류장거리,도로율,소매업종다양성,외식업매출비율,서비스업종다양성,(주거인구+직장인구)/유동인구,점포밀도,주거인구/직장인구,서비스업매출월평균변화량,도로길이고려_전체통합도,BAS_AR,평균 도로 길이,외식업종다양성,상가밀도,단독주택 연면적 비율,공동주택 연면적 비율,주중 / 주말 비율,06 to 18 / 18 to 06,도로길이고려_국부통합도_R3,x,y,BAS_ID
129.02331813995966,-3.9247903231689016,-6.548365815459763,6.9808199247182445,0.4148104294866487,-7.283259741780144,1.2402916783754276,7.0211299462126044,-7.714817332204061,0.061539863681050105,-9.7316666377528,-0.14692438096916363,8.896871953639547,8.486986951355227,-7.512177482515467,-14.529798663318449,2.216563584287228,13.029378158140998,-7.763136428614576,-5.452483046124455,-2.1301205124612657,-7.419123415935439,12.499703359663357,14.456433134021257,-1.06527637363281,9.217678727500834,-2.2032012635425864,126.68913490770505,37.51870773736182,21300
128.8924913497027,-4.0568221045647315,-7.199046003180264,7.642150302547849,0.4001414928848368,-7.770171130709513,1.1151387185540642,6.910707102323451,-7.494832260151292,0.8989668426169141,-9.640788624470634,-0.8798986372715351,9.211850181495517,9.00219764296227,-7.34553110589595,-14.892052410048503,2.2912643699647175,14.276663727823495,-8.348860824177757,-5.958089174019435,-1.0201655919379804,-8.831441980748435,12.299349234848048,15.264247809859647,-0.77946413709728,9.615558445498982,-3.8032452448540663,126.69545880461988,37.52241686372307,21301
128.82501643220795,-4.155175828833682,-7.617295900384053,8.060333739507573,0.3734078410236901,-8.188121312003897,1.0890160196511152,6.777494456956923,-7.294862458301551,1.5518861552069876,-9.584796713382634,-1.4082854228973412,9.465046897915913,9.157893521165759,-7.209712662803034,-14.911267732014112,2.3336311425693346,15.04772109649079,-8.615478201689845,-6.2361498546372225,-0.337285699995833,-9.777900203514493,12.176270074334527,15.780189767570276,-0.6976252003633964,9.95384757281549,-4.885691924258484,126.70134171772969,37.52233877708572,21302
128.89559104189092,-4.0984812984011025,-6.944252578030501,7.725601556959375,0.3865964869120113,-7.588573205968876,1.215185589508865,6.803489811959434,-7.350365429599695,0.6888330312386477,-9.64635732140242,-0.8594949711654982,9.246613487779236,8.77279392471161,-7.313267090389942,-14.724767408261306,2.221124256627806,13.859685376310233,-8.336529176906334,-5.886588437227496,-1.1803979136481881,-8.701359565161686,12.258100912271868,15.26997243445931,-0.836410415148319,9.61704696484622,-3.477900735723431,126.69872979436714,37.51898140944887,21303
128.83096740498237,-4.191517353723414,-7.356119882799308,8.11026707502259,0.36372431780992054,-7.99084968053055,1.1840442032625862,6.688200833271473,-7.166256323021019,1.3211689054980629,-9.588806917912924,-1.3586913624158694,9.47577704482737,8.923925858641397,-7.1871132199437096,-14.74903546249992,2.264190996329983,14.591124458280943,-8.576109655304547,-6.157889475955346,-0.5330842965248966,-9.595709717311674,12.137605720231534,15.755808417885373,-0.7562775827718308,9.93004716304002,-4.4939414507725175,126.70341884326405,37.519318995056054,21304
128.89360154441312,-4.166790266249963,-6.657023617023404,7.902765797811448,0.36349593029318716,-7.405337825553088,1.34892398891953,6.629429839426354,-7.117876375852842,0.5038840808131428,-9.637751510346636,-0.9205186760649398,9.333078264970412,8.477828865890089,-7.245234043013102,-14.505868418732561,2.134175883232306,13.40457573478395,-8.360447187853183,-5.828869303759389,-1.3048630633333886,-8.673738179947383,12.179209249840655,15.365387029957553,-0.9027659481350208,9.669097865871027,-3.195468973237356,126.70300423971963,37.515329100586754,21305
128.97210847707944,-4.040335379006241,-6.413654710832675,7.407414835205802,0.3882789675966845,-7.188375186663077,1.3376055888395335,6.799159837348911,-7.397637589819255,0.057753532688153635,-9.704730582318376,-0.4253410754681827,9.09525359777292,8.386866924257708,-7.38564339600706,-14.473916554428877,2.1403287394592065,12.932827263172493,-8.043859526346779,-5.558103558878378,-1.8955450454619998,-7.8320196898312915,12.350378377029488,14.827320656798532,-1.0137737484815315,9.38193609776831,-2.3956789673562504,126.69720548857926,37.51567898613793,21306
129.089341896399,-3.9003350325149393,-5.939866532780489,6.8155754370801445,0.3912483093782203,-6.915091247558474,1.4524025672401193,6.8614561585468214,-7.584743512474242,-0.5177642220813956,-9.796301422069867,0.15069189098213595,8.881157554433445,7.9320395977152485,-7.514480189890092,-14.110749963810878,2.1030556609702735,12.071572424440097,-7.518043077751999,-5.108134835831883,-2.802738718854167,-6.722439447676167,12.555535507901768,14.15162075122216,-1.3036650180433178,9.103312291633952,-1.2662973032577205,126.69309964043227,37.512529261238306,21307
129.13122802122206,-3.861329800344623,-5.610123316889986,6.685507345157584,0.37654065079846033,-6.747196466843741,1.5739594255784133,6.762133113866015,-7.521707064273231,-0.8231764815320912,-9.837572770283034,0.3285988859510029,8.88244364779647,7.619367927780739,-7.513773556758853,-13.874046486583397,2.0505361553251022,11.59664561445273,-7.3662427440615605,-4.893679311670571,-3.204803651451701,-6.324028107102316,12.605336651895326,13.964492402265474,-1.4536610739270686,9.036445344682372,-0.7925641955728274,126.69463592515947,37.50972402615308,21308
128.9968744519363,-4.098151436731536,-5.8500371373192595,7.5708398494246625,0.35280798556077914,-6.829570871679352,1.5599582222937132,6.5300663458869845,-7.089098407121288,-0.39497126275974104,-9.709015308356053,-0.39468370772056854,9.19832648936835,7.900539569512196,-7.298944534732947,-14.143773195602291,2.004905489123657,12.108567617901105,-8.047083224974747,-5.368064151661869,-2.2716682055182886,-7.576496663928426,12.276494877852961,14.854736059391893,-1.1482738235968433,9.390069406107,-1.7700558127553268,126.70257157044347,37.51088024429188,21309
