intercept,단독주택 비율,주거인구/직장인구,소매업매출월평균변화량,개별공시지가 변화 차분평균,평균최근접정류장거리,평균최근접역거리,외식업매출월평균변화량,서비스업매출비율,BAS_AR,x,y,BAS_ID
106.9044071968277,0.8740424005320432,0.6170910623325025,-5.416605820272501e-08,-0.00010107710517914317,-104.26096825994617,10.197890490199342,-3.3665588733013395e-06,19.046167122977618,67.04044221307312,126.68913490770505,37.51870773736182,21300
106.38300159967434,0.6496909704712062,0.4388050378621321,-8.095193618121029e-08,-9.561491471570667e-05,-107.2711093843783,9.950339382770515,-3.4978839170809675e-06,21.120027401879852,57.75707919700815,126.69545880461988,37.52241686372307,21301
105.86790622769449,0.6230579814281416,0.15846032279011538,-1.8015865432989247e-08,-7.583244888509636e-05,-109.65195277245451,9.52511519389001,-3.0658997903785594e-06,17.226524137632474,46.0677494835207,126.70134171772969,37.52233877708572,21302
105.60626594068498,0.8279218492413096,0.23900118667267126,8.332023032696239e-08,-6.890011544166261e-05,-109.46514986660335,9.463867683084107,-2.605459383615083e-06,15.372622520281991,46.80030745480877,126.69872979436714,37.51898140944887,21303
105.38745079348482,0.7561760887864853,0.09252259663301836,8.812597506693031e-08,-5.1971317333141556e-05,-111.47884470840717,9.089009837296537,-2.1877323951670537e-06,11.825186315717945,39.92963567080534,126.70341884326405,37.519318995056054,21304
104.81827516957598,0.9937369150644925,0.11474270147008651,2.0527507360439762e-07,-4.084969188246666e-05,-113.59664290678637,8.757274611739728,-1.6065885110322236e-06,9.630940824011555,36.70199213558003,126.70300423971963,37.515329100586754,21305
105.12868472013278,1.0338039515738389,0.28064749828391194,1.7774552090055618e-07,-6.115811703679804e-05,-109.99203826660288,9.11133411577949,-2.1295053865244044e-06,12.779574598801041,45.75073519435473,126.69720548857926,37.51567898613793,21306
105.03616327130769,1.197705142215412,0.4409161510009959,2.5305977494053426e-07,-6.77285892042648e-05,-107.83695247068813,8.959173603265501,-2.1260622898197964e-06,11.087183397085703,50.847204153986404,126.69309964043227,37.512529261238306,21307
104.50653410139742,1.304401608094735,0.3938513220821611,3.7604596906057776e-07,-5.332498338043293e-05,-108.54489348095314,8.44999993204541,-1.7095726060726719e-06,7.271209657050438,44.07827312068407,126.69463592515947,37.50972402615308,21308
104.01824567343805,1.2030587918878872,0.19740875890151466,3.6566220003695016e-07,-3.158475490938563e-05,-117.07349368212661,8.26490079575498,-1.2614975165505615e-06,7.242100121728157,31.435770785626648,126.70257157044347,37.51088024429188,21309
105.39237376085802,0.6020281888741645,0.03838113602870397,5.04543554611043e-09,-4.7086234951806636e-05,-112.57686789817495,8.573076885963832,-2.2290710510947187e-06,9.162518528609585,35.601308210538114,126.70802741158735,37.5214043470635,21310
105.16290352207338,0.7296141916574805,0.04908637264393803,1.0009966162171683e-07,-3.8572993818345174e-05,-113.1950966526327,8.627722474992968,-1.7121997679888407e-06,8.312858987909124,35.71000399008222,126.70645139187884,37.51875080500249,21311
104.69396662995963,0.8372379166421267,0.06468508025071304,2.0752881006362094e-07,-2.987340354776508e-05,-116.16734785992418,8.502374798168837,-1.405716748689902e-06,7.371010992795048,31.10661332189833,126.70691946411556,37.51509833713639,21312
103.77864543753147,1.2281512751822141,0.12335578922501277,4.0309690129100985e-07,-1.723815549642542e-05,-121.79806529064672,8.066438898013807,-1.0444923770030816e-06,5.6783850910466445,23.286995750116972,126.70652058482338,37.51059783447811,21313
105.01825104174404,0.5843404982582123,0.010882566201450134,-4.503117220728208e-10,-2.626779136552945e-05,-115.52135916514275,7.141694478109687,-1.5019066915510366e-06,1.1728974069130853,29.181626987028892,126.71319259164342,37.52037539808062,21314
104.81723813102852,0.2574511706508064,-0.001053898913353439,-5.767603635220381e-08,-1.126435208440238e-05,-117.65325821528427,4.697288349412783,-1.212560947336696e-06,-6.151686628351792,24.650096421427012,126.71891876142693,37.52020716759903,21315
104.76012220390777,0.012976772137099274,-0.005203169971038812,-1.0949436315741899e-07,1.1229928912795588e-06,-118.57133080355192,0.7128545681667464,-1.066223695923137e-06,-15.410843641709501,23.190647865250984,126.72512332161521,37.52075627781089,21316
104.81393697530115,-0.04970363377833424,-0.00534530126668498,-9.146243670631996e-08,9.945257147135773e-06,-118.39019690949749,-3.2383098718014955,-9.977439440613378e-07,-23.906567303581003,22.40325434572719,126.73053373535897,37.52055707999099,21317
104.88624761993063,-0.01140520746201961,-0.004968333801391167,-7.003786662426069e-08,1.3902325202182312e-05,-118.13291351249241,-7.0314028879286,-1.0989429799472763e-06,-33.54046656125173,22.88922839483837,126.7361576234256,37.52074545539758,21318
104.76746601152725,0.008019911788810596,-0.006405192971341685,-4.638005070909749e-08,1.3190438273451064e-05,-120.93451939935625,-10.518120388001597,-1.585527484308396e-06,-47.3018357813622,21.526099801083106,126.74321514378205,37.5219067233361,21319
104.14560175387814,0.023470673710516737,-0.008476763132464645,5.652371458400707e-08,5.442828101798508e-06,-127.74899750187288,-12.309972109524915,-1.6737652403210067e-06,-55.767239172084416,13.038821150336897,126.7488155826459,37.520512435412016,21320
104.48973625922414,0.009940563731256891,-0.005894464975445345,2.1981726051135065e-08,1.100301378981113e-05,-121.83111098071834,-10.255999908394895,-1.0781604817301678e-06,-45.338744190191456,20.53131064287259,126.74324183744143,37.51850596365194,21321
104.63176316562388,-0.09796876701639207,-0.004673821763400435,-8.495203052261052e-09,1.3777060349958995e-05,-120.2265056812492,-6.42604855903873,-7.346994444233777e-07,-31.26303634019156,20.83107648103813,126.73380894864344,37.51608671250486,21323
