intercept,APART_DIFF_AVG,점포밀도,주거인구/직장인구,소매업매출월평균변화량,외식업매출월평균변화량,단독주택 연면적 비율,아파트 가구수,BAS_AR,상가밀도,근린생활시설 연면적 비율,BUILD_DIFF_AVG,(주거인구+직장인구)/유동인구,평균최근접역거리,INT_LOAD,평균 도로 길이,평균최근접정류장거리,외식업종다양성,공동주택 연면적 비율,x,y,BAS_ID
109.007263084877,-0.005897752610928785,-0.00024477198747419347,-0.06991202119886575,-5.812418659614031e-08,7.413313692660729e-10,0.5981568597361214,-0.004647459097064238,2.3003542343182595,0.0009362631143013676,0.3517227371473952,1.2355073862214989e-05,7.003493664744829,14.031032416143175,0.014671340325512736,-0.030497305939440122,-143.750195903148,-29.084917477409668,0.4682746078738359,126.68913490770505,37.51870773736182,21300
106.57380560294501,-0.006140602934220105,-0.000273094281012194,-0.07020956327784848,-5.727926205639117e-08,7.019524075197089e-10,0.5728021329864219,-0.004873237083283224,2.720831717113948,0.0003690602403325704,0.38885620271034604,1.5084642457135102e-05,7.765118275426602,14.11425945612417,0.015209658208808137,-0.02860799578693743,-145.4392631023026,-27.469891621055712,0.4752797031348058,126.69545880461988,37.52241686372307,21301
104.32549800604922,-0.006422299435832245,-0.0002953643858334268,-0.07109830926416093,-5.5422648024470325e-08,7.382438214826212e-10,0.5575729906901663,-0.004967548969323032,2.2063641415705653,-0.00012564921622190524,0.42061574006547964,1.8431925538358993e-05,8.352044428767682,14.198915796161186,0.015724910517250435,-0.026559406688649666,-145.46819814729204,-26.440639464015867,0.4834414900684858,126.70134171772969,37.52233877708572,21302
105.66484106123258,-0.006317430687940309,-0.0002806110135115694,-0.0719412289002359,-5.4251754956904995e-08,8.472754294474608e-10,0.5780615471918695,-0.004720834961351191,0.9923725503961155,0.00017721034028252578,0.40238800133059544,1.8006857421001807e-05,7.931443002628531,14.13682410824202,0.015695193522635167,-0.026819479923898215,-143.93619627003704,-28.021708078713054,0.4804172786798663,126.69872979436714,37.51898140944887,21303
103.11106492923767,-0.006664395357166533,-0.0003058251788613449,-0.07307547466132523,-5.232931014588565e-08,8.987403467778549e-10,0.5632250424314191,-0.004811930349492256,0.011043652471247318,-0.0003645416566467195,0.43783966760678455,2.1541381847044008e-05,8.561684578759328,14.271207074287899,0.016418314537611715,-0.02428695407268384,-143.86093114048032,-26.919018025586986,0.49028116238879244,126.70341884326405,37.519318995056054,21304
103.88468537481418,-0.006669025658228931,-0.000297260350569101,-0.07494941995248515,-4.929429113915644e-08,1.0901459114887756e-09,0.5831654283669625,-0.004478368064932238,-2.2140927466560734,-0.00021190299479480543,0.43020455363015614,2.2960563533000233e-05,8.21717004861138,14.200774204878103,0.016464279640023737,-0.02349602038985559,-140.78575429262682,-28.757281693763833,0.4904230143640145,126.70300423971963,37.515329100586754,21305
106.70073687685003,-0.00624392704052984,-0.0002686514801448232,-0.07294173143133963,-5.269262968378285e-08,9.68616988208725e-10,0.5975656275468337,-0.004480776817305545,-0.35693761058352247,0.0004171679726310632,0.38847347295633705,1.8238593424641126e-05,7.593983071288782,14.070567317165237,0.01575361847777839,-0.02675282213863555,-142.39421045294665,-29.553290922601025,0.47869013057766147,126.69720548857926,37.51567898613793,21306
109.27935708978993,-0.005944871627508821,-0.0002381452685939739,-0.07208726158273501,-5.4049482834093855e-08,9.685331929434243e-10,0.6191656783649093,-0.004300710862978036,-0.10292296540733577,0.0010000102624726805,0.3489755078993818,1.5280788896870775e-05,6.806217989068739,13.948202655794931,0.014866485225320624,-0.02930446010058646,-140.59312010555752,-30.930501565232905,0.4704493685283381,126.69309964043227,37.512529261238306,21307
109.82761809074917,-0.005909115411327108,-0.00023018377788112563,-0.07286741959275807,-5.238126086344037e-08,1.0699437426495675e-09,0.6302052889932689,-0.004109839458771904,-1.1198191391455858,0.0011065222808910832,0.34198473228578646,1.629888656147578e-05,6.558935730135439,13.879716525884618,0.014599595979402075,-0.029326616900352494,-138.22778216392803,-31.93985164032942,0.4699759378844116,126.69463592515947,37.50972402615308,21308
104.70421454773697,-0.006666574963689796,-0.00029185720261372427,-0.0781767428378407,-4.4157399748484655e-08,1.4097304925663208e-09,0.6137459641345309,-0.003982517797744643,-6.1380258570135915,-6.293887802126935e-05,0.4278917018104808,2.609323696133162e-05,7.8707458486521595,14.072118252907382,0.016949139325972012,-0.021421725054790848,-137.0165545317379,-31.786650381826878,0.4922059815890071,126.70257157044347,37.51088024429188,21309
100.7475905891087,-0.006954584983976527,-0.0003260736535079836,-0.07256551739916468,-5.307566984202788e-08,7.942151151533544e-10,0.5365717392208695,-0.005116038044643678,1.055317123012623,-0.0008536723928047382,0.46544697630832693,2.32120757888063e-05,9.15468235366789,14.384330025135434,0.016444500914763883,-0.023405229058768403,-144.38260879704075,-24.671221291875014,0.49829402707813725,126.70802741158735,37.5214043470635,21310
101.79869979839313,-0.006884768013023686,-0.00031606280011206556,-0.07366889105792188,-5.128520322049655e-08,9.217740403278423e-10,0.5534207764190565,-0.00485182050550892,-0.39261157880026976,-0.0006457680300140056,0.45399761759675866,2.3391772212554955e-05,8.790871497024737,14.327570015648948,0.016416472453351576,-0.023270134959294253,-142.41614121701386,-26.195291204934918,0.4960241171745204,126.70645139187884,37.51875080500249,21311
