intercept,주거인구/직장인구,아파트 가구수,단독주택 비율,서비스업매출비율,외식업매출비율,근린생활시설 비율,평균최근접역거리,(주거인구+직장인구) / 유동인구,공동주택 비율,평균 도로 길이,도로길이고려_전체통합도,평균최근접정류장거리,점포밀도,도로율,상가밀도,x,y,BAS_ID
159.75713512484634,-10.56888724142418,-43.965569656900904,-32.09122452988753,-16.433732414542998,13.370782594241089,-25.36051490058481,-18.420827044737408,39.79090102021319,-20.425258864070663,-43.63177727600107,126.65672834745564,-52.60391927470691,-48.371901644115894,-53.93845160728554,13.082175812368144,126.68913490770505,37.51870773736182,21300
159.6682167114227,-10.611307520388891,-42.95953234411935,-32.75461034846805,-17.004731385755253,12.944501637116248,-24.96686742734246,-18.61479341704425,40.261912771481796,-20.808680301541866,-44.25368044304682,117.01113865613024,-52.97041288943535,-47.88201520273332,-54.02498192343675,13.497975598260393,126.69545880461988,37.52241686372307,21301
159.6663507731035,-10.751414648531524,-42.60289656312281,-33.29775004930921,-17.234168115890387,13.003565423732901,-24.860104424624314,-18.7404829578197,40.32611982249487,-21.012523353292266,-44.108267343933704,116.67807119245099,-53.02679263463418,-46.79902552359079,-53.8818891604859,14.00821049456968,126.70134171772969,37.52233877708572,21302
159.7542667462217,-10.816099227427765,-43.1909135438694,-33.05398310208665,-16.817421496116314,13.410111452343699,-25.16539816371061,-18.604918064794802,39.981336182633356,-20.784033595498173,-43.39724150108069,123.70711127447947,-52.67989946951724,-46.53337095762805,-53.710894197696824,13.966024845299259,126.69872979436714,37.51898140944887,21303
159.73765467072963,-10.885587080743353,-42.87226912981565,-33.464707087087646,-17.031333685111363,13.391355586817491,-25.032481862950842,-18.728478534623513,40.060270261800895,-20.96310338680022,-43.43280935443469,117.74445130493466,-52.78655232560243,-45.881313529296314,-53.64500108660037,14.322794902754993,126.70341884326405,37.519318995056054,21304
159.82163336974278,-11.021666325874746,-43.35402653778914,-33.44761712903186,-16.650797590156017,13.798697094002307,-25.340363947370456,-18.638559183785873,39.65765860027102,-20.808208653928418,-42.64819969779052,126.45941724725333,-52.54795952103244,-45.323905454156446,-53.41256127785502,14.42225642265631,126.70300423971963,37.515329100586754,21305
159.82435535785828,-10.926727702454524,-43.691444082463306,-32.935607406874,-16.458983762434016,13.747790646003985,-25.458026915044265,-18.50616594778559,39.622373896875374,-20.61601981717682,-42.7451725550228,135.54520863943893,-52.46460240392269,-46.223100439755434,-53.536893942234386,13.95674985237747,126.69720548857926,37.51567898613793,21306
159.8804594678809,-11.007351084211818,-44.39044123397728,-32.58278059702041,-16.030937444493354,14.006354098479674,-25.80925868360012,-18.362612599498448,39.210471082879934,-20.36919542236347,-42.213223585128205,147.65192527552304,-52.328209582813,-46.464115037404774,-53.44258153973455,13.676367963704909,126.69309964043227,37.512529261238306,21307
159.91937045869503,-11.186074584501029,-44.572281350689934,-32.7837634005526,-15.856197029213797,14.20421380054946,-26.002362537875364,-18.34080916746034,38.93611190421001,-20.352763595836656,-41.6990562441474,150.13669759925165,-52.335609936360804,-45.86219271884974,-53.261582559996796,13.857249447328758,126.69463592515947,37.50972402615308,21308
159.89235588370798,-11.20136017009482,-43.838985629204885,-33.46431481781846,-16.262699953116762,14.132855249669973,-25.690179445862533,-18.54273642282844,39.194879043339554,-20.662697672888385,-42.009367022190894,131.1985370035955,-52.45639560622266,-45.100793916237734,-53.18393721679732,14.46203148145972,126.70257157044347,37.51088024429188,21309
159.66883598896544,-10.901079099048388,-42.378112743320315,-33.852895337494985,-17.41075002545528,13.134323729325503,-24.77790439043763,-18.90616716445063,40.28327161065134,-21.212440268271827,-43.90351667537447,108.80780276166372,-53.0773960188252,-45.66240715222231,-53.70880789680471,14.559200526333044,126.70802741158735,37.5214043470635,21310
159.74019719858558,-10.950099549912096,-42.7818310937639,-33.71514078776892,-17.09545758302971,13.455953675707951,-25.000944478796278,-18.803073724039404,40.02496335987149,-21.048989091555917,-43.33052681127318,112.15679578813074,-52.813507994779314,-45.38635450347985,-53.564723218408645,14.5667250163485,126.70645139187884,37.51875080500249,21311
159.81279752445144,-11.072698405170962,-43.164869726646806,-33.76363015179415,-16.780842914936592,13.816145417539916,-25.255111398076103,-18.743930017559716,39.667500462259376,-20.934966436245446,-42.64286211187649,114.76209381480642,-52.62587999495826,-44.81504331260998,-53.347165937964164,14.705053344407178,126.70691946411556,37.51509833713639,21312
159.88392812347786,-11.231456394612907,-43.62799525770946,-33.76696012858755,-16.399344221519737,14.13994459770895,-25.592571885879586,-18.641068302808325,39.226488965047146,-20.78367852250917,-42.067737089602204,115.04592880172225,-52.5230688313923,-44.619009296834264,-53.12690710874576,14.733098646843455,126.70652058482338,37.51059783447811,21313
159.6647744833807,-11.014803888241653,-42.26618015959389,-34.25443112357961,-17.508529258682387,13.220153962240605,-24.73221036757547,-19.052080304297892,40.20401778480441,-21.355977633985816,-43.7832528260461,93.19578283458718,-53.13995351491422,-44.89560111707176,-53.587907471004144,14.951925198249896,126.71319259164342,37.52037539808062,21314
159.62351831038202,-11.125350271361924,-42.01540106744301,-34.70167805168764,-17.707049705950226,13.136865622533838,-24.62792854256761,-19.25076398301684,40.19995997122867,-21.557198236011097,-43.93351163712293,73.19562432674411,-53.33842022106198,-44.322351228438215,-53.53657644555284,15.306964684113474,126.71891876142693,37.52020716759903,21315
