intercept,BAS_AR,서비스업매출월평균변화량,소매업매출월평균변화량,아파트시세변화_차분평균,외식업매출월평균변화량,외식업매출비율,근린생활시설 비율,단독주택 비율,x,y,BAS_ID
138.59354067074986,-16.575691871558757,2.994357602599521e-06,-2.4028547124616823e-07,-0.02653037875491404,-2.6904523688633327e-06,13.692058836826666,0.45683046791048054,0.8682151911364906,126.68913490770505,37.51870773736182,21300
138.17673271971393,-16.77613581040515,3.780710331889949e-06,-1.8738980187226863e-07,-0.02338549098990364,-2.723359862653605e-06,12.140686263305284,0.37548099743550656,0.8371972758855297,126.69545880461988,37.52241686372307,21301
137.08287601452682,-15.169513600149234,3.0427476483494614e-06,-1.1546537600272604e-07,-0.02161587872002698,-2.629337107150923e-06,9.423293307559659,0.29516236880652685,0.7439296339237085,126.70134171772969,37.52233877708572,21302
136.59562471478895,-15.524873332838954,1.8604326243768924e-06,-1.3000245443662005e-07,-0.023039434061878653,-2.4241618294283072e-06,8.646676447951805,0.3448451175304742,0.7686065019161821,126.69872979436714,37.51898140944887,21303
135.53402347027512,-13.830666114905407,1.696032146440618e-06,-7.058235899515184e-08,-0.022129337655240888,-2.1361968041418046e-06,6.704163791211724,0.28824801553286494,0.655816929849246,126.70341884326405,37.519318995056054,21304
134.68834570357387,-13.944704291523971,9.36373888504427e-07,-6.938979977587707e-08,-0.022597617388161427,-1.71289097251078e-06,5.485402340505468,0.31144469863040575,0.6584251867851524,126.70300423971963,37.515329100586754,21305
135.8988015494943,-15.195836369456316,1.043124081598942e-06,-1.2939607973427473e-07,-0.023382746277076975,-2.069218520955971e-06,7.749456419577949,0.3777745424168686,0.7795492975622957,126.69720548857926,37.51567898613793,21306
135.9581409333639,-15.047046238831484,5.264614084977144e-07,-1.574608067331236e-07,-0.02467616410297019,-1.9661024954300818e-06,8.661321998115497,0.4278471544710584,0.8482446736755058,126.69309964043227,37.512529261238306,21307
134.80652971549978,-14.208750368461244,7.303095243415169e-08,-1.3096873028851855e-07,-0.024130391988486405,-1.5231552156153632e-06,7.211106585964679,0.408014657673032,0.8376175841491884,126.69463592515947,37.50972402615308,21308
133.88301439270737,-14.044315990743183,3.245472488367377e-07,-7.960016791246322e-08,-0.0227695540143896,-1.4121315326246049e-06,4.553295495999583,0.3563043601642756,0.7007208250379926,126.70257157044347,37.51088024429188,21309
134.98638659232827,-11.511642270445307,1.847270837521207e-06,-1.758711193911222e-08,-0.01880161700132399,-2.138338510022942e-06,5.996262135948753,0.22852046815760163,0.5605631531124897,126.70802741158735,37.5214043470635,21310
134.43250886815426,-12.2048439210736,1.4286558650543967e-06,-2.4390360631456456e-08,-0.021037601716372603,-1.7689967696046174e-06,5.095618951983693,0.2594931231580764,0.5707728872619808,126.70645139187884,37.51875080500249,21311
133.85728708595786,-12.572986140678358,1.0376043410421962e-06,-2.438613174732571e-08,-0.02173242267009625,-1.5383253782504523e-06,4.239780823845775,0.2838104031725569,0.5689784403066155,126.70691946411556,37.51509833713639,21312
133.02640247777703,-13.0102633194474,3.821612562111903e-07,-3.5498499182338e-08,-0.02213489803849881,-1.2582227471649526e-06,3.087575336680292,0.3360066586721496,0.6053779317424373,126.70652058482338,37.51059783447811,21313
132.7652319963015,-8.076307626696256,1.43951784325612e-06,6.538682663265979e-08,-0.010706842373713867,-1.5856432262359489e-06,3.1995535260827292,0.16840402291443796,0.4197678359034157,126.71319259164342,37.52037539808062,21314
130.58127030974438,-4.092270106557063,1.2862717055315645e-06,1.623067141749145e-07,-0.0041836400039557565,-1.3085559637468477e-06,0.7458166154235499,0.059459422020196225,0.28303962597543,126.71891876142693,37.52020716759903,21315
128.52480589832365,2.250254205810097,1.0794874521431162e-06,2.941083008161145e-07,-0.00347192939259497,-1.165559585593019e-06,-1.6312281332506424,-0.07532062717500801,0.15159120728029205,126.72512332161521,37.52075627781089,21316
127.14394216965843,10.977669416158019,9.335956565824282e-07,4.349479312116213e-07,-0.005306252394050189,-1.055950598449493e-06,-3.3316201712952154,-0.1342665789635954,0.0695506694787679,126.73053373535897,37.52055707999099,21317
126.39149340140528,24.076187522324062,8.96041374254145e-07,5.88456147644991e-07,-0.005709338300349738,-1.0441063123692775e-06,-4.121618614135202,-0.14657826915571365,0.023667005242912216,126.7361576234256,37.52074545539758,21318
125.93608250657003,45.25039390535912,9.397980989545586e-07,7.022403514743032e-07,-0.006103837833876741,-1.050468545165875e-06,-4.01868204129768,-0.12715075323354588,-0.0003901854920340883,126.74321514378205,37.5219067233361,21319
125.25431575237005,58.276459465705194,8.91565888229165e-07,6.90793866364204e-07,-0.006664956422968733,-9.019963320912655e-07,-4.143385139065159,-0.11400266932841364,-0.007289179151486934,126.7488155826459,37.520512435412016,21320
125.68435569476827,41.85424484532379,7.888749922415691e-07,6.774627567921994e-07,-0.005443879416248682,-9.098716486347308e-07,-4.169425547117067,-0.13442395671367818,0.005702480857187643,126.74324183744143,37.51850596365194,21321
124.00872626324902,69.65089176482127,9.148613066755972e-07,6.73149129716245e-07,-0.007373802124918837,-4.6526307427605725e-07,-5.910669745779829,-0.06423455578412003,-0.014653599742463962,126.75566589791076,37.52007688820165,21322
125.91429470407668,14.911912483107212,7.086962919056722e-07,5.728849291305044e-07,-0.006081516947329965,-8.188200907153074e-07,-4.824120509910079,-0.15195575438169232,0.029753380104744414,126.73380894864344,37.51608671250486,21323
