intercept,단독주택 비율,평균최근접역거리,주거인구/직장인구,소매업매출월평균변화량,아파트 가구수,BAS_AR,평균최근접정류장거리,서비스업매출비율,x,y,BAS_ID
111.23317786236618,0.8562873570635054,3.569615958840399,0.7843947135657675,-2.1101726897458423e-07,-0.001564120443311558,74.06494424743768,-114.81921069720913,17.225467802180113,126.68913490770505,37.51870773736182,21300
110.63934533810061,0.6458696211342425,3.218251230037071,0.6095452390718473,-2.218825117521355e-07,-0.00034661760066106604,62.520743862385984,-119.37840473236514,21.093897571924362,126.69545880461988,37.52241686372307,21301
110.5676799421033,0.6291590338896906,3.0831151134060715,0.23194036877229324,-1.8042415256290532e-07,0.0005476410014543446,48.69820185270238,-121.29010428202753,19.198360560444613,126.70134171772969,37.52233877708572,21302
110.59013567741624,0.8231515853473729,3.279913127186778,0.3804248157714366,-1.1700292222087688e-07,-0.000518525391118079,51.46250340659972,-118.6236491497395,16.607797712116746,126.69872979436714,37.51898140944887,21303
110.6340219468364,0.7570548067045908,3.149858376285473,0.11722033238214954,-1.116106534840642e-07,0.0003659433869249649,42.98457912512026,-120.35695784608117,13.819124301089133,126.70341884326405,37.519318995056054,21304
110.37615231091328,0.9859772588700739,3.021192361619579,0.1169554949803606,-3.6991245829616235e-08,-0.0002487095480434168,41.73749909746184,-119.47555133185003,9.435792005961382,126.70300423971963,37.515329100586754,21305
110.39932176182909,1.020212090264487,3.1669766962849257,0.4608097011959321,-5.9360036755374766e-08,-0.001088397416304926,52.10668243875667,-117.18426360151024,13.763974847820053,126.69720548857926,37.51567898613793,21306
110.44321572755523,1.1697503364652717,3.114467174254801,0.6563770298738839,-1.5757007210098554e-08,-0.001873892340756606,59.57657716916862,-113.98547338977865,11.640532148008527,126.69309964043227,37.512529261238306,21307
110.24516893029892,1.2720381278638004,2.8284060372545707,0.5764669138088212,5.849896377740747e-08,-0.0018839199298592924,54.109315698830684,-112.13782722022208,7.82388475188298,126.69463592515947,37.50972402615308,21308
109.97008933148194,1.1841119844376755,2.863940797679876,0.2560847920433863,5.673194860311687e-08,-0.0009284281267116397,39.331860245733694,-119.44506230775076,7.00761637099424,126.70257157044347,37.51088024429188,21309
110.7348994625059,0.6274713958146274,2.850279383779,0.024404236617451572,-1.5338437262299378e-07,0.0016242436605064794,36.05725015238218,-122.71180655033015,12.211712982482982,126.70802741158735,37.5214043470635,21310
110.66057368965693,0.7361511582169975,3.0362423030985974,0.043101075108521604,-9.729248241040755e-08,0.0007894330405709067,38.08355483046175,-121.30074199849118,10.171072662787243,126.70645139187884,37.51875080500249,21311
110.42738725860346,0.8448556300957277,3.022571789719624,0.04916941230709329,-2.981837791689715e-08,0.0002690355792419302,35.72605916394081,-121.6051423223098,7.173186848486033,126.70691946411556,37.51509833713639,21312
109.97577352783014,1.2161389418027029,3.0008367350535545,0.14223405162696762,8.627698717244202e-08,-0.0004968119460374217,31.317776453066614,-122.68600746575251,5.229977693413994,126.70652058482338,37.51059783447811,21313
110.79955140338005,0.6747190281172549,2.4823979412509636,-0.014562884279478328,-1.2661953856639052e-07,0.002045165082563774,28.514891406428674,-124.34445271313518,3.656396424021416,126.71319259164342,37.52037539808062,21314
110.87837821294168,0.3204497752176151,1.5857057689795377,-0.029868053902204643,-1.1041023698348943e-07,0.002399713438842014,21.92713205605389,-126.8232871654265,-6.29637643396585,126.71891876142693,37.52020716759903,21315
111.0750241732512,0.002973804153185676,-0.1393238717820503,-0.03515057836144002,-1.0068844702722535e-07,0.002636496398003731,17.470375831287697,-129.28585550397003,-17.441439777052707,126.72512332161521,37.52075627781089,21316
111.217698999835,-0.07964533202689565,-2.1626358366209977,-0.0358998831601541,-6.796072952187413e-08,0.002567803616852232,14.785181691286686,-131.72377837990427,-28.66828722731902,126.73053373535897,37.52055707999099,21317
111.32584353077607,-0.07825098373475117,-4.511562426605533,-0.035442730913211866,-2.956081007917837e-08,0.00240275267021301,12.950444848788043,-134.4957025319328,-40.567449848927396,126.7361576234256,37.52074545539758,21318
111.3021620050344,-0.08386172007826263,-7.15642204145785,-0.0343901968757814,2.50138115957027e-08,0.002048950689291754,8.220486954030376,-140.006229992834,-55.0321423427436,126.74321514378205,37.5219067233361,21319
110.70515460072238,-0.07064174422183919,-8.586565807008636,-0.034408280006187494,9.838124868855438e-08,0.0015452673075908065,-2.608049674836508,-148.70332208562985,-65.33422917032829,126.7488155826459,37.520512435412016,21320
111.1351951003788,-0.07968650218671587,-6.420373739808689,-0.034875941870905106,3.811564895769088e-08,0.001996022463226218,8.587493652087224,-138.75675090348284,-55.4230058635295,126.74324183744143,37.51850596365194,21321
111.04206277818,-0.14047169057700773,-3.092849208381677,-0.03579505022555932,1.1180064626649525e-09,0.0023300589279953844,12.688179771880518,-134.01869527359372,-38.22530480394899,126.73380894864344,37.51608671250486,21323
111.03791672033418,-0.11147901228308593,-4.213694118214551,-0.03542718137390737,1.7762839525565253e-08,0.002210019823568724,11.651140478078021,-135.34910256067863,-44.29149680909314,126.73735307054208,37.51538694098997,21324
111.01570990449142,-0.08477174584916228,-5.418178840303181,-0.03513838955458014,3.975458401806909e-08,0.0019996913329085415,9.431088890083855,-137.31211156751579,-52.215600348852,126.74211095416764,37.515279842530006,21325
110.7544258901247,-0.06532584307519858,-7.382929169366278,-0.03480319972359161,1.0320109381139179e-07,0.0015449641928583582,-0.5097499638983773,-143.95166137779844,-63.96659062686467,126.7485031464966,37.51560938874926,21326
