,min,max,mean,std
intercept,100.82944680128803,101.6210973492918,101.124985921068,0.20427910659286427
주거인구/직장인구,-47.756918805536294,26.875228745178298,-23.030762120060434,19.987465783054173
아파트 가구수,-55.53219032860667,0.7868105282886466,-24.81753322946533,13.293949785329332
단독주택 비율,28.325477161529772,81.74525769600348,58.26988844499018,15.51076897194373
서비스업매출비율,11.226671024486768,14.014661663907251,12.341585750971248,0.7762086169698794
외식업매출비율,-7.942078546473686,-4.842150656694241,-6.677428013111927,0.8189468317273173
근린생활시설 비율,20.820539686522967,24.158560689636783,22.286917285725224,0.9257658438190373
평균최근접역거리,34.2132363389061,35.36161100353951,34.77528228685113,0.2890338530139862
(주거인구+직장인구) / 유동인구,14.679204002782967,17.711247843042003,16.249752138020266,0.7137355754907879
공동주택 비율,38.206930536578035,40.324000029782844,39.17955648477433,0.5284754044251003
평균 도로 길이,-26.768096924010266,-23.854534099584868,-25.537134434815567,0.8512152291418472
도로길이고려_전체통합도,0.30730535395658687,3.311234597100099,1.5435739587029502,0.75382407543943
평균최근접정류장거리,-35.66004858361288,-34.39949931893244,-35.280588089699194,0.2578200606976997
점포밀도,-22.219816989031376,-17.689361156045138,-19.541914549481945,1.0861813032710146
도로율,-7.738051842440643,-6.035366744654316,-6.8402529702263255,0.4125441615484084
상가밀도,23.677871553949416,31.70949092710415,28.618245096583383,1.8833588828412497
