intercept,도로율,소매업매출비율,서비스업매출월평균변화량,점포밀도,도로길이고려_전체통합도,평균최근접정류장거리,공동주택 연면적 비율,서비스업매출비율,외식업매출월평균변화량,06 to 18 / 18 to 06,BAS_AR,기초구역평균_국부통합도_R3,개별공시지가 변화 차분평균,서비스업종다양성,외식업매출비율,(주거인구+직장인구)/유동인구,주중 / 주말 비율,주거인구/직장인구,소매업매출월평균변화량,기초구역평균_전체통합도,소매업종다양성,근린생활시설 연면적 비율,아파트시세변화_차분평균,도로길이고려_국부통합도_R3,아파트 가구수,상가밀도,외식업종다양성,단독주택 연면적 비율,x,y,BAS_ID
132.98301376939915,-8.26481110014347,36616170.4037599,-2.755589993187073,-10.947887631173181,0.0341556791654294,-11.712549900695379,9.507884447124704,25306877.029838823,0.5230081512669613,12.496537417818535,-16.776494096192387,-2.3615274631408276,2.1584636767846064,6.305610471103225,29548026.760660633,7.242050880029198,-5.038743792283352,-8.779835067199274,-7.097370375620623,-2.0867471498905656,-4.784068160376506,8.886206357873371,-6.5035823349811785,12.062234547365946,9.073716272736098,0.2451971645315481,-11.171507961379314,15.609742538849817,126.68913490770505,37.51870773736182,21300
131.78547900258567,-8.001969650348718,604128451.908416,-3.4469081155498165,-9.788836902455046,12.11979762758951,-10.830279136436957,11.32053904259968,417536890.40765345,0.8982156934765662,13.043890079647595,-16.99040226235424,-2.6311118039348735,2.263012246657671,6.157582083259468,487511507.0126653,7.340013693884014,-4.966664919894695,-9.727497857605762,-6.6297701292086755,-5.80615718818741,-8.26540543700871,7.778312380373456,-5.785545906765278,0.01979263293772544,8.542259012443,2.4255116257305125,-7.693433664471535,16.042796339202656,126.69545880461988,37.52241686372307,21301
130.78363936364536,-4.870780428997062,154306772.6559281,-3.131251568258386,-7.914855290701941,20.088259665748236,-10.931580426111053,11.804952329897732,106647473.06426352,0.6685954658588104,14.153412874212027,-18.872807416082843,-1.7588497388801931,2.2846345525014367,6.732461258944529,124520417.56165975,7.917579309764327,-4.839887668150283,-9.653503583986154,-6.61342042978209,-9.49276426122013,-8.378141372804185,6.071018927185676,-5.374319542213753,-7.412634160311116,8.787207860591465,-1.7748924780258017,-5.204868584648898,14.835597952489298,126.70134171772969,37.52233877708572,21302
131.8386336486495,-6.5474808400729,108882225.9375102,-2.905788891514164,-8.958573990591344,11.19936161695294,-11.189637012357233,10.992906631600045,75252785.33193956,0.48838170324303,13.954821035825091,-18.430949150650825,-2.025422967208629,2.33389924071322,6.602808456587899,87864323.05365022,7.281663365968788,-5.1574683117199696,-9.12516795094126,-6.863955458605783,-6.219425906312764,-6.953627651763064,6.942269557928484,-5.9186388358993005,1.0403599694664387,8.872954805483442,-1.2172090425366675,-7.487471530472734,15.184050442485058,126.69872979436714,37.51898140944887,21303
130.87621414305838,-4.650924962203443,-33224683.229244493,-2.860108379000484,-7.412147849638644,18.80224920072121,-10.933482342091109,11.621535871384495,-22962876.797701452,0.3935708133259541,14.514749273320332,-19.606147870390647,-1.5307760663248227,2.413733403565495,6.968183238471159,-26811211.889444336,7.627190988011575,-4.958957322245465,-9.390374043829224,-6.699671061402611,-9.273725452687007,-7.832268017757614,5.542448004380335,-5.5123692993930336,-6.258704983382105,8.939159995655588,-3.1844170429194287,-5.352043369941847,14.473267318211919,126.70341884326405,37.519318995056054,21304
131.79120322727164,-6.591569903242342,66463814.791235246,-2.6926042589620027,-8.246933134549534,10.532017147200232,-10.920405600184015,11.24437943341935,45935756.378984004,0.1251839233910217,14.274147362702221,-19.195641738498004,-2.1282350801504375,2.666058034092257,6.973612322214624,53634079.96163599,6.973094298518869,-5.273092430056934,-9.150408701658089,-6.826376191538877,-5.929240556678611,-6.948488703226654,6.432284387247515,-5.929690701078919,1.4570731174419738,8.78335682977081,-2.2682606836632386,-7.282213691792536,14.908926704165964,126.70300423971963,37.515329100586754,21305
132.6613127072512,-7.065946146303593,-138822598.05427206,-2.4573730034246593,-9.622467940834909,3.167764807259376,-11.508285015249069,10.309784696670166,-95945741.38151449,0.19295626157678428,13.602386935378993,-18.629001970638758,-2.1999876915015437,2.475155019287775,6.90045656086415,-112025207.26308915,7.243795985604166,-5.208279877143867,-8.7762465460969,-7.149144923343009,-3.5913172741319173,-4.946939958846987,7.829451223091812,-6.2819833518911175,8.88144412098293,8.915923507180185,-2.5771468820911445,-9.458600784355486,15.075926606083414,126.69720548857926,37.51567898613793,21306
133.46269341136858,-9.267482860267078,-23601069.619818367,-2.342951692416112,-11.028780866642292,-4.124978898039656,-11.51239810217696,9.421221713705163,-16311621.55288514,-0.13556858843751265,11.504340612696755,-17.534893894106805,-2.59966923737355,2.6966781962191124,7.140508249611697,-19045277.640575025,7.678248812166147,-4.734574506181643,-9.359926080823293,-7.114515954418796,-0.3469577404280616,-3.6871745233973194,10.127828884106925,-6.31717325249641,15.886367139062843,8.522259838424326,-1.0079852553563862,-12.567822012788902,15.3326116282728,126.69309964043227,37.512529261238306,21307
133.55303739682975,-10.07645557193685,19427296.47702439,-2.190003244818989,-10.894866749483592,-4.903670962862797,-11.253193575416333,9.471615398990474,13426970.75440879,-0.4304286689352289,10.820660422279031,-17.708177631732063,-2.6283835189984814,3.036165670168067,7.6633609179907,15677178.15095485,7.870493165502911,-4.454969524278893,-9.864835113465546,-6.953217685484039,0.41860760098004407,-3.5398276475833033,10.800097709527101,-6.00418605401854,16.375006831450182,8.048479045408667,-1.1993027435135133,-13.268624694121568,15.292967702988864,126.69463592515947,37.50972402615308,21308
132.6329460927983,-8.084530900405422,77464039.81129469,-2.305505940257503,-8.784840125769053,2.434169501350102,-10.750991816256942,10.995888710793903,53538442.9344372,-0.24498812182104013,13.239683886495756,-19.085434482543437,-2.854408564544006,3.1713726757686342,7.561176387278968,62510894.04733692,6.919576787998343,-5.0915384375769985,-9.299653259979312,-6.843438515830682,-2.7821385070368363,-5.572638361835246,7.795837238877804,-5.9923189932789285,9.05324339992341,8.229466848924325,-2.5833095489002664,-9.457946708269567,15.135762839818861,126.70257157044347,37.51088024429188,21309
