intercept,BAS_AR,아파트 가구수,06 to 18 / 18 to 06,APART_DIFF_AVG,단독주택 연면적 비율,INT_BAS,공동주택 연면적 비율,소매업종다양성,BUILD_DIFF_AVG,평균 도로 길이,평균최근접역거리,(주거인구+직장인구)/유동인구,INT_BAS_R3,서비스업종다양성,도로율,평균최근접정류장거리,외식업종다양성,주거인구/직장인구,건물노후도,근린생활시설 연면적 비율,점포밀도,x,y,BAS_ID
67.8343501602944,50.469120080713274,-0.007366751370482451,20.85101534344131,-0.011048271352354274,-0.17057615088998526,-117.51225125909292,-0.024937109961935797,-5.3468617802449785,2.326263217612637e-05,-0.13302676825179258,4.8535813888494515,16.93641126391702,49.99508333099899,-8.532104937049441,-0.9822231241302097,-258.24103717979773,-24.982058977275067,0.038531949128349605,0.13536501756477806,0.18752940318306013,-0.0002520407963220593,126.68913490770505,37.51870773736182,21300
66.79214130439411,47.55703821980893,-0.007484822897709427,19.35479021991283,-0.011648268448412507,-0.1859319398392415,-63.79581900964414,-0.010319348334901033,-6.642607786408098,2.0065571004735023e-05,-0.1361682211338785,4.309660069953454,17.241832153330886,48.57107038308345,-7.860844401990059,-1.0307316846071317,-246.58645278328456,-24.065297032235403,0.029920830375474005,0.13897369076765742,0.26124475573208117,-0.000283336008177814,126.69545880461988,37.52241686372307,21301
65.0577522153362,45.01428863245635,-0.00755129579059765,18.57066895516713,-0.012109239865141862,-0.19248338406662457,-25.0352442806587,-0.0007172494999157314,-7.425616514573059,1.907565145435879e-05,-0.13705856570320102,4.016387245715959,17.347197363438372,47.95458023556911,-7.399775500607409,-1.067868608786384,-237.93714838335774,-23.566414398317608,0.024924808353676862,0.1410506059406467,0.30066474935143817,-0.000299742506028359,126.70134171772969,37.52233877708572,21302
66.77335112016095,45.775146710993496,-0.007476565174126209,19.327629545964566,-0.011772716938897998,-0.18415955378738808,-69.94581867748873,-0.010200655675835215,-6.577286710000748,2.231208532360005e-05,-0.13361627035510953,4.366228466654157,17.188049982377464,49.37289188280269,-7.826255908047389,-1.0463230729644537,-245.21091790417805,-24.079242413653866,0.029260043519509508,0.13817078733423344,0.2546727992387728,-0.00028103646527101515,126.69872979436714,37.51898140944887,21303
65.1580175654636,43.57805971303018,-0.007539390954062348,18.521976214558272,-0.012195041921376331,-0.19052280430430024,-33.606240107906636,-0.0015546780793814316,-7.355458965495468,2.1193648193313303e-05,-0.13461815781129408,4.095610925144637,17.284760076390903,48.87701288362322,-7.3919141037491904,-1.0800262783738659,-237.33022044728736,-23.556224149156368,0.024615302787468936,0.14035012028421584,0.2910097895240814,-0.00029555553200025215,126.70341884326405,37.519318995056054,21304
66.63993917925892,42.88339374926743,-0.0074780467806217265,19.11521032221738,-0.01200726727027908,-0.18249081507927215,-72.50600328939608,-0.008716247283222766,-6.630094607759953,2.5337187989933087e-05,-0.1300168557606556,4.4208187404622885,17.122086208260537,50.315254184851135,-7.695846360134641,-1.073705393532561,-242.10735734121968,-23.987522131609342,0.027496494563000268,0.13736872719963555,0.2506634524683136,-0.00027950209297852955,126.70300423971963,37.515329100586754,21305
67.55670846111902,46.186802892149124,-0.0074063534765611986,20.203991356499916,-0.011511263841337556,-0.17437306118035528,-103.84784611310582,-0.0174013882211439,-5.790335424317039,2.5487076491855468e-05,-0.1303100508827156,4.689284642945501,17.020941544031636,50.41308141672396,-8.168327914935436,-1.028991131924411,-250.83639793046186,-24.673501363964828,0.03327407974707105,0.13535129539168006,0.21270628264716906,-0.0002642668833543317,126.69720548857926,37.51567898613793,21306
68.83117631162145,48.66361835980885,-0.007328649282498632,21.656361140704412,-0.010972565652495485,-0.15871084929579884,-147.1656081085379,-0.030313475129086213,-4.677221041196065,2.885135884009512e-05,-0.12681457866947712,5.220583099313934,16.677279877828333,50.75121041287911,-8.741053054511632,-0.9855898148383316,-260.7171632388799,-25.376725263496294,0.04168174227552574,0.13153859566049123,0.14571571223454025,-0.000237925145363536,126.69309964043227,37.512529261238306,21307
69.75978045595139,47.77731493225373,-0.007315601927006867,22.239921493880207,-0.010885816309361187,-0.15018906223892767,-164.29394240211258,-0.03370726854679166,-4.2801563455426255,3.230594237333557e-05,-0.1228816471210073,5.474834187711275,16.506912287530326,50.69390042688545,-8.859935211504961,-0.984939180418611,-262.69411797329536,-25.615140403903307,0.04405152764774675,0.12881439711713516,0.1196479062815194,-0.00023029316809730174,126.69463592515947,37.50972402615308,21308
67.98009642880989,41.86197407441779,-0.007396440488483773,20.269971749964174,-0.011763385004204244,-0.16791521805775764,-115.92062004418356,-0.016059663996680035,-5.61553424174929,3.104014459497653e-05,-0.12380225937889303,4.874175996405976,16.90350346523429,51.45061987418943,-8.048675610395193,-1.0644674383301789,-247.89345795587195,-24.792522717691593,0.0315156815489178,0.1326528082639959,0.19814650365106168,-0.0002599655566509587,126.70257157044347,37.51088024429188,21309
62.598975252779454,42.396318970693855,-0.007638346249061082,17.485772303014187,-0.012669581571292405,-0.1975801013672934,26.373209381191426,0.009854775389259928,-8.568669180059054,1.7886189163864685e-05,-0.1377410419798392,3.8155871591425057,17.32254076464414,47.03205437645915,-6.8494771570604716,-1.1039193707667638,-227.21306871903906,-22.538635039322227,0.019590860043441596,0.14400813824478992,0.33644423561642944,-0.0003111990813383517,126.70802741158735,37.5214043470635,21310
