intercept,APART_DIFF_AVG,(주거인구+직장인구)/유동인구,공동주택 연면적 비율,근린생활시설 연면적 비율,외식업종다양성,단독주택 연면적 비율,점포밀도,x,y,BAS_ID
113.76316682094232,-0.012834008506571433,-0.016697927935439484,0.5146909786163896,0.7108908607702114,-36.13661782267561,0.7875914948903113,-0.0007921195645210126,126.68913490770505,37.51870773736182,21300
109.37937369350395,-0.013150690753892238,1.459042329355836,0.5198125665966402,0.7843763481718763,-31.334321511822225,0.738432884226801,-0.0008471978490830937,126.69545880461988,37.52241686372307,21301
106.59410880167485,-0.012926492954922873,2.396483825424497,0.5254652901131424,0.8176950378060455,-28.997181314657926,0.7033236938374579,-0.0008653656217500016,126.70134171772969,37.52233877708572,21302
109.34020524562987,-0.015870623551141487,1.3633056987609855,0.5312216820694925,0.8909725569373743,-30.365254312233937,0.7652590429985915,-0.0009747049910512353,126.69872979436714,37.51898140944887,21303
105.74774939580489,-0.01419789591484243,2.726236250578295,0.5451758383516965,0.9128227961309742,-29.744059039691813,0.7085808965403134,-0.0009579640028705986,126.70341884326405,37.519318995056054,21304
108.53085930801858,-0.017103363771700814,1.266897255593872,0.5659444064337116,1.0171424508611768,-33.295253730955146,0.7721751502024502,-0.0010817408844160205,126.70300423971963,37.515329100586754,21305
115.00213384635835,-0.018845722688954028,-1.5362873845793092,0.5171738272781238,0.8368393111152126,-31.82753935645785,0.8727248739269753,-0.0009697789519691216,126.69720548857926,37.51567898613793,21306
118.05345334024484,-0.015316627743013704,-2.7273224046126154,0.531059194275102,0.743562078076552,-40.81265919198142,0.8885836110995448,-0.0008512117292286861,126.69309964043227,37.512529261238306,21307
121.42349172468074,-0.015344405189440838,-5.07442263948691,0.5532312396900527,0.709708638238634,-46.59689791096733,0.9647874363758396,-0.0008145792274459934,126.69463592515947,37.50972402615308,21308
112.58572918067607,-0.015972609996993826,-2.4669438879901664,0.62106138870367,1.0107913277008584,-45.5212921346602,0.8740405636089527,-0.0010391740091490456,126.70257157044347,37.51088024429188,21309
103.81391055388656,-0.011435582643027657,2.985211808467096,0.516406289872053,0.7550926986108469,-26.363300136410146,0.6447690720266693,-0.0007752657241754289,126.70802741158735,37.5214043470635,21310
103.7268600754226,-0.013602566111839342,3.3610164505842004,0.5526943016757794,0.9243675869560726,-29.067242100811054,0.6802493296297786,-0.0009508889958084816,126.70645139187884,37.51875080500249,21311
103.61509220755994,-0.014543907605362867,2.8176425852416607,0.5959806818346651,1.0600605744482747,-34.59280264178195,0.6996255966117217,-0.001059328035377518,126.70691946411556,37.51509833713639,21312
106.66978397671872,-0.013090326362797234,0.2873867404362088,0.6386662598799318,1.0648141612011077,-45.044035126578486,0.7432641531652571,-0.0010238519164644613,126.70652058482338,37.51059783447811,21313
100.31750151744168,-0.011383799739505408,4.219843109663765,0.5079837128722315,0.7424391916479205,-21.250194788120393,0.5855915922536854,-0.0007634843767845248,126.71319259164342,37.52037539808062,21314
98.47042785062168,-0.010552666560889684,3.9097746668605344,0.4560583767262679,0.5650730004425343,-14.32121473505149,0.48577015342395125,-0.0005833733726498371,126.71891876142693,37.52020716759903,21315
95.53700077237107,-0.010381580421181692,4.722141231421037,0.3834680061056095,0.3887983113896478,-2.8024426044569783,0.3303405007689166,-0.0004442218502632645,126.72512332161521,37.52075627781089,21316
94.79493034606915,-0.009980926905378613,4.180872921393559,0.3299219528109317,0.25497000520537016,3.042352287559784,0.21712491283598756,-0.00032304330203249826,126.73053373535897,37.52055707999099,21317
92.8211911558827,-0.008605722577891493,4.016942333217599,0.3070490848050879,0.2899412836342259,2.0196560147256624,0.19996023701302865,-0.00029652314408939794,126.7361576234256,37.52074545539758,21318
89.70123137410212,-0.007576122833103971,3.5287381423698796,0.3383384932095668,0.4999201341971557,-3.505321298290758,0.24069314067179198,-0.0003971482729657944,126.74321514378205,37.5219067233361,21319
89.99907334842156,-0.007463072396015007,2.9535018442388963,0.3502151057835827,0.5660093992540092,-5.692112147164065,0.2648595319857799,-0.00043098944370026756,126.7488155826459,37.520512435412016,21320
90.183566783714,-0.007490226446450262,3.2636487606203506,0.3267246068964948,0.43589662484571556,-2.7961875942771854,0.2291998069300992,-0.0003300270207829942,126.74324183744143,37.51850596365194,21321
92.28622934283072,-0.007310660611065708,2.7758854926420216,0.35003125178006644,0.5913504445994867,-8.029681610857029,0.30354380526918934,-0.0004614444334285154,126.75566589791076,37.52007688820165,21322
95.7584549365208,-0.010028703286140344,3.9942884807186174,0.28505348274026576,0.06832189725762061,6.160482188823978,0.14734290587711543,-0.00013056187089761673,126.73380894864344,37.51608671250486,21323
94.68509146288716,-0.008209828346615919,5.069143235144942,0.24395655571216607,0.091632993758019,5.194211664949391,0.1613477300454047,-0.00011072803837650755,126.73735307054208,37.51538694098997,21324
91.89722950809612,-0.006420850686144383,4.660576656500446,0.25598930957532734,0.2530359514905787,1.0861728927045091,0.1985378487964475,-0.00018627363527520772,126.74211095416764,37.515279842530006,21325
89.42802227484076,-0.0069167909357942805,2.5699337312871076,0.3375989984997848,0.5157951945581707,-4.662447937679812,0.2463555299065257,-0.0003610834972804813,126.7485031464966,37.51560938874926,21326
95.43932549921698,-0.008376017346015235,5.196833795277381,0.23874088300623147,0.026028371244139103,5.239168615021895,0.16029772938581868,-4.9477320923526795e-05,126.73710299172977,37.512701817751,21327
95.7148398432793,-0.010723856646103782,4.424492227615174,0.2906695858750558,0.020514508184331367,5.0440749051771245,0.1543516065374468,-5.880412708231436e-05,126.73357519465186,37.5129551650066,21328
