intercept,BAS_AR,INT_LOAD,INT_LOAD_R3,INT_BAS,INT_BAS_R3,도로율,평균 도로 길이,APART_DIFF_AVG,평균최근접역거리,평균최근접정류장거리,건물노후도,공동주택 연면적 비율,근린생활시설 연면적 비율,단독주택 연면적 비율,아파트 가구수,외식업매출월평균변화량,서비스업매출월평균변화량,소매업매출월평균변화량,외식업매출비율,서비스업매출비율,소매업매출비율,외식업종다양성,서비스업종다양성,소매업종다양성,상가밀도,주중 / 주말 비율,06 to 18 / 18 to 06,BUILD_DIFF_AVG,점포밀도,(주거인구+직장인구)/유동인구,주거인구/직장인구,x,y,BAS_ID
-1227252.3622199148,-5.559421883635084,-0.01903449624886789,0.0035093489738943617,-102.7211213356006,-45.2485415401848,-0.05932616293487615,-0.0014821875337540885,-0.0043566004033651455,7.043936004596859,-167.570350502887,0.11798212222029769,0.3303586897693896,0.21629600494909879,0.4971850525907381,-0.00037310669872339837,3.6323415502041825e-09,-1.0531170928304183e-09,-8.508288843028493e-09,1227419.7070174513,1227460.286831846,1227392.0256003835,-23.663738131398286,9.321045328248731,-21.04132495679969,0.001945294497300427,-15.44596375029914,14.829248523106077,9.654068734996516e-06,-0.00024587258264302774,5.515401488709599,-0.07417774163374115,126.68913490770505,37.51870773736182,21300
-3716026.979280425,-5.441019616180505,-0.01913122879170481,0.003485868707110291,-97.00245468309969,-45.40504617132944,-0.058039964176495235,-0.0023873810050150652,-0.004435063799572915,7.052013127034893,-167.82456890217424,0.11747908527489326,0.33362322489422097,0.22422955427124266,0.49402630449660234,-0.00042460161327301986,3.6113338816507205e-09,-1.053551718853249e-09,-8.569224299987553e-09,3716192.2050089655,3716233.3842928577,3716165.2766844104,-23.250280334625074,9.361141287884342,-21.18766135339844,0.0018996165822600473,-14.87937011026074,14.915047397252804,9.166701840488067e-06,-0.00025038110269763413,5.677238371325858,-0.07459781721580235,126.69545880461988,37.52241686372307,21301
1016878.5629073272,-5.443554168860212,-0.019183972836089875,0.0034618944424221463,-92.9980581861399,-45.35201126267097,-0.05742662549447398,-0.0030820734110479572,-0.00449709266635424,7.053916056637879,-167.51650515726854,0.11718153620249822,0.3356658918539994,0.22999016065603187,0.4916742365114264,-0.00044378070144077575,3.601274175801918e-09,-1.0545416630533878e-09,-8.498566007581052e-09,-1016715.2431007061,-1016673.4596380536,-1016741.3601997489,-22.976809084582875,9.404941155138644,-21.302469633144952,0.0018522057157170787,-14.431821032283128,14.961236862274243,8.95348033871301e-06,-0.0002531398986612316,5.767946475294509,-0.07496970578901967,126.70134171772969,37.52233877708572,21302
672993.811992839,-5.592107655833652,-0.01922562071511313,0.0034843925486517874,-96.7063101448697,-45.18646571225184,-0.05886574802356065,-0.002440954265084571,-0.004448786062513746,7.04517090986235,-167.19103452889135,0.11758194645950229,0.3332492612957357,0.22428232583099444,0.49419906954770587,-0.000397797301806217,3.6163366380111e-09,-1.0521054971494339e-09,-8.41845199204958e-09,-672829.2189240417,-672787.7547363194,-672855.6639399515,-23.312898527775875,9.381607544176534,-21.182091711568695,0.0018762560685803703,-14.825570244136854,14.898290022876324,9.449537585816112e-06,-0.00024978275153059046,5.653620690532438,-0.07474788614894831,126.69872979436714,37.51898140944887,21303
-12738388.86293329,-5.587611718494363,-0.019234348433335314,0.0034583584916693913,-92.99138876399266,-45.14194090435111,-0.05830717306410754,-0.003120382674178183,-0.004505942249383697,7.050543952717998,-166.8672120658553,0.11730986612362483,0.33511034364139125,0.22982986595103294,0.49184345095792,-0.0004168563741081868,3.6113297842808826e-09,-1.056003546025886e-09,-8.316684999508428e-09,12738551.68903755,12738593.674934711,12738525.95843018,-23.04488543828954,9.422479912218314,-21.295284828369994,0.0018340300107452662,-14.38561032589114,14.931074137637168,9.210832833207341e-06,-0.0002524314470951958,5.735624476498199,-0.07506597951951209,126.70341884326405,37.519318995056054,21304
50854296.37190013,-5.810160387674877,-0.01936434369977487,0.003479065983232407,-95.87343254078623,-44.82453118281204,-0.05980519855487132,-0.0025958090942276974,-0.004476987753808454,7.02821255639765,-166.12682256896994,0.11765849109934927,0.3330647318666704,0.22542319561658702,0.4939009906486969,-0.00035905002992387823,3.627119823408244e-09,-1.0550187917029762e-09,-8.20286000609361e-09,-50854133.019900255,-50854091.001279525,-50854158.62154879,-23.34786282074354,9.430911193409543,-21.21649745936181,0.0018301499795468146,-14.675791296644535,14.877626822109287,9.820700135155815e-06,-0.0002492049306271008,5.622100235326571,-0.07505206213647038,126.70300423971963,37.515329100586754,21305
4322850.417119252,-5.738565298206894,-0.01924178831134773,0.003500217360637098,-99.86125633996967,-44.99786758232783,-0.060155786029330624,-0.0019190800431663488,-0.0044085575945497744,7.036833392843232,-166.76267796015622,0.1179311903994441,0.3311080533679316,0.21956147694955122,0.49623843655689454,-0.0003541150832867245,3.6315221703402254e-09,-1.051308503866342e-09,-8.314602483963733e-09,-4322684.860457945,-4322643.6186909545,-4322711.513497228,-23.59532255589328,9.367740802815165,-21.089442425966162,0.0018923515064232965,-15.141207789930316,14.840183297793457,9.890201220773966e-06,-0.0002468254189578472,5.547467972717595,-0.07457428050341501,126.69720548857926,37.51567898613793,21306
-14899574.572078329,-5.840772627206977,-0.019126922367601922,0.0035168255222958406,-104.66781028554962,-44.86702486401314,-0.061367985024468164,-0.001179252025308464,-0.004339939594315943,7.034439551236906,-166.51647078695632,0.11837000608236971,0.32821159971936653,0.21286507146825057,0.4988826247424034,-0.00031032222529522033,3.6509426575665104e-09,-1.0516019706167968e-09,-8.228566710325412e-09,14899741.934142832,14899782.633121189,14899714.622722378,-23.941835592806708,9.331487599868607,-20.965514413831006,0.0019331579289652587,-15.610745591380478,14.762628326119696,1.0285025412470302e-05,-0.00024302179814043442,5.406608336571794,-0.0741862101668219,126.69309964043227,37.512529261238306,21307
-779845.2511806277,-5.999505501918748,-0.01917285929819397,0.0035222573332530814,-106.02600797218565,-44.6347787433919,-0.06248246787377565,-0.0009646140401957809,-0.004326474270253479,7.025595105187115,-165.87989182115314,0.11858814316039538,0.3269168477669352,0.21078286979475241,0.499845891897221,-0.00027244744411067476,3.664507308198996e-09,-1.053251045723028e-09,-8.079453481518636e-09,780012.690516262,780053.4534316687,779985.5611956676,-24.101706162040845,9.342230024651764,-20.93185128691587,0.0019257850204505809,-15.722229037249257,14.721853006401894,1.0645401413121607e-05,-0.00024121988249740483,5.334387424366529,-0.07418631453575232,126.69463592515947,37.50972402615308,21308
-4440789.183934966,-6.07566109282017,-0.019376673976360094,0.0034936279145293308,-99.63710435379194,-44.49998984706267,-0.06238814752597036,-0.00201902418638918,-0.004427316801572819,7.02601949302897,-165.16942861753446,0.11819790884912615,0.32978251570171085,0.2196742561915646,0.49640846732671734,-0.00028979300357008677,3.664220682739369e-09,-1.062643267907994e-09,-7.877025895787278e-09,4440953.5288501205,4440995.2558378875,4440927.797493688,-23.73041982936354,9.422821557663246,-21.101651505796923,0.0018460731979415515,-15.005617651469773,14.762207409161844,1.0467517712795378e-05,-0.0002452309860553323,5.4631224793132445,-0.07481121203095718,126.70257157044347,37.51088024429188,21309
