intercept,06 to 18 / 18 to 06,APART_DIFF_AVG,소매업종다양성,(주거인구+직장인구)/유동인구,공동주택 연면적 비율,주거인구/직장인구,근린생활시설 연면적 비율,INT_BAS,외식업종다양성,평균최근접정류장거리,단독주택 연면적 비율,점포밀도,주중 / 주말 비율,건물노후도,x,y,BAS_ID
119.58035479497299,18.111118405894267,-0.006081932368222769,-10.430299992369283,6.133474336363446,0.345012006178241,-0.07736876099093369,0.2648147308140806,-147.04957917698923,-23.077188312438786,-167.46267816886797,0.4396272178114763,-0.0003153447748988353,-18.283013636941874,0.14510977832905914,126.68913490770505,37.51870773736182,21300
115.56950238055867,20.447371633271317,-0.006550190504681537,-11.039983186516052,7.177209496104189,0.373690610574052,-0.07682712021745404,0.3150906662651593,-143.9656336341376,-20.424217466682634,-177.9073110410559,0.44598160586299773,-0.00035419519516341903,-19.211948400011444,0.14267853602542557,126.69545880461988,37.52241686372307,21301
113.90481201854341,22.671663867197,-0.007038510814818059,-11.545556519546102,7.947099684346521,0.39989032061807406,-0.07643384122832643,0.3528841173107198,-146.90455642828817,-18.08499177102708,-187.33141303904213,0.45296457464550394,-0.0003838798414795045,-20.832531671595408,0.1413469236127466,126.70134171772969,37.52233877708572,21302
114.2431020196606,22.303854135788082,-0.006951552940089663,-10.27244522328672,7.691342635699528,0.38925557236901254,-0.07717106247873531,0.3353624010257204,-145.41974397515455,-21.01421468996488,-187.13400207292,0.46009618008949926,-0.0003814061839834584,-20.356099049060987,0.14097885068800628,126.69872979436714,37.51898140944887,21303
114.05770714620337,24.428710877875645,-0.007494786865568586,-10.957231030334142,8.34419413446557,0.4170208293715659,-0.0766550419314266,0.3732824951317244,-154.7148997144506,-18.28806872608861,-195.99774982450052,0.4660155518952155,-0.0004095786006946184,-22.382137915136454,0.14026048548821451,126.70341884326405,37.519318995056054,21304
113.81428905436208,24.18962436789914,-0.007560053635582792,-9.708947899551708,8.010587562315724,0.4129411223662393,-0.07861121135099555,0.37126135479038397,-154.28248362051318,-21.63537226960788,-195.24994704789165,0.4741279554251689,-0.00042002052852774697,-21.579873569550635,0.13859389087052887,126.70300423971963,37.515329100586754,21305
115.38522113943108,20.70320569220177,-0.006657534493177794,-9.72453591781258,7.009296952782394,0.3698840173574496,-0.07855686517841377,0.3036445501015771,-142.43216004515256,-23.488382494027107,-179.40157108745856,0.45555747837184996,-0.0003587308975874847,-19.00727856320376,0.14175341755991544,126.69720548857926,37.51567898613793,21306
118.01047034938824,19.10272238720271,-0.006200962396654847,-8.908088386162698,6.246988927963165,0.34416703546546795,-0.07976294896844552,0.2570987952268321,-138.6027036238869,-26.42988422487975,-172.79622939126344,0.45471714346736936,-0.0003275931911009902,-18.313579170207777,0.14338871730841912,126.69309964043227,37.512529261238306,21307
117.5528495377818,19.07508108930746,-0.006138292452345398,-8.213938445872053,6.099185713406516,0.33944192890292113,-0.08188815092523154,0.2500988917380594,-132.4602451822998,-28.622574814798,-172.9817829345909,0.4603752248375957,-0.00033074705992540686,-17.870510501710076,0.14239495531383756,126.69463592515947,37.50972402615308,21308
113.03311576833882,22.807240587195416,-0.00729688779375614,-8.447762938953433,7.24418605611758,0.3969107535676919,-0.0827637566956604,0.3556041815386582,-143.7687351123069,-26.61685431351346,-188.35742234993768,0.476417777326065,-0.00042002615226243914,-19.319071886782133,0.13648936744983242,126.70257157044347,37.51088024429188,21309
114.42529086809425,25.323808956643752,-0.007743539952449719,-12.777475425625365,8.637880541497694,0.43476177594886983,-0.07644264558167288,0.389288807166093,-158.60359887838774,-14.187888202697518,-196.7531499412741,0.45684061224433953,-0.0004082571320606588,-23.665402625432915,0.14148436802678369,126.70802741158735,37.5214043470635,21310
114.90486466257066,25.487732105138083,-0.007869228004503235,-11.59666943930579,8.536005305021348,0.43361542516751056,-0.0769799291568289,0.3895606108567805,-163.5285487600114,-16.53222027111144,-199.02331155949526,0.4661169450840415,-0.00041968250426748345,-23.645825969431254,0.14049564957512795,126.70645139187884,37.51875080500249,21311
115.82645876717247,26.94635633293773,-0.008463448615466867,-10.26338910485547,8.539910668930528,0.4531851944717997,-0.07915880556554752,0.4228821166072408,-177.00677099929956,-19.113740997539967,-206.3485088960816,0.4850099525055615,-0.00046350612707502073,-24.745600693854982,0.1379491752378985,126.70691946411556,37.51509833713639,21312
114.82289925550725,25.0542042543697,-0.008234660419239457,-9.021486768783882,7.3115463175691024,0.4389412251730667,-0.08491005133407409,0.41765627916133674,-167.42947723201652,-25.201480324744196,-194.20552464330981,0.48278931224684846,-0.0004704745205779028,-21.495904410458774,0.13426167470942174,126.70652058482338,37.51059783447811,21313
115.62348137950262,26.54641755529945,-0.008286025128709481,-14.482477628041849,8.732607905732436,0.45811820476859083,-0.07800856092236784,0.3973307384838514,-167.00565533065264,-10.669369543317478,-196.57195044211937,0.4485209318089444,-0.00040490197131748303,-25.344447647706225,0.1432732286842484,126.71319259164342,37.52037539808062,21314
114.20862432578083,27.041958646403305,-0.008680875087868332,-17.0253239005573,8.694959139337342,0.47705155990389275,-0.08094289870750708,0.3905925564345704,-158.04350734840182,-6.3932593040086685,-189.20076362482695,0.43105765067158314,-0.0003816774863039156,-25.829839772565002,0.1458123917333548,126.71891876142693,37.52020716759903,21315
105.36245231575477,25.959472952527587,-0.008530612630509207,-19.31821392945071,8.640178114451178,0.47894909895446797,-0.08337450355838406,0.39340577636235696,-113.96646965993503,-3.4115846841576816,-173.80274227451687,0.4145142891477628,-0.00035534649721837767,-22.841133922914516,0.1453778036397834,126.72512332161521,37.52075627781089,21316
