intercept,BAS_AR,INT_LOAD,INT_LOAD_R3,INT_BAS,INT_BAS_R3,도로율,평균 도로 길이,APART_DIFF_AVG,평균최근접역거리,평균최근접정류장거리,건물노후도,공동주택 연면적 비율,근린생활시설 연면적 비율,단독주택 연면적 비율,아파트 가구수,외식업매출월평균변화량,서비스업매출월평균변화량,소매업매출월평균변화량,외식업매출비율,서비스업매출비율,소매업매출비율,외식업종다양성,서비스업종다양성,소매업종다양성,상가밀도,주중 / 주말 비율,06 to 18 / 18 to 06,BUILD_DIFF_AVG,점포밀도,(주거인구+직장인구)/유동인구,주거인구/직장인구,x,y,BAS_ID
-701209.6591417727,-5.37669269531911,-0.019129619333498188,0.0034879762001049598,-95.05414906162454,-45.436584653238775,-0.0610835482839736,-0.0022500126303532327,-0.004446669803443452,7.030405295185688,-168.44392748783116,0.11736201882249926,0.3343534492935161,0.22594662315295552,0.493990938057805,-0.0004498545252004621,3.665667942959152e-09,-1.1026707676852122e-09,-8.772683466140293e-09,701374.9164693459,701415.9791039756,701347.8960783815,-23.20523396675494,9.370428994911173,-21.23721615023858,0.0019033997697818043,-14.898934679935293,14.952117984859527,9.100899002675032e-06,-0.00025022872999389884,5.691857581018995,-0.07456994504142725,126.68913490770505,37.51870773736182,21300
832741.3400042605,-5.1938092959284905,-0.019112532391388357,0.003455971141208052,-89.26842696877078,-45.64539489400348,-0.05921530475033879,-0.003190693945266622,-0.004523253104890509,7.040907182700198,-168.89479308232185,0.11678069761742683,0.3379497959872559,0.23429832779735515,0.49051588375504285,-0.0005134274130497954,3.6352028766670296e-09,-1.0994835844216653e-09,-8.900476781296092e-09,-832578.126628399,-832536.4865045692,-832604.5096970971,-22.735496568901773,9.403112924347726,-21.3994395703614,0.0018619501823392735,-14.332929372714403,15.063114898104908,8.470356328685501e-06,-0.00025514136213588217,5.86652035463466,-0.07495843486020842,126.69545880461988,37.52241686372307,21301
-2912851.2425214206,-5.158560148667257,-0.01906479927526699,0.0034279473760165245,-85.72051905484766,-45.61319541422547,-0.058700523728448493,-0.0038125946375330995,-0.004574610120588392,7.043831057578049,-168.67948858454884,0.11649318571270963,0.33978434875256375,0.23966955734059142,0.48816054778649554,-0.000536327036064881,3.631852126363179e-09,-1.1061885649747408e-09,-8.84538256561073e-09,2913012.8553256057,2913054.9715397893,2912987.0796052236,-22.460463888693813,9.440459282826149,-21.51871749846682,0.0018242567100449475,-13.931278703858938,15.105910627303768,8.182342353563188e-06,-0.00025764303505200774,5.94217655989287,-0.07522892280728746,126.70134171772969,37.52233877708572,21302
783265.169514766,-5.351585807504318,-0.019196041965677032,0.0034539404384966586,-88.93422703623563,-45.40344821118251,-0.060536568100121514,-0.00319821534678176,-0.004537942959192502,7.030574700075843,-168.2825131714073,0.11690090335800861,0.3375553513051826,0.23427831200699706,0.4907948673126302,-0.0004866382613949938,3.648358396814342e-09,-1.1041711525440455e-09,-8.760923366603308e-09,-783102.5617817964,-783060.6513339727,-783128.4662032691,-22.812278679614792,9.422920274760632,-21.391965984028833,0.001839155057055649,-14.29804137626402,15.04700100193763,8.782853872164874e-06,-0.00025428440966319515,5.837681011426461,-0.07509751862954431,126.69872979436714,37.51898140944887,21303
4052031.769590335,-5.308638850994469,-0.019132882460941192,0.0034261463643393874,-85.64382030970467,-45.37421045579892,-0.05988391437109131,-0.003792269160154725,-0.004586431582490146,7.032765094647211,-168.0728177246524,0.11661643835428065,0.3393430641563644,0.23946442509170662,0.4884525622339173,-0.0005093341035363711,3.6452058590160098e-09,-1.1110132476197362e-09,-8.711952286499584e-09,-4051870.674387637,-4051828.3107391857,-4051896.0203980026,-22.54045560021063,9.459983016165893,-21.511906584383574,0.0018031751898930893,-13.911705604354857,15.08693124186273,8.485153561012936e-06,-0.00025669779302278683,5.909044620698133,-0.07535396401086508,126.70341884326405,37.519318995056054,21304
-1083534.618402249,-5.5746297217290595,-0.01927449038254806,0.0034447727510040715,-88.13154441912484,-45.03588989144474,-0.062431975363499356,-0.0032988098403494356,-0.004563141429862918,7.016824689419961,-167.2638927202602,0.11704199731936515,0.33709714189661755,0.23510827449075547,0.4906869261072895,-0.00044913893623061226,3.6751452424235966e-09,-1.1176373620475745e-09,-8.509200906404116e-09,1083696.159110219,1083738.4930903479,1083670.989203567,-22.87636709588421,9.462856630743829,-21.412604993656835,0.001801581351310974,-14.174390434509053,15.013199297473228,9.166269341394184e-06,-0.0002533247321411898,5.7940913495431206,-0.07531104262541302,126.70300423971963,37.515329100586754,21305
-2342285.256248015,-5.543965941567599,-0.019270517425070206,0.0034738445012051228,-92.08616954029849,-45.16449765209046,-0.062484123477783565,-0.002641891264290604,-0.0044995626399819974,7.0193599885423374,-167.71301464438946,0.11730754370428004,0.33518303540130917,0.2293487557190508,0.4930306300023051,-0.00043507398174542537,3.6754852028670756e-09,-1.11011148419345e-09,-8.610020112250454e-09,2342448.7721299506,2342490.46640809,2342422.735342896,-23.13309631080221,9.414933755735943,-21.292225686747997,0.0018524586461766562,-14.613304674309592,14.970428991815588,9.322637310155514e-06,-0.0002509495172462638,5.719094029991184,-0.07493648205417612,126.69720548857926,37.51567898613793,21306
618896.5332009459,-5.717437529800664,-0.019271696895643554,0.0035006479067603347,-97.2152156012404,-44.9527293112866,-0.06427505286317087,-0.0018094216843314364,-0.004429632900349369,7.00954941814925,-167.23470050661595,0.11782677202224388,0.33187591282522144,0.2219505465444266,0.49610055308397616,-0.00037572472716280997,3.7049685383645043e-09,-1.1146465977135953e-09,-8.480589649658163e-09,-618731.239256634,-618690.0417614722,-618757.8135980923,-23.549265532779103,9.38969190605634,-21.155888293845937,0.001887565015042646,-15.11287758215586,14.870507614650489,9.891701900510313e-06,-0.0002464626114640636,5.555233631987076,-0.07458897780755767,126.69309964043227,37.512529261238306,21307
22416985.25947729,-5.918550173862999,-0.01934641894672069,0.0035095663609697207,-98.82141137772281,-44.65299024438956,-0.06611773427569542,-0.0015000960778898296,-0.004413795760448476,6.994465043109939,-166.47012623200885,0.11810445858167466,0.3302680692450068,0.21936721787284208,0.49736879358877395,-0.0003289511439774511,3.7320096667365e-09,-1.1245888434821871e-09,-8.310633410659067e-09,-22416819.843601175,-22416778.58510232,-22416846.198737927,-23.757783367153465,9.406071457521907,-21.117103774979682,0.0018786727352551385,-15.260122494123022,14.815931632878772,1.0360359411391452e-05,-0.00024400541456840743,5.460853525471462,-0.0745857148740967,126.69463592515947,37.50972402615308,21308
-4332075.993548654,-5.919948857408603,-0.019405177905645943,0.003468992019385381,-92.05097127497368,-44.57765884448582,-0.06597547361697398,-0.002585433119996809,-0.004517204689033475,6.997206911454907,-166.05645377051763,0.11764126868096007,0.3335887112399157,0.22892461270794007,0.49357187258034085,-0.00036408399230009606,3.729921103680569e-09,-1.1367062282013252e-09,-8.183161475231757e-09,4332238.387051021,4332280.553119535,4332213.286995582,-23.32646278369874,9.473897122766433,-21.29982118522245,0.0018058470448096171,-14.53938357731934,14.884659299890004,1.0022482222204735e-05,-0.0002484318089803223,5.608044953366854,-0.07515534874143037,126.70257157044347,37.51088024429188,21309
