intercept,주거인구/직장인구,소매업매출월평균변화량,서비스업매출월평균변화량,아파트시세변화_차분평균,아파트 가구수,상가밀도,BAS_AR,외식업매출비율,x,y,BAS_ID
168.06674153480108,0.7201461233163322,-3.6276347155707334e-07,6.887082912804029e-06,-0.01663054768089939,-0.00411406840642726,0.00451419947198464,-32.284482280822246,11.023282949675298,126.68913490770505,37.51870773736182,21300
165.24347944102013,0.6491691493626632,-2.956863505487773e-07,7.701213823721093e-06,-0.01586324398652727,-0.002653793482746759,0.004461204515277735,-32.82469924636064,9.73679713050712,126.69545880461988,37.52241686372307,21301
164.51181536578707,0.2469330243302272,-2.10376963159798e-07,5.847616060515684e-06,-0.016345868711716425,-0.0010597089731437968,0.003870678267194681,-31.736994079237785,8.196768400357893,126.70134171772969,37.52233877708572,21302
166.19961487319574,0.3517076063028438,-2.269539536609887e-07,3.105394166470267e-06,-0.017620737140442082,-0.0022739718209736073,0.0036737376517948024,-31.755008883362798,8.02895031945662,126.69872979436714,37.51898140944887,21303
163.6711861221997,0.14287063241313253,-1.6175267501643423e-07,2.6699384889421e-06,-0.01762597519617271,-0.0009937764457586744,0.0027406386220158144,-30.38166515359132,7.131695801038462,126.70341884326405,37.519318995056054,21304
165.57704041740598,0.2023700813347284,-1.6292058350775483e-07,7.323154310734502e-07,-0.01883423471501231,-0.0017827791932558054,0.0022623145364731056,-30.114165081048768,6.873341325752726,126.70300423971963,37.515329100586754,21305
168.4857259021249,0.43524639471564475,-2.295735552146285e-07,1.1152064087599847e-06,-0.0184436760259251,-0.002859298849231945,0.0032177623542893477,-31.223713566001393,7.821828550382992,126.69720548857926,37.51567898613793,21306
170.99453840809244,0.641653094260502,-2.654010130172605e-07,-2.01816168883461e-07,-0.01865011393080973,-0.00373024176908026,0.003298449783809699,-30.679899762477014,8.604252809771092,126.69309964043227,37.512529261238306,21307
169.340962067598,0.6354698765714015,-2.383928902725434e-07,-1.3048910164693397e-06,-0.019122580982801785,-0.0036694353596739802,0.002537215937719977,-29.43622038442888,8.219459525031933,126.69463592515947,37.50972402615308,21308
165.84192403364517,0.38393704457695776,-1.755215300398103e-07,-5.585273672328585e-07,-0.01969334856008298,-0.002612858768428092,0.001990230361003934,-29.559053600991845,6.906915363986866,126.70257157044347,37.51088024429188,21309
158.58847228601059,0.054932287890247185,-1.0309140669360149e-07,3.621158570878303e-06,-0.016180197351575335,0.0008574753624508626,0.002210916898025969,-28.79702446675622,6.643484739650059,126.70802741158735,37.5214043470635,21310
160.72983216715704,0.07693706881898957,-1.1263045206028893e-07,2.0557795353879765e-06,-0.017598168275190236,-0.0002539562105115296,0.0019006277568533534,-28.949556340505858,6.471854495632556,126.70645139187884,37.51875080500249,21311
162.34111642163913,0.10945147734874872,-1.1270838762321622e-07,8.394492236986335e-07,-0.018790058822490886,-0.0009781048083992968,0.0017062885886181241,-28.993304584274924,6.413832928955275,126.70691946411556,37.51509833713639,21312
161.39276688475053,0.24090284576134843,-1.2422409490200354e-07,-6.818165390302394e-07,-0.02067524707487508,-0.0020262293822245654,0.0015186652749768484,-28.64136229323231,6.411357548170974,126.70652058482338,37.51059783447811,21313
151.41791721262715,0.010033042267689606,-1.2937003705171005e-08,2.3696834591259324e-06,-0.014852758848385125,0.0020069414436496204,0.0010587712685374577,-25.657294450831138,5.415502527148682,126.71319259164342,37.52037539808062,21314
144.0663107370506,-0.012472758030638933,9.166596219888343e-08,1.3450712147827178e-06,-0.012310312210356831,0.0034127625482019614,0.00040788271081806146,-21.698876163017847,4.119010278990213,126.71891876142693,37.52020716759903,21315
137.64294106377884,-0.024150736820395518,2.2655914116017694e-07,9.690473691271385e-07,-0.008269706584651652,0.0046099119885586615,-5.567507229478223e-05,-14.586273387776469,2.682253520145159,126.72512332161521,37.52075627781089,21316
128.24773133624626,-0.028716279349355375,3.621874748295062e-07,8.345957201788818e-07,-0.004625699405735039,0.005359091567863045,-0.00037883410971656405,-4.515924582498779,1.788851739030704,126.73053373535897,37.52055707999099,21317
115.61463430712045,-0.03127299613321256,5.007190489617446e-07,7.416978380593258e-07,-0.0024515066854893935,0.005926585101241763,-0.0006451749207000734,9.713369847366693,1.3782689251259992,126.7361576234256,37.52074545539758,21318
107.5281598747963,-0.03524394885265459,5.87031121619518e-07,7.266399856408987e-07,-0.00047135873573911965,0.005945572553196214,-0.0009507947706616905,31.85868384906921,1.2238530706563093,126.74321514378205,37.5219067233361,21319
111.36116724947189,-0.03903081984103844,5.504426323787302e-07,6.77321763131624e-07,0.0005122871212881839,0.005482670726816815,-0.0011487305775440262,46.50956369513255,1.4694583782418684,126.7488155826459,37.520512435412016,21320
107.48217350566034,-0.0344512291287015,5.602062521617695e-07,6.378903767733888e-07,-0.0005835510670949582,0.005862074029622763,-0.0008675346590197039,29.14775039697774,1.8105220931474797,126.74324183744143,37.51850596365194,21321
121.67200477740941,-0.04527084168468228,4.792252561721845e-07,8.505714350733431e-07,0.0008360379674506107,0.004625919853834188,-0.0015653381356602837,60.57367539716217,0.6742008842419729,126.75566589791076,37.52007688820165,21322
118.17321012616597,-0.030365038449363158,4.840626798633795e-07,6.337521536719786e-07,-0.003622916124756976,0.0054159852163318985,-0.0005743821895657201,1.3389198383165128,1.6403326142360286,126.73380894864344,37.51608671250486,21323
109.61304186575894,-0.03166788355382077,5.253530743776498e-07,5.662150604903501e-07,-0.002044611012344777,0.005629607211585891,-0.0006646211079637253,11.278489999123538,1.7918385440998765,126.73735307054208,37.51538694098997,21324
