intercept,단독주택 비율,주거인구/직장인구,소매업매출월평균변화량,개별공시지가 변화 차분평균,평균최근접정류장거리,평균최근접역거리,외식업매출월평균변화량,서비스업매출월평균변화량,서비스업매출비율,BAS_AR,아파트 가구수,공동주택 비율,x,y,BAS_ID
105.5737064169951,0.8576525331192022,0.7383917042876053,-8.57573077499059e-08,-0.00012871893048230055,-95.48497417489588,9.408780756482813,-2.8083771679538e-06,-2.039234741322257e-06,31.030038721114565,53.21574267708259,-0.004796705030029675,0.17426978531581144,126.68913490770505,37.51870773736182,21300
105.07691062346203,0.6529642991639935,0.5364570034644177,-1.0982727691358249e-07,-0.00012288308118793537,-99.31622617925497,9.283224378929386,-3.1066521707456077e-06,-1.4807593756948552e-06,33.05513460691968,46.96988050585654,-0.003645226539170831,0.15735337839580357,126.69545880461988,37.52241686372307,21301
104.61246030218891,0.6273609024701257,0.18817618575250214,-7.743027989790183e-08,-0.00010220185297568579,-102.5317621425792,8.951726373317397,-2.706663175917787e-06,-1.3130131583949438e-06,29.508872035109043,40.4853918240331,-0.0028409252652014058,0.13599888972235152,126.70134171772969,37.52233877708572,21302
104.41710979435196,0.8156384470045828,0.29883242431585877,8.103592177527392e-12,-9.459515709490615e-05,-101.60131730293982,8.861663637140136,-2.0845821999617884e-06,-1.4259469307936076e-06,28.256258258788957,40.813674200881145,-0.004121213868552695,0.13743082426126305,126.69872979436714,37.51898140944887,21303
104.25808676761801,0.7477872293152604,0.1100328789730402,-4.656334268909435e-09,-7.64107564311034e-05,-104.0501645476489,8.573189048457682,-1.7956650531430609e-06,-1.2055385739857928e-06,24.91341543848759,37.28685171874546,-0.003164226762655256,0.12240153935219952,126.70341884326405,37.519318995056054,21304
103.81048373814076,0.9653184128071374,0.1484799127374934,8.374350889095526e-08,-6.357530541619766e-05,-105.30077639675247,8.282224966674951,-1.1727333616185202e-06,-1.175593146148699e-06,23.440361518074678,35.61211655970568,-0.004064854266074442,0.11823822824784669,126.70300423971963,37.515329100586754,21305
104.04940447580623,1.0025236258289205,0.3710736856428014,7.124717640418266e-08,-8.553875563059556e-05,-101.41670662023162,8.532115230132913,-1.5251069689310102e-06,-1.4945515111768916e-06,26.432421818357394,40.23570607874877,-0.0048304491714160035,0.1322632708998986,126.69720548857926,37.51567898613793,21306
104.03577721797033,1.1461057412686804,0.6076068052250769,1.287033284689857e-07,-9.176870097659455e-05,-98.41123520508106,8.362189296240338,-1.3643970779046362e-06,-1.9477018293969736e-06,25.575321530421498,43.25684231098191,-0.005639843544294039,0.13933508603698155,126.69309964043227,37.512529261238306,21307
103.66678711093367,1.2376256837908919,0.5801084914208071,2.1690995173085887e-07,-7.514100028399272e-05,-98.52533683393614,7.945496634212756,-9.95994189149067e-07,-1.9088938696046644e-06,22.92342080681403,40.766845104849125,-0.005882268827124296,0.13396961453352768,126.69463592515947,37.50972402615308,21308
103.18510562143295,1.1510349036849217,0.2918997769860219,2.0718579189154005e-07,-5.2376966524724426e-05,-107.50279564945191,7.861289441606955,-7.635609247058886e-07,-1.225030105467114e-06,22.579185593515803,32.57545934974087,-0.004964686577579035,0.11364835607148716,126.70257157044347,37.51088024429188,21309
104.26791438827274,0.608300736847631,0.039064923359157816,-6.782508776838259e-08,-7.135661884743387e-05,-106.01277905454563,8.130634128333769,-1.979096796355245e-06,-1.1700340594871526e-06,22.11736273540398,34.60331098128766,-0.0015545581365049414,0.10379257865392204,126.70802741158735,37.5214043470635,21310
104.11960315562926,0.7219918557181627,0.0554208795995086,2.5244022753704433e-09,-6.158440959859465e-05,-105.72777960807547,8.186791742508376,-1.4060299638916088e-06,-1.1275214084936831e-06,21.515355703545303,34.950822057094854,-0.002664281629371876,0.10787388094125554,126.70645139187884,37.51875080500249,21311
103.73146397719403,0.8199299966918219,0.08037410758818864,8.243700691486259e-08,-5.17985728454829e-05,-108.11420717710872,8.114078916224383,-1.0591483912222e-06,-1.0675943745519113e-06,21.577084043094217,32.35389802685789,-0.0034252508435024635,0.10828543069375544,126.70691946411556,37.51509833713639,21312
102.99708002732382,1.1777488903948585,0.18270586251499898,2.3148208825403496e-07,-3.7101044333535076e-05,-112.29665119095485,7.774342910553678,-6.314043616331808e-07,-1.0056113807335106e-06,21.545796696699178,27.426743202997542,-0.004492980724985821,0.10402372737195059,126.70652058482338,37.51059783447811,21313
104.05110861883794,0.5919682987769478,0.005672608414071457,-6.300759434633402e-08,-4.828741740136863e-05,-108.80713426935351,6.833794895203806,-1.345714592063467e-06,-1.1289591014111617e-06,15.006887109931704,30.090491794559565,-0.0009009232230593046,0.07320806995179147,126.71319259164342,37.52037539808062,21314
103.93771586788483,0.2079963566708554,-0.009718451446970585,-8.94364413119978e-08,-3.200978061019688e-05,-111.37826343650309,4.5051342911029035,-1.1380480930976877e-06,-1.1389484100677174e-06,7.963937286207286,24.693844278271357,1.6964317636458323e-05,0.04289065880512692,126.71891876142693,37.52020716759903,21315
103.91641535464282,-0.05057189105088006,-0.016037657897408145,-1.3241222127872942e-07,-1.89179806850045e-05,-112.9176191380262,0.5391084611722863,-1.0556188941559668e-06,-1.171240792259254e-06,-0.37638385804643804,20.21003528453316,0.0006681002038794154,0.017420220331429828,126.72512332161521,37.52075627781089,21316
104.00961622415616,-0.11089842933557847,-0.017224912450241395,-1.4018291449992217e-07,-9.550890909963072e-06,-112.6950062166462,-3.439780270775699,-1.0276961343107413e-06,-1.211532585448026e-06,-7.889100405138895,18.24447118690637,0.0006354241678502618,0.003589082013574038,126.73053373535897,37.52055707999099,21317
