intercept,서비스업매출월평균변화량,외식업매출비율,BAS_AR,상가밀도,근린생활시설 비율,아파트시세변화_차분평균,아파트 가구수,주거인구/직장인구,x,y,BAS_ID
143.38368481542318,4.635678983896391e-06,7.56047116479716,-15.02342373634087,0.005044799941673721,0.6259688737205231,-0.014902369254395715,0.0023993265058530125,1.0144892813877182,126.68913490770505,37.51870773736182,21300
142.49189794927645,5.592501525965964e-06,6.946524349972335,-16.276975810321904,0.005079540919486689,0.5959640118803993,-0.012752050648937415,0.004087020703080566,0.8545484978825172,126.69545880461988,37.52241686372307,21301
141.17632827778954,4.167575300442382e-06,4.6494376889901865,-15.99027544718496,0.0041229787656519015,0.48863136185342354,-0.012361225303970746,0.0037704155130003246,0.25952665328896474,126.70134171772969,37.52233877708572,21302
141.1635703292811,2.5708427022805357e-06,3.4813988813186096,-15.64333561778247,0.00369047061616452,0.5886226988153833,-0.014426332995874367,0.0013210067847170127,0.41429483391254746,126.69872979436714,37.51898140944887,21303
139.876244584449,2.1400034687178817e-06,1.9658273538233648,-15.287892600402605,0.002276435384816363,0.4586026058793752,-0.01440716764942375,0.001353730299431814,0.11861606577586029,126.70341884326405,37.519318995056054,21304
139.50055001371567,1.0698570744571177e-06,0.63886361317673,-14.978137538384832,0.0013073194981123078,0.548008448077212,-0.016739982688162413,-0.002064126854448351,0.19841282179413022,126.70300423971963,37.515329100586754,21305
140.96853073179295,1.435237761664323e-06,2.4086048562136897,-15.028281196453532,0.002964355398466974,0.6468256492110513,-0.016270384846710284,-0.0015814032462928428,0.5303280752614403,126.69720548857926,37.51567898613793,21306
141.74232768980417,7.502306912719406e-07,2.962744125654974,-13.955468876611656,0.003080102329110256,0.6849649426974987,-0.017522470573573826,-0.003352605374806996,0.8277899363009784,126.69309964043227,37.512529261238306,21307
141.15294074982535,2.8824888034329464e-08,1.8667496396672,-13.143945382569218,0.0019013055082202997,0.6842176006024483,-0.01913631524909469,-0.00465488092848661,0.799297735526796,126.69463592515947,37.50972402615308,21308
139.43356292356677,2.5485833066333387e-07,-0.29897456135539446,-14.374048275948326,0.0009277492584696782,0.6445070632759462,-0.01887163131913533,-0.003827930994206007,0.44184057672482996,126.70257157044347,37.51088024429188,21309
138.95221914937616,2.237709800206817e-06,1.7541931401288064,-14.872692089636708,0.0015445788575265578,0.28430325529806993,-0.011723686574257559,0.005336513294006271,-0.0011490161174138452,126.70802741158735,37.5214043470635,21310
138.7737900001283,1.68389461118136e-06,0.6445956969433082,-14.769468441565003,0.0009823498024216521,0.37494933572281564,-0.0142531201119412,0.0017141565357732089,0.029359119545062484,126.70645139187884,37.51875080500249,21311
138.468459613112,1.1444944683297998e-06,-0.3197195938603159,-14.720524439128498,0.0006172236814013647,0.4580044383362867,-0.01624027165450981,-0.0008594974740468617,0.07129221867148414,126.70691946411556,37.51509833713639,21312
138.29213219499826,2.427005286384705e-07,-1.5427595977453712,-14.337559752625827,0.00036158224141497855,0.6406891842549195,-0.01956291628292077,-0.003408132401070049,0.24333531134018127,126.70652058482338,37.51059783447811,21313
136.8855986304731,1.6385737843508877e-06,-0.48850751864826325,-13.967061515204897,-0.000245657681550446,0.14164274653211295,-0.0057718744016208275,0.010035001561183574,-0.05949996308473968,126.71319259164342,37.52037539808062,21314
134.84223970715507,1.4849415957552732e-06,-2.2222783766068916,-13.374836450920508,-0.001199739611040575,-0.024592666938421916,0.001423695392228896,0.015867395733118277,-0.08909125846077866,126.71891876142693,37.52020716759903,21315
132.90214020627272,1.336813069065357e-06,-3.7957985055411285,-11.875610870124445,-0.0018701328595446853,-0.14478142158416266,0.002106701724786669,0.011679587197123639,-0.10506350034710228,126.72512332161521,37.52075627781089,21316
131.60893807220785,1.207741670823151e-06,-4.996235650240791,-8.274880021398928,-0.002330633212554717,-0.2087297360289876,-0.0028465486169550777,0.007463450620480568,-0.11177023084099179,126.73053373535897,37.52055707999099,21317
130.8215543158982,1.1952833538960246e-06,-5.4975881035875025,-2.0701829206912525,-0.0026741389770605912,-0.2411531951429028,-0.004628091275721663,0.004836712094789199,-0.11553576760158213,126.7361576234256,37.52074545539758,21318
130.20969902512218,1.2390209816351744e-06,-5.1700715578133405,7.983914724681439,-0.0029906731826105943,-0.11783432776940686,-0.005414566058183795,0.001714042397160454,-0.12022765309006055,126.74321514378205,37.5219067233361,21319
129.56237274810292,1.2249204817453094e-06,-5.1951934848404235,14.206399742469578,-0.0032372715150575998,0.023359795888658608,-0.006020923138855379,0.00025335614202325334,-0.12473886234911782,126.7488155826459,37.520512435412016,21320
130.16422982199418,1.1306033415846405e-06,-5.669886189886266,6.772368343267075,-0.002964418417140048,-0.18024145490394136,-0.005650075459606866,0.0027848912167276123,-0.11948503201774711,126.74324183744143,37.51850596365194,21321
128.13436881275322,1.3356325918702088e-06,-6.120646204598432,19.210504630260896,-0.0037667547168738647,0.25924986851958004,-0.004991696259720836,-0.0021873462632243388,-0.1333223482696525,126.75566589791076,37.52007688820165,21322
130.65086212271993,1.0455172242317908e-06,-6.495555904167796,-6.33557505252719,-0.0026605756182579215,-0.25546892612011324,-0.005574189823485124,0.007055732459593057,-0.11447851641734025,126.73380894864344,37.51608671250486,21323
130.3190765647493,9.996100315337479e-07,-6.593325731457757,-1.8530220345817794,-0.0027839475748632414,-0.3016775588510749,-0.005764701088998888,0.005522473113752108,-0.11628420468889406,126.73735307054208,37.51538694098997,21324
