intercept,BAS_AR,도로길이고려_전체통합도,도로길이고려_국부통합도_R3,기초구역평균_전체통합도,기초구역평균_국부통합도_R3,도로율,평균 도로 길이,아파트시세변화_차분평균,평균최근접역거리,평균최근접정류장거리,건물노후도,공동주택 비율,근린생활시설 비율,단독주택 비율,아파트 가구수,외식업매출월평균변화량,서비스업매출월평균변화량,소매업매출월평균변화량,외식업매출비율,서비스업매출비율,소매업매출비율,외식업종다양성,서비스업종다양성,소매업종다양성,상가밀도,주중 / 주말,06 to 18 / 18 to 06,개별공시지가 변화 차분평균,점포밀도,(주거인구+직장인구) / 유동인구,주거인구/직장인구,10_30 / 40_60,x,y,BAS_ID
221.69608560763209,-23.68011861248116,0.0074916854969746365,0.0015462901735751023,-181.786173714049,-34.16700445799785,-0.18550412792929943,-0.023743949811331416,-0.023616520195033738,-7.4183868480116715,-154.04567410983142,0.1255605748058907,0.3791741902036907,0.4334567037835567,0.735425703489098,-0.005138221702630955,-1.7909771495758891e-06,1.2000881259880633e-06,-1.856488305335231e-07,-34.79766029901062,-24.090439456723345,-44.19882784898239,-2.503036937516579,1.1620746610600534,1.3759448716465692,0.004597440964946575,-9.084858036623379,0.7420724305971146,4.904796183034377e-05,-0.0002503391656662316,21.74326339581731,0.09847729897623264,-47.41926906379823,126.68913490770505,37.51870773736182,21300
221.73417707904798,-23.285655805044485,0.006772682605758997,0.0014612002954938119,-181.2395341280939,-34.218096062694,-0.18526658669828927,-0.026195234560962864,-0.022954984448698805,-7.306898105229898,-153.35607144085378,0.12584474964559084,0.41633347368606166,0.39462490509994574,0.7121728003608895,-0.004664994794190981,-1.807179788414302e-06,1.1904426027782073e-06,-1.5051783857586492e-07,-35.07802357931342,-22.77379786107937,-43.47308078321933,-2.1150143151815604,1.3354343447625336,1.506635761173365,0.005516955465614726,-9.105769856794527,0.7214560211922685,4.921454211247037e-05,-0.0002710122025099068,24.521021530683583,0.06601967189313146,-47.26542159410423,126.69545880461988,37.52241686372307,21301
221.78823018298814,-22.47559671409535,0.006015266727976615,0.0013803436620375138,-180.51461508876673,-34.2515408399513,-0.1902650752130872,-0.025724690422042683,-0.02311570435585809,-7.262184588387078,-151.05849699681815,0.12611353859916888,0.455061158680801,0.340262826776811,0.6562303718189676,-0.004255845553625585,-1.8499050719859636e-06,9.407201269754996e-07,-1.3418253409524042e-07,-35.718401517302155,-21.321152805979654,-42.41513323063927,-1.683817429582581,1.5118106181162974,1.6764627847099045,0.005802255680603484,-9.10191807658043,0.7658980905311807,5.0502015032027976e-05,-0.00027531228515697317,27.245366164547168,-0.08062153379945333,-47.164132957908095,126.70134171772969,37.52233877708572,21302
221.72241627512977,-22.567556064399863,0.006096390588988783,0.001408018273667303,-181.37046404923882,-34.280836121097124,-0.1957498440906933,-0.02427485650383654,-0.023960305727680226,-7.341333897321425,-151.44004818889346,0.12563210810787157,0.4293448298055548,0.39525445938676007,0.6742123535914712,-0.004495984834284302,-1.8134078661808223e-06,7.795587227103435e-07,-1.5599159679596742e-07,-36.05764418279363,-21.57740403409897,-43.10618998119629,-1.9133431558032283,1.3617527589727647,1.5452781630900896,0.005888857117139375,-9.118875574932499,0.7501879656257693,5.087689999140792e-05,-0.0002723142489342679,24.881988801118787,-0.03995689828210655,-47.39227950680412,126.69872979436714,37.51898140944887,21303
221.67432569329247,-21.74556361922101,0.0053597076856565715,0.0013254291895252322,-181.82450929239286,-34.40650942206549,-0.20369391910303244,-0.02422150998800049,-0.02377070293324574,-7.350439447646385,-149.66259393957455,0.12572872434339682,0.4593422651499423,0.34366160695306286,0.6074949402936592,-0.004274834769557955,-1.6958020491379898e-06,7.567905714678005e-07,-1.3948429921824604e-07,-36.54029634422404,-20.841478301202443,-42.28037420036971,-1.5945746873438855,1.4919640101674314,1.6803488018233133,0.0059005083829829375,-9.147911165851916,0.7625183699357365,5.109822847858573e-05,-0.00027227914003298374,26.55990919841917,-0.11639942636329104,-47.490684808537196,126.70341884326405,37.519318995056054,21304
221.63732435962112,-21.378736612252943,0.005059765357842278,0.0013149890879295299,-182.4367839902416,-34.44943109713361,-0.21208315527136218,-0.022598064828382135,-0.023615681096086312,-7.395938166609814,-148.9148368878687,0.1251982193227838,0.44286499114629796,0.41194423319534634,0.6141002307634345,-0.004385598752347673,-1.5091525109940815e-06,5.987523386814357e-07,-1.5396884119879696e-07,-37.05016148191308,-20.782574175094204,-42.87982863282061,-1.7647191006271234,1.3715995927063793,1.5580554293265911,0.006330972641986562,-9.159048989894927,0.7508768912565273,5.160530781955914e-05,-0.0002688767266370804,25.305023293264767,-0.09144066977525978,-47.65811834669285,126.70300423971963,37.515329100586754,21305
221.67448109309515,-22.249847359778204,0.005793468548521352,0.0013992856405827998,-182.1874282628557,-34.32643929138919,-0.2069333562005929,-0.02269057714316168,-0.02386714104534854,-7.418767132225543,-150.6343299286092,0.1251333895791899,0.41324554662405155,0.44479480821517137,0.6867771408243433,-0.004617314899045654,-1.671730141004418e-06,6.00436036223675e-07,-1.703062579327969e-07,-36.55582691968621,-21.569050213875506,-43.603295611700005,-2.11041032479397,1.2430517434351023,1.4221095075650325,0.0062451731680926385,-9.132193282218362,0.7437570812139659,5.1399386162180656e-05,-0.0002678520501263295,23.855448057259792,-0.00025307603047979715,-47.574302380503134,126.69720548857926,37.51567898613793,21306
221.69965814503252,-22.214277820404217,0.00592740412487544,0.0014353182229830059,-182.40806125115813,-34.260676676478965,-0.21632685460503745,-0.020631674693024647,-0.02368988175629197,-7.473937301771404,-150.01664906913385,0.12481695257583568,0.38702144357570856,0.484199410380271,0.7362771787957486,-0.0048318477262525765,-1.602317599391143e-06,5.028831421250887e-07,-1.9440581754904935e-07,-36.642062755096696,-22.015567083023345,-44.20374791452595,-2.4903648848646642,1.0907914134914716,1.2598616512652194,0.0063403159061582726,-9.102677497037554,0.7664345154403738,5.205890190944301e-05,-0.00025507309990246816,22.139957316301313,0.09700906000620016,-47.58248950419063,126.69309964043227,37.512529261238306,21307
221.73796970269555,-21.240261489039476,0.005185567261911172,0.0013775465601613092,-182.44473328983315,-34.27873445935097,-0.23025658732934448,-0.018567535019214154,-0.023079406114323037,-7.489633019720372,-147.26305965159418,0.12446554657168438,0.38748053825359097,0.5088594110219544,0.7399982575685821,-0.004782140987555953,-1.3900388748418495e-06,3.383735910064652e-07,-2.0040345276619834e-07,-37.35233372495481,-21.575682430524726,-44.257528252224006,-2.5758439194918568,1.0433634819897422,1.179869825918546,0.006548168046267897,-9.08667863521413,0.7881397475768578,5.3205391964211925e-05,-0.00024879664524304576,21.281182655047203,0.10670191807190252,-47.56988082710946,126.69463592515947,37.50972402615308,21308
221.6392768989307,-20.825450873680957,0.004704946082143648,0.0013055456769685114,-182.7819208075344,-34.45036598687862,-0.22253447736839266,-0.02020804787142234,-0.02293660784317548,-7.450411769619297,-147.72869415162552,0.124571066174456,0.41994236509306404,0.4922884776767038,0.6483984665736067,-0.004520245710292971,-1.3630358822429255e-06,3.882922153348859e-07,-1.748713848142893e-07,-37.62329229338772,-20.67259319015018,-43.697267474733195,-2.0472760461036486,1.2091718154857674,1.3749525052661413,0.006389027352581515,-9.150324674252662,0.7487772948272995,5.258801429795019e-05,-0.0002629387913956193,23.110341761692396,-0.014826484969230405,-47.7485031157381,126.70257157044347,37.51088024429188,21309
