intercept,BAS_AR,서비스업매출월평균변화량,아파트시세변화_차분평균,소매업매출월평균변화량,외식업매출비율,근린생활시설 비율,단독주택 비율,x,y,BAS_ID
138.7091219478612,-11.010844322413853,3.6372558207356038e-06,-0.024141779667975635,-3.255571764149742e-07,16.89152444400008,0.35010186230801604,0.8631419798863927,126.68913490770505,37.51870773736182,21300
138.2697717015306,-11.45865467001249,4.493702708196241e-06,-0.020918792816530606,-2.730565078297328e-07,15.202742069269254,0.2831844052234906,0.8206717046955765,126.69545880461988,37.52241686372307,21301
136.98981614835856,-10.345072360044625,3.491026067410555e-06,-0.01912852357220958,-1.9397741799226394e-07,12.156379194396607,0.23223758959372062,0.7157381542812394,126.70134171772969,37.52233877708572,21302
136.5476976319813,-10.735624176482347,2.1552431337205385e-06,-0.02058984149017184,-2.0397075498403891e-07,11.549407974727963,0.25887146971144337,0.7417219844197582,126.69872979436714,37.51898140944887,21303
135.38350044786768,-9.476852273864731,1.8782569408080817e-06,-0.019758323749363326,-1.404651823349843e-07,9.365563793220929,0.21718787579205645,0.6338283999445271,126.70341884326405,37.519318995056054,21304
135.06018593437494,-10.26231626739973,1.0709993545009533e-06,-0.020285707492814463,-1.5140073504309366e-07,8.924312290926785,0.24250811642541328,0.6618975034465614,126.70300423971963,37.515329100586754,21305
135.95854298103387,-10.624893738495977,1.221265320226129e-06,-0.02093662343559829,-2.025995702388976e-07,10.910493694748629,0.27446579486840106,0.7590845652390408,126.69720548857926,37.51567898613793,21306
135.98820770770382,-10.326489980447768,6.44657146834195e-07,-0.02222797605763216,-2.2805057773481803e-07,11.871774218651769,0.31140444810984075,0.8282522185369379,126.69309964043227,37.512529261238306,21307
135.26940906196185,-10.150234102859299,1.0134711081188409e-07,-0.02168689239785713,-2.1356281670361792e-07,10.979521468699955,0.3142675903244624,0.8372955366067414,126.69463592515947,37.50972402615308,21308
134.30943426951302,-10.628274280940403,3.2898152303570746e-07,-0.02044563478438531,-1.5703609933785647e-07,8.110524220998546,0.27176595561659783,0.7038334924808238,126.70257157044347,37.51088024429188,21309
134.66315139704778,-7.655764241980038,1.9718099071142774e-06,-0.01660068682369984,-8.739754428907004e-08,8.286037884494494,0.17193159986313178,0.5434037844754988,126.70802741158735,37.5214043470635,21310
134.55754422795417,-8.577921344237106,1.5817623673152436e-06,-0.018821666291065055,-1.0072627711466379e-07,8.049056098810686,0.19709333834499188,0.5687485479450205,126.70645139187884,37.51875080500249,21311
134.17763592409096,-9.338382892523196,1.1486148101381789e-06,-0.01956321533801934,-1.0150959213773117e-07,7.467698017677428,0.21453478526813594,0.5738764825859408,126.70691946411556,37.51509833713639,21312
133.42583280334873,-10.133288467816541,3.589677958575234e-07,-0.019947689035617507,-1.0699065158549915e-07,6.472412040938467,0.2501004292426503,0.6104714516111555,126.70652058482338,37.51059783447811,21313
132.84428679562023,-5.393598371716663,1.6175134383294268e-06,-0.009563756388298345,-8.32446771423711e-09,5.842513822401395,0.1194088491985686,0.42498601286984083,126.71319259164342,37.52037539808062,21314
130.58063197242873,-2.275754764200893,1.3672696201114062e-06,-0.004835908587206123,9.685755838666391e-08,3.0253374386431084,0.03761202123574835,0.29068067915402923,126.71891876142693,37.52020716759903,21315
128.3787083414602,3.655751281242754,1.120514004529876e-06,-0.004458460455791281,2.3384947546950369e-07,0.2162232409335345,-0.04987832301550272,0.16453305883700078,126.72512332161521,37.52075627781089,21316
126.94421516820314,11.992608502558937,9.349012494670106e-07,-0.005747524904762482,3.842952756853513e-07,-1.8393048187433305,-0.09400393436061757,0.08027321610049322,126.73053373535897,37.52055707999099,21317
126.1740063056473,24.156809781847883,8.568845151788358e-07,-0.005845185218924629,5.150854245507152e-07,-2.8493836314974317,-0.1113835259277186,0.039539786608612654,126.7361576234256,37.52074545539758,21318
125.59710532614727,43.471364628523304,8.983328542635067e-07,-0.005933104455909708,6.525552519537033e-07,-3.3260025763973666,-0.1172179698241447,0.008901001288227212,126.74321514378205,37.5219067233361,21319
124.93441886468176,56.21620852203315,8.445155988322008e-07,-0.006346017072845006,6.597785877117958e-07,-3.615280744082084,-0.1131727835955128,4.6203319037430024e-05,126.7488155826459,37.520512435412016,21320
125.36502779298695,40.03335079387866,7.450136189633239e-07,-0.005392033625933565,6.331232740319635e-07,-3.4938201881227338,-0.11622010792938499,0.016766514825276628,126.74324183744143,37.51850596365194,21321
123.8190031768786,68.81960962380263,8.569613270842381e-07,-0.006885137113736471,6.378507846130414e-07,-5.142512401805931,-0.09660567981667495,-0.010562313574588846,126.75566589791076,37.52007688820165,21322
125.67900103581644,15.55283344165915,7.016845075025968e-07,-0.006298115083660593,5.451386880592463e-07,-3.629587319253495,-0.12296923179453174,0.037791599731441805,126.73380894864344,37.51608671250486,21323
125.33928926683478,24.59293730375209,6.266764089911906e-07,-0.005710634713825209,6.04674830694084e-07,-3.814578184189103,-0.12276040952388328,0.027627873708679127,126.73735307054208,37.51538694098997,21324
125.08207605208264,36.074325291758505,6.013751693710564e-07,-0.004698859301537316,6.256704075257439e-07,-3.855124691509034,-0.11612503142197832,0.02389051208332487,126.74211095416764,37.515279842530006,21325
124.64044872701038,50.7986422528483,6.345908387788892e-07,-0.004498681675409427,6.287739198642716e-07,-3.8702636982035656,-0.11765784240958792,0.015022679382709007,126.7485031464966,37.51560938874926,21326
124.96829427987902,21.739756502259723,5.250967148532872e-07,-0.00533150124899321,6.120848509986924e-07,-4.254374996600154,-0.12950515435860713,0.03078355670167749,126.73710299172977,37.512701817751,21327
