행 레이블,평균 : BAS_AR,평균 : 도로길이고려_전체통합도,평균 : 도로길이고려_국부통합도_R3,평균 : 기초구역평균_전체통합도,평균 : 기초구역평균_국부통합도_R3,평균 : 도로율,평균 : 평균 도로 길이,평균 : 아파트시세변화_차분평균,평균 : 평균최근접역거리,평균 : 평균최근접정류장거리,평균 : 건물노후도,평균 : 공동주택 연면적 비율,평균 : 근린생활시설 연면적 비율,평균 : 단독주택 연면적 비율,평균 : 아파트 가구수,평균 : 외식업매출월평균변화량,평균 : 서비스업매출월평균변화량,평균 : 소매업매출월평균변화량,평균 : 외식업매출비율,평균 : 서비스업매출비율,평균 : 소매업매출비율,평균 : 외식업종다양성,평균 : 서비스업종다양성,평균 : 소매업종다양성,평균 : 상가밀도,평균 : 주중 / 주말 비율,평균 : 06 to 18 / 18 to 06,평균 : 개별공시지가 변화 차분평균,평균 : 점포밀도,평균 : (주거인구+직장인구)/유동인구,평균 : 주거인구/직장인구
p-value,0.66,0.942,0.637,0.609,0.437,0.971,0.824,0.143,0.214,0.007,0.001,0.008,0.249,0.008,0.621,0.108,0.837,0.107,0.74,0.257,0.947,0.015,0.04,0,0.278,0.471,0.138,0.718,0.155,0.207,0.057
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
행 레이블,평균 : BAS_AR,평균 : 도로길이고려_전체통합도,평균 : 도로길이고려_국부통합도_R3,평균 : 기초구역평균_전체통합도,평균 : 기초구역평균_국부통합도_R3,평균 : 도로율,평균 : 평균 도로 길이,평균 : 아파트시세변화_차분평균,평균 : 평균최근접역거리,평균 : 평균최근접정류장거리,평균 : 건물노후도,평균 : 공동주택 연면적 비율,평균 : 근린생활시설 연면적 비율,평균 : 단독주택 연면적 비율,평균 : 아파트 가구수,평균 : 외식업매출월평균변화량,평균 : 서비스업매출월평균변화량,평균 : 소매업매출월평균변화량,평균 : 외식업매출비율,평균 : 서비스업매출비율,평균 : 소매업매출비율,평균 : 외식업종다양성,평균 : 서비스업종다양성,평균 : 소매업종다양성,평균 : 상가밀도,평균 : 주중 / 주말 비율,평균 : 06 to 18 / 18 to 06,평균 : 개별공시지가 변화 차분평균,평균 : 점포밀도,평균 : (주거인구+직장인구)/유동인구,평균 : 주거인구/직장인구
0,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+,+
1,+,+,-,-,-,+,-,-,+,-,+,+,+,+,-,+,-,-,+,+,+,-,+,-,+,-,+,+,-,+,-
2,-,-,+,-,-,-,+,-,+,-,+,+,+,+,+,+,+,-,-,+,+,-,+,-,+,-,+,+,-,+,-
3,-,-,+,-,-,-,+,-,+,-,+,+,+,+,+,+,+,-,-,-,-,-,+,-,+,-,+,+,-,+,-
4,-,+,+,-,-,-,+,-,+,-,+,+,-,+,+,+,+,-,-,-,-,-,+,-,+,-,+,+,-,+,-
5,-,+,+,-,-,-,+,-,+,-,+,+,+,+,+,+,+,-,-,+,-,-,+,-,+,-,+,+,-,+,-
6,+,-,+,-,-,-,+,-,+,-,+,+,+,+,-,+,+,-,-,+,-,-,+,-,+,-,+,+,-,+,-
7,-,+,+,-,-,+,-,-,+,-,+,+,+,+,-,+,-,-,+,+,+,-,+,-,+,-,+,+,-,+,-
8,+,+,-,-,-,-,-,-,+,-,+,+,+,+,-,+,-,-,-,+,+,-,+,-,+,-,+,+,-,+,-
9,+,+,-,-,-,+,-,-,+,-,+,+,+,+,-,+,-,-,+,+,+,-,+,-,+,-,+,-,-,+,-
10,-,-,+,-,-,-,+,-,+,-,+,+,+,+,+,+,+,-,-,-,-,-,+,-,+,-,+,+,-,+,-
,DIFFER,DIFFER,DIFFER,DIFFER,DIFFER,DIFFER,DIFFER,DIFFER,SAME,DIFFER,SAME,SAME,DIFFER,SAME,DIFFER,SAME,DIFFER,DIFFER,DIFFER,DIFFER,DIFFER,DIFFER,SAME,DIFFER,SAME,DIFFER,SAME,DIFFER,DIFFER,SAME,DIFFER
