intercept,단독주택 비율,주거인구/직장인구,소매업매출월평균변화량,개별공시지가 변화 차분평균,평균최근접정류장거리,평균최근접역거리,외식업매출월평균변화량,서비스업매출월평균변화량,서비스업매출비율,BAS_AR,x,y,BAS_ID
103.76309056222756,0.8540870544880854,0.6047709534974005,-1.1069294537200889e-07,-9.955998676916273e-05,-95.52159651115952,10.99968774426633,-3.4064832596579378e-06,-2.5453683995840826e-06,26.128369359566346,66.30911479834236,126.68913490770505,37.51870773736182,21300
103.22271923907292,0.6378742429153408,0.42984841897545356,-1.2702378317097846e-07,-9.449128807429212e-05,-98.43259899931198,10.757950408148272,-3.5736844840380362e-06,-1.8582729067837526e-06,27.955647728275444,56.99184215968863,126.69545880461988,37.52241686372307,21301
102.6941055503686,0.6141212016429198,0.15124757486383966,-6.205258873195258e-08,-7.507042041302277e-05,-100.28581185404121,10.323101270428916,-3.1253608066217523e-06,-1.6212557941567701e-06,24.265528232096145,45.38596996474999,126.70134171772969,37.52233877708572,21302
102.42951472537902,0.8139186061869124,0.2291197841568206,3.287135080030746e-08,-6.79981625868911e-05,-100.15609912441357,10.268363457443265,-2.596806778086084e-06,-1.8275568282713167e-06,22.563943233747402,46.24793728896689,126.69872979436714,37.51898140944887,21303
102.19815803785627,0.7438559548402447,0.08441691802720822,3.9332402090755504e-08,-5.1176824368949066e-05,-101.60342426796456,9.869889731708486,-2.1642497235294113e-06,-1.4796495222160604e-06,19.371453415665805,39.40380301141258,126.70341884326405,37.519318995056054,21304
101.62828249247745,0.975762436747909,0.10466911617658195,1.5191821704003254e-07,-3.956971135648099e-05,-103.6310302120213,9.551481499288311,-1.5230236792557952e-06,-1.4769153666300295e-06,17.422322353996375,36.32587407132235,126.70300423971963,37.515329100586754,21305
101.96162756625571,1.0149234404378973,0.2680717528984773,1.2218077924641765e-07,-5.987420455962345e-05,-100.61501927614661,9.92242198909676,-2.0512284862157996e-06,-1.9335978635287954e-06,20.252444914647963,45.319358895884044,126.69720548857926,37.51567898613793,21306
101.92326860433559,1.1717257639944303,0.4259213081964739,1.901940850270893e-07,-6.579784345373881e-05,-98.55515836602859,9.789181832565959,-2.0077089393409814e-06,-2.4827292972044893e-06,18.900971062497337,50.48929181100477,126.69309964043227,37.512529261238306,21307
101.436182825201,1.2739129744091233,0.3781110441733933,3.1109549897028143e-07,-5.06377091891833e-05,-98.96918668334635,9.300592375791231,-1.545405957885191e-06,-2.3952013875407988e-06,15.81780501806189,43.94403569801391,126.69463592515947,37.50972402615308,21308
100.86084640356057,1.177781434523407,0.18192959608339276,3.0733622681089346e-07,-2.956207432834168e-05,-107.07420500918958,9.094153622555103,-1.1248799832650548e-06,-1.5823366310616994e-06,15.80828067446457,31.349341114143154,126.70257157044347,37.51088024429188,21309
102.21946078193182,0.5973145465912109,0.03138828766823617,-4.0828210791972994e-08,-4.6429746331263316e-05,-102.00971300566803,9.310163257699804,-2.2473122827101096e-06,-1.3304558131855994e-06,17.046123536975315,34.98311393205858,126.70802741158735,37.5214043470635,21310
101.98160264638405,0.718332525254649,0.04127739797636104,4.979883157018931e-08,-3.751318507281266e-05,-102.66634758219979,9.383078478239039,-1.674991217845618e-06,-1.3204778591678207e-06,16.10163760037137,35.21221835568952,126.70645139187884,37.51875080500249,21311
101.50018186426358,0.8235315167950464,0.05573522039526259,1.5459223669475095e-07,-2.8651176224397522e-05,-105.64683870113635,9.284772014629084,-1.3330011335471174e-06,-1.295570856397265e-06,15.709276741973849,30.768674829086404,126.70691946411556,37.51509833713639,21312
100.59522037834556,1.2022670229664465,0.10934315179665235,3.4629348777273064e-07,-1.5377644493461758e-05,-111.27005994527873,8.897326646340959,-9.166966913985929e-07,-1.3018006803696806e-06,14.825450463301927,23.330198822233942,126.70652058482338,37.51059783447811,21313
101.88148570972656,0.5870705774514153,0.003600263945225241,-5.292286695345384e-08,-2.5049987507146374e-05,-103.30618297056469,7.780922088606621,-1.5033451118961587e-06,-1.2052570435944687e-06,10.303965984091596,28.554060039644842,126.71319259164342,37.52037539808062,21314
101.71961275840565,0.22653385936154158,-0.008542944595860105,-1.1939079113571109e-07,-9.648139752142892e-06,-103.24784609805786,5.128053783627135,-1.2330215489462587e-06,-1.1621381748677048e-06,3.922955333171724,23.8450588968735,126.71891876142693,37.52020716759903,21315
101.68657229081768,-0.03259784329321569,-0.012964105825876454,-1.8811315028289614e-07,3.0934717143210617e-06,-101.77283441959983,0.7388142495396346,-1.112946655608361e-06,-1.1604152088345513e-06,-3.6209023516311785,21.972173188343515,126.72512332161521,37.52075627781089,21316
101.7598584104204,-0.0939185518762255,-0.01328407496608483,-1.9088903837667843e-07,1.2325209220102362e-05,-99.82942960469327,-3.633099397471914,-1.0658604922137942e-06,-1.1830409644305992e-06,-10.567583311815794,20.818557331944515,126.73053373535897,37.52055707999099,21317
101.86433851700947,-0.041297322388259554,-0.012891825254389658,-1.9618486533568442e-07,1.6793248678187492e-05,-98.3813030166725,-7.816440637000164,-1.2012966697130797e-06,-1.2486116533410799e-06,-18.765455839462554,20.72343605090994,126.7361576234256,37.52074545539758,21318
101.78542172867688,-0.010226303624008745,-0.014279809118261343,-1.9515474806659269e-07,1.7412536929357074e-05,-100.45709585558865,-11.592186420660308,-1.753342168531079e-06,-1.3486142816027689e-06,-31.185256355250765,18.168989379466957,126.74321514378205,37.5219067233361,21319
