intercept,주거인구/직장인구,아파트 가구수,단독주택 비율,서비스업매출비율,외식업매출비율,근린생활시설 비율,평균최근접역거리,(주거인구+직장인구) / 유동인구,공동주택 비율,평균 도로 길이,도로길이고려_전체통합도,평균최근접정류장거리,점포밀도,도로율,상가밀도,x,y,BAS_ID
101.6210973492918,-19.987888817702856,-16.80162016247978,65.70460497940677,14.014661663907251,-5.626207659067553,23.586274446890933,35.36161100353951,17.711247843042003,40.3061408975195,-23.904455280674533,3.311234597100099,-35.62240804881904,-19.685987291146745,-6.035366744654316,30.520389376080757,126.68913490770505,37.51870773736182,21300
101.58838233700644,-23.89085181903373,-8.773298129831321,62.13922701118197,13.830890013776262,-5.889719375143652,23.802629694749875,35.318114682084875,17.663914475874,40.324000029782844,-23.854534099584868,3.2921383609830093,-35.577027705724014,-20.04402139002768,-6.141908018285726,29.879126557856107,126.69545880461988,37.52241686372307,21301
101.52292538571152,-25.78939400568315,-5.523626349328371,59.19229926393174,13.568331349835612,-6.112243647639367,23.785570139557723,35.24334170131853,17.511612267415153,40.228111504223286,-23.97254328164471,3.1238711234587924,-35.527580261253945,-20.23257985738862,-6.2889051084608765,29.235274595458,126.70134171772969,37.52233877708572,21302
101.52168005789808,-24.057234277188282,-10.941298690186784,61.39077534687899,13.604052337559478,-5.993950645082106,23.585937425819637,35.249103299404474,17.485548640598235,40.16889192558098,-24.069333117587753,3.0587002146083497,-35.53930060265021,-19.99056456959432,-6.257364365591745,29.53646950933095,126.69872979436714,37.51898140944887,21303
101.48966332002652,-25.92730453046084,-8.067665460366765,58.77507574234474,13.453253638157015,-6.175318659234982,23.636989798799863,35.200968992986034,17.435722246999173,40.15417180700632,-24.076258885491107,2.9973334477710862,-35.52055145312237,-20.167782368327337,-6.342535157467276,29.04971122894215,126.70341884326405,37.519318995056054,21304
101.49161215834674,-24.743798086904555,-12.356187252310548,60.342094120257066,13.473199047524034,-6.133784922486123,23.444520531025148,35.19167467958953,17.463124236044944,40.13354273003604,-24.11205827628015,2.9493120406395414,-35.543829662783196,-19.955319416430385,-6.315371768913549,29.25360823760407,126.70300423971963,37.515329100586754,21305
101.51951764275302,-22.203738082742056,-15.008720691597757,63.14472716629574,13.628008000144103,-5.906835281931599,23.403930806105492,35.248820326074394,17.47109441829374,40.121075827602546,-24.150082816615928,2.9997451487932647,-35.54861991996274,-19.78694485069679,-6.234780294195892,29.716397764154628,126.69720548857926,37.51567898613793,21306
101.52866278502867,-18.284907421608327,-19.472991565683316,66.13596861457418,13.720453896426424,-5.724285417932658,23.200110808291353,35.26977954504754,17.46378895609632,40.0720027183373,-24.250787645523673,2.964296344821312,-35.56038242508753,-19.523908098323183,-6.180780361372559,30.220427857563948,126.69309964043227,37.512529261238306,21307
101.52003087481407,-17.418462280428088,-20.271782187652143,66.57215222297484,13.691725926777153,-5.727375968793728,23.056728057637834,35.25185879748642,17.461467030046123,40.03609686769894,-24.296591160548537,2.9015448063854716,-35.559894134054026,-19.39999935425788,-6.187879854439604,30.308970630426124,126.69463592515947,37.50972402615308,21308
101.48586175942297,-21.89376734667565,-16.155360376416137,62.601245291553994,13.472990742949076,-6.07452436074718,23.179712569801527,35.17669276106275,17.461670442688572,40.07134943756212,-24.195615115768767,2.8560029256280455,-35.553416125723025,-19.675633659353583,-6.297736122212415,29.605532952088737,126.70257157044347,37.51088024429188,21309
101.45627135464956,-27.78468423781103,-3.7150754000554196,55.512650687972354,13.295772728621136,-6.370159458251043,23.765771178924542,35.15448676308291,17.373056741168664,40.14722126329087,-24.071273003273824,2.956615364865242,-35.49376022404506,-20.44189312955006,-6.442616373369621,28.526286554383326,126.70802741158735,37.5214043470635,21310
101.4675429138272,-26.841215274172463,-7.278252307549668,57.16689294165765,13.351895508984057,-6.301832378090805,23.637672062851756,35.1619836569143,17.411317099966205,40.14728346937998,-24.083190583310767,2.9490544855814904,-35.517756928482,-20.263517568355603,-6.39815048162818,28.749503805583007,126.70645139187884,37.51875080500249,21311
101.46019826212697,-25.845919480810153,-9.495786623033041,58.185185841772245,13.328777498911775,-6.318768934439491,23.45453865591496,35.13587906425535,17.427331784656637,40.12659594447385,-24.118130437394264,2.8832162403709916,-35.54078417772498,-20.09954885797181,-6.394069369233319,28.872050693916886,126.70691946411556,37.51509833713639,21312
101.45382379538171,-23.152590327007694,-14.797265058138237,60.62124360237783,13.319555831377173,-6.2825149027530625,23.169983972817114,35.1137525650814,17.43432916227055,40.06735474321299,-24.190754846735793,2.7825274104441293,-35.55567546574778,-19.800185049273303,-6.376398220656858,29.200186499878406,126.70652058482338,37.51059783447811,21313
101.39967351248063,-28.950766173007224,-3.748917082556699,52.24657448961754,13.067362923091565,-6.598957604108261,23.74143128987242,35.07007308108912,17.263946651412482,40.08973378114552,-24.148157219994737,2.818233847373519,-35.481661882687156,-20.629621383035868,-6.573542052099569,28.008145012144066,126.71319259164342,37.52037539808062,21314
101.32038898064785,-30.26205804319869,-4.030083717421561,47.547677438154956,12.769537585768246,-6.82069306020297,23.726335024100507,34.97730877917613,17.038376313919457,39.94992608158132,-24.311735254513746,2.605682503322386,-35.438011902255965,-20.84262529037928,-6.749751505162711,27.417673841836958,126.71891876142693,37.52020716759903,21315
101.24619631463126,-32.22179502640559,-8.142446704103207,42.72186040405989,12.4945561239958,-6.984022427183188,23.758137695300128,34.911283303367,16.77258828436263,39.77736336460185,-24.483831122282734,2.3942131365085886,-35.35990500416655,-21.02764230493439,-6.917486371486318,26.74463712235596,126.72512332161521,37.52075627781089,21316
