,대지위치,건물명,연면적,주용도코드,주용도코드명,사용승인일
5869,인천광역시 부평구 부평동 574-2번지,,336.38,03000,제1종근린생활시설,19971230.0
5870,인천광역시 부평구 부평동 574-5번지,,154.56,01000,단독주택,19931125.0
5871,인천광역시 부평구 부평동 575-1번지,,275.33,04000,제2종근린생활시설,20210616.0
5872,인천광역시 부평구 부평동 575-4번지,,147.26,03000,제1종근린생활시설,19851231.0
5873,인천광역시 부평구 부평동 575-6번지,,9.0,04000,제2종근린생활시설,19850726.0
5876,인천광역시 부평구 부평동 575-9번지,,228.42,01000,단독주택,19740110.0
5877,인천광역시 부평구 부평동 576-12번지,,199.44,01000,단독주택,20000921.0
5878,인천광역시 부평구 부평동 576-13번지,,133.39,04000,제2종근린생활시설,20050624.0
5879,인천광역시 부평구 부평동 576-13번지,,88.79,04000,제2종근린생활시설,20050624.0
5880,인천광역시 부평구 부평동 576-1번지,,869.11,04000,제2종근린생활시설,20170712.0
5881,인천광역시 부평구 부평동 576-20번지,,99.06,04000,제2종근린생활시설,20150907.0
5882,인천광역시 부평구 부평동 576-21번지,,195.1,04000,제2종근린생활시설,20001226.0
5883,인천광역시 부평구 부평동 576-3번지,SR벨리체 2차,3627.93,02000,공동주택,20140804.0
5884,인천광역시 부평구 부평동 576-5번지,재상주택,765.33,02000,공동주택,20110622.0
5885,인천광역시 부평구 부평동 576-9번지,,185.31,03000,제1종근린생활시설,20001207.0
5887,인천광역시 부평구 부평동 577-12번지,,931.29,03000,제1종근린생활시설,19891115.0
5888,인천광역시 부평구 부평동 577-2번지,퍼스트City56,4594.44,14000,업무시설,20150401.0
5889,인천광역시 부평구 부평동 577-3번지,,955.59,03000,제1종근린생활시설,19891115.0
5892,인천광역시 부평구 부평동 580-1번지,대한센트럴,198.98,04000,제2종근린생활시설,20151208.0
5893,인천광역시 부평구 부평동 580번지,,645.23,04000,제2종근린생활시설,20141024.0
5896,인천광역시 부평구 부평동 582-1번지,성은해비치,817.66,02000,공동주택,20130114.0
5897,인천광역시 부평구 부평동 582-4번지,,84.99,01000,단독주택,19701207.0
5905,인천광역시 부평구 부평동 583-8번지,,87.93,01000,단독주택,
5909,인천광역시 부평구 부평동 584번지,,66.12,01000,단독주택,19691104.0
5910,인천광역시 부평구 부평동 585-10번지,,213.38,01000,단독주택,19940922.0
5912,인천광역시 부평구 부평동 585-2번지,,290.23,04000,제2종근린생활시설,19941010.0
5913,인천광역시 부평구 부평동 585-3번지,부평 오루체빌딩,924.85,04000,제2종근린생활시설,20200813.0
5915,인천광역시 부평구 부평동 586-1번지,,1158.145,Z3000,근린생활시설,19971224.0
5917,인천광역시 부평구 부평동 587-3번지,아텔리어,1228.07,02000,공동주택,20120404.0
5921,인천광역시 부평구 부평동 59-10번지,부평동근생주택,515.95,04000,제2종근린생활시설,20030819.0
5922,인천광역시 부평구 부평동 59-15번지,,737.71,03000,제1종근린생활시설,19930529.0
5923,인천광역시 부평구 부평동 59-20번지,,490.96,04000,제2종근린생활시설,19970221.0
5924,인천광역시 부평구 부평동 59-21번지,,164.13,01000,단독주택,19940524.0
5925,인천광역시 부평구 부평동 59-22번지,,153.72,01000,단독주택,19940419.0
5926,인천광역시 부평구 부평동 59-23번지,,55.76,01000,단독주택,19930524.0
5927,인천광역시 부평구 부평동 59-25번지,,97.6,04000,제2종근린생활시설,20000628.0
5928,인천광역시 부평구 부평동 59-26번지,,65.93,01000,단독주택,19850807.0
5929,인천광역시 부평구 부평동 59-26번지,,3.48,01000,단독주택,19850807.0
5930,인천광역시 부평구 부평동 59-27번지,,5138.435,09000,의료시설,19951020.0
5931,인천광역시 부평구 부평동 59-9번지,,1018.67,03000,제1종근린생활시설,20030128.0
5932,인천광역시 부평구 부평동 59번지,,74.05,01000,단독주택,
5933,인천광역시 부평구 부평동 6-173번지,,2.98,01000,단독주택,19750208.0
5934,인천광역시 부평구 부평동 6-173번지,,52.3,01000,단독주택,19750208.0
5935,인천광역시 부평구 부평동 603-7번지,,41.32,01000,단독주택,
5936,인천광역시 부평구 부평동 604-10번지,,492.72,01000,단독주택,20001019.0
5937,인천광역시 부평구 부평동 604-14번지,,99.66,01000,단독주택,20060807.0
5938,인천광역시 부평구 부평동 604-15번지,오상자이엘빌딩,2771.2,03000,제1종근린생활시설,19911019.0
5939,인천광역시 부평구 부평동 604-16번지,,1.0,01000,단독주택,19900914.0
5940,인천광역시 부평구 부평동 604-16번지,,260.04,01000,단독주택,19900914.0
5941,인천광역시 부평구 부평동 604-19번지,,805.03,04000,제2종근린생활시설,20031007.0
5942,인천광역시 부평구 부평동 604-21번지,,37.02,01000,단독주택,
5943,인천광역시 부평구 부평동 604-23번지,,125.28,01000,단독주택,19850117.0
5944,인천광역시 부평구 부평동 604-25번지,,106.8,01000,단독주택,19780929.0
5945,인천광역시 부평구 부평동 604-26번지,,83.82,01000,단독주택,19830530.0
5946,인천광역시 부평구 부평동 604-26번지,,4.5,01000,단독주택,19830530.0
5947,인천광역시 부평구 부평동 604-29번지,,310.76,01000,단독주택,19920120.0
5948,인천광역시 부평구 부평동 604-2번지,,116.52,04000,제2종근린생활시설,19791229.0
5949,인천광역시 부평구 부평동 604-34번지,,951.25,04000,제2종근린생활시설,20031230.0
5950,인천광역시 부평구 부평동 604-37번지,,1025.93,14000,업무시설,20031230.0
5952,인천광역시 부평구 부평동 604-53번지,번성홈타운,657.2,02000,공동주택,20021025.0
