,BAS_ID,IntHH,IntHH_R2,IntHH_R3,IntHH_R5,IntTekl,IntTekl_R2,IntTekl_R3,IntTekl_R5
0,21300,0.060036730848292294,1.1412328653057984,0.9079321852899126,0.7082376559412232,0.6089654706592534,0.5100743551548849,0.5142885483002382,0.5127698783796664
1,21301,0.06966105473638969,1.1895801861891118,0.9384543060458452,0.7256605875071633,0.6209600566762178,0.627122475243553,0.5406057572206303,0.5260446451289398
2,21302,0.08737236829523809,1.416177908,1.0846193496190475,0.8287089750476191,0.6302578576190476,0.6862021596190476,0.5831838747142857,0.5617973643333334
3,21303,0.0847119402145749,1.3934698308097166,1.0794013984412956,0.8352371681781378,0.6289272283805668,0.6189918171255061,0.5724565869838056,0.5603796518218623
4,21304,0.09293101864377681,1.4275871387124464,1.107097965579399,0.8535826997424893,0.6328833509012876,0.6765663086695278,0.5862693548497854,0.5668307480257511
5,21305,0.09579174800867679,1.4134593022559654,1.1006140298698481,0.8560517877440348,0.6341527660520607,0.6398735914316702,0.580299220824295,0.5688003091106291
6,21306,0.08701496799526066,1.3873579509320697,1.0789348435545023,0.83206408821485,0.6300930350868879,0.6324953785939968,0.5757124228278041,0.5613416572511848
7,21307,0.08911474404208417,1.3710833830861724,1.0699642055110221,0.8298668905010019,0.6310884749498997,0.6237469214228457,0.5737327464529058,0.5610791629058116
8,21308,0.0934410078063063,1.5003222847747748,1.1535450859909908,0.8881475377027026,0.6330657608108108,0.6517341404504504,0.5941905157207207,0.576108881081081
9,21309,0.09851797143842365,1.500971274679803,1.144898917684729,0.8748050150246305,0.635266042315271,0.6650772297044335,0.5888822389162561,0.5684662112315271
10,21310,0.08603962358396947,1.3570399330534353,1.0536367658015269,0.8133205341984733,0.6254068074045802,0.663924870572519,0.5721916025572519,0.5540153622519084
11,21311,0.09222116637906137,1.3872762613718412,1.0777372492779784,0.8312669574368231,0.6325554294223827,0.6495681844404333,0.5778993642599278,0.5612629363898918
12,21312,0.09647694957641922,1.467170543930131,1.1351470661572052,0.8794955672489083,0.6344467397379913,0.6844187570305678,0.5925064711790393,0.575441783187773
13,21313,0.0965807682217742,1.3813514092741936,1.0749106526612902,0.8277676593145161,0.6344797843145161,0.6488892433467741,0.5772410891532258,0.5606949957258065
