,BAS_ID,IntHH,IntHH_R2,IntHH_R3,IntHH_R5,IntTekl,IntTekl_R2,IntTekl_R3,IntTekl_R5
0,21300,0.05907646888920188,1.1428131508544601,0.9092100964976525,0.7095438189107981,0.6070402764788733,0.48916166850704224,0.5105494186572769,0.5117218770704226
1,21301,0.0690842556030303,1.1712312626666666,0.926729278030303,0.717617570969697,0.6206390916060606,0.621185704969697,0.5369652388787879,0.5231360092424242
2,21302,0.08750839373118278,1.38968134,1.0706273562903226,0.819654811827957,0.6303328165591398,0.6734160675268818,0.5788274696236559,0.5588545380107527
3,21303,0.08711159207865168,1.4190255664606741,1.0954756303370785,0.8486709599157303,0.6301473154494381,0.596179315477528,0.5724463174438202,0.564064437752809
4,21304,0.0923534789882353,1.350654435647059,1.0557727310588236,0.8178101152352941,0.6326237691764706,0.6476571017647059,0.5711869489411765,0.5561159027058823
5,21305,0.09546091690686274,1.3394607412745099,1.0509915009068627,0.822046343995098,0.6340076490931373,0.6185976220588235,0.5683390878676471,0.5600936359558824
6,21306,0.08638542971964285,1.3440987675714287,1.0505689543928571,0.8116740981785715,0.629800292,0.6149712468392857,0.5677668304107143,0.5553708194107143
7,21307,0.08917483574055417,1.343931859093199,1.052375869647355,0.818284255465995,0.6311219549370277,0.5936972155415616,0.5658852170528967,0.5566622277581864
8,21308,0.0932724036281407,1.4696854271356783,1.1328800570351758,0.8723261814070352,0.6319682306030151,0.646067588442211,0.58665063,0.570711146884422
9,21309,0.09822650457718121,1.4625150742281878,1.1179898976510068,0.8537208938926174,0.6351192069127516,0.6395248396644295,0.5799779609395973,0.5615263012751678
10,21310,0.0851812605925926,1.3234872394238684,1.0308103618106996,0.7970022379835391,0.6246790159670782,0.6619854949382716,0.5670350640329218,0.5494443841975308
11,21311,0.09265978060109291,1.3557002612021858,1.0622523839344262,0.8221194419125684,0.6327577189071039,0.6200892725136612,0.571179422240437,0.5579830921857923
12,21312,0.09593928294318181,1.3338756798863636,1.0477498244886363,0.8201240284090908,0.6342110392613637,0.6506065080113635,0.5716227828977272,0.5600060853977272
13,21313,0.09583085544594595,1.3063149563063063,1.0264377245495495,0.7943972099549549,0.634160054009009,0.6294290973423423,0.5659160712612612,0.5519459796846847
14,21314,0.09153406052027027,1.3788228304054053,1.0662961945945946,0.8296166466891892,0.6322652278378379,0.6773522139189189,0.5766307662162162,0.5627327892567567
15,21315,0.09191948279285715,1.3845041635714286,1.0716354898571427,0.8318895600714286,0.6324452539285714,0.6852538050714286,0.5802436733571428,0.5650698573571429
16,21316,0.0782246585037037,1.297779957925926,1.015071862425926,0.784359581074074,0.6256503249814814,0.6022616803703704,0.5568764216296296,0.5458150847037037
17,21317,0.07980941414734774,1.312367444086444,1.0278621673477406,0.7990269841846758,0.6266027790962672,0.6155062369548133,0.5629812291355598,0.5531337860510805
18,21318,0.08458264837831858,1.3491659060619468,1.0573539819690265,0.8233569567477875,0.6289785395575221,0.6219502358849557,0.5694103412831858,0.5586521106415929
19,21319,0.08371136451260504,1.3467540374789917,1.0444735153781513,0.8066463850420168,0.6285071793277311,0.6561418231092437,0.5686398806722688,0.5517275948739495
20,21320,0.09623700244444444,1.6584992611111113,1.261122628611111,0.9723650169444444,0.6343549411111111,0.7581185986111111,0.6310002047222222,0.6040227905555555
21,21321,0.08586413426896553,1.3679119213793103,1.069004047862069,0.8346882437241379,0.6294976321034482,0.6372186875517242,0.5739035358275862,0.5631594533793104
22,21322,0.11523571269784173,1.0735926418705035,0.8676763117985611,0.6841544625899281,0.5722172167625899,0.5169740476258993,0.5061666960431654,0.5048815116546762
23,21323,0.09439349655172415,1.6957187482758622,1.2957486389655173,1.0100631351724139,0.6335512263793104,0.7597848796551725,0.6379939641379311,0.6119520306896552
24,21324,0.096382998,1.5867029,1.2269409033333334,0.9506037033333333,0.63442727,0.73907115,0.6258931333333333,0.5989380666666667
25,21325,0.09703309648717949,1.1996674333333333,0.9540519053846154,0.7489923164102564,0.6346673048717949,0.6278675370512821,0.5444295206410256,0.5348686366666667
26,21326,0.07158916354761904,1.1083601971428572,0.8916841316666667,0.7065404730952382,0.5960684826190477,0.32782482,0.47269163000000003,0.4913970021428571
27,21327,0.09412203947222222,1.1601984680555555,0.9301009805555557,0.7313078565277777,0.6333911133333333,0.6140221354166667,0.5366210131944444,0.5285458995833333
28,21328,0.09505734413513514,1.1678179837837839,0.9447928491891892,0.7579186672972973,0.6338319764864865,0.6207222408108108,0.5467548021621621,0.5438853416216216
29,21329,0.090122752,1.4121193511627907,1.0948897839534883,0.8476586251162791,0.6316199345348837,0.6992537550000001,0.5897879313953488,0.5700772081395349
30,21330,0.08845976435820896,1.2862834223880597,1.0142394377611939,0.7914674943283582,0.6308243708955223,0.6716623485074626,0.5708849850746268,0.5545762201492538
31,21331,0.09399739303125,1.2609392296875,0.9832174453125,0.76196796359375,0.63335672109375,0.6432956603125,0.55097355625,0.53716567109375
32,21332,0.09756263196774194,1.4015455838709678,1.1033566709677418,0.8624010783870968,0.6349189445161291,0.6782516638709677,0.5857179032258064,0.5725541522580645
33,21333,0.09707757474666666,1.4709883144,1.1470988518666667,0.8937342893333332,0.6347187253333333,0.6846029901333334,0.6033941340000001,0.5851767658666667
34,21334,0.09639707191428572,1.227840335238095,0.9699832305714285,0.7497743878095238,0.6344221794285714,0.6463249937142858,0.5537850019047619,0.5378864615238095
35,21335,0.09975468563265306,1.223730638367347,0.9707644108163265,0.7690281808163266,0.6358667910204082,0.5814740997959184,0.5440629940816326,0.5436570628571429
36,21336,0.09925137167647058,1.45867985,1.1366731088235293,0.8940147405882354,0.6356515464705882,0.7092981794117648,0.60015201,0.5814012782352941
37,21337,0.10270328154545455,1.6588917795804197,1.2643231204895105,0.9889935746853148,0.6370958342657342,0.737799164965035,0.6269840414685315,0.6088366371328671
38,21338,0.10401369597560976,1.5892609097560977,1.2106375012195123,0.930058199512195,0.637631257195122,0.7475964920731707,0.6204414918292682,0.5947850576829269
39,21339,,,,,,,,
40,21340,0.09882428124324324,1.3063057832432432,1.0194584864864864,0.7986136448648649,0.6354222208108109,0.5854861151351352,0.5530770513513513,0.5494744278378378
41,21341,0.10261364933333333,1.2864616361111112,1.0154528533333333,0.7988105747222223,0.6370583030555556,0.6641801244444445,0.5683386324999999,0.5566087975
