대지위치,건물명,연면적,주용도코드,주용도코드명,사용승인일,건물노후도
인천광역시 부평구 부평동 10-1001번지,대성빌라,657.11,02000,공동주택,1991-12-27,330
인천광역시 부평구 부평동 10-1002번지,대성타운,657.61,02000,공동주택,1991-12-27,330
인천광역시 부평구 부평동 10-1003번지,대성빌라,657.61,02000,공동주택,1992-09-29,321
인천광역시 부평구 부평동 10-1004번지,,488.1,03000,제1종근린생활시설,1991-11-22,331
인천광역시 부평구 부평동 10-1007번지,,386.88,03000,제1종근린생활시설,1991-11-22,331
인천광역시 부평구 부평동 10-101번지,,404.61,04000,제2종근린생활시설,1994-09-13,298
인천광역시 부평구 부평동 10-1021번지,로얄하이츠,335.46,02000,공동주택,1992-07-03,323
인천광역시 부평구 부평동 10-1036번지,,422.44,01000,단독주택,1993-09-16,309
인천광역시 부평구 부평동 10-1044번지,,61.82,03000,제1종근린생활시설,1987-11-24,378
인천광역시 부평구 부평동 10-1046번지,,295.74,01000,단독주택,1999-06-04,242
인천광역시 부평구 부평동 10-1059번지,중앙파크맨션,609.44,02000,공동주택,1996-04-30,278
인천광역시 부평구 부평동 10-1060번지,,644.58,02000,공동주택,1996-05-01,278
인천광역시 부평구 부평동 10-1072번지,,165.78,01000,단독주택,1997-02-17,269
인천광역시 부평구 부평동 10-1074번지,,270.98,01000,단독주택,1995-12-20,283
인천광역시 부평구 부평동 10-1105번지,부평마트,87.52,04000,제2종근린생활시설,2004-12-15,177
인천광역시 부평구 부평동 10-1118번지,성지그린빌,389.43,02000,공동주택,2001-05-04,219
인천광역시 부평구 부평동 10-1119번지,정도빌라,654.05,02000,공동주택,2001-05-28,219
인천광역시 부평구 부평동 10-1140번지,혜인아이빌,616.92,02000,공동주택,2003-06-24,194
인천광역시 부평구 부평동 10-114번지,,258.0,01000,단독주택,1989-07-25,358
인천광역시 부평구 부평동 10-1209번지,해바라기마을센터,490.99,03000,제1종근린생활시설,2019-05-29,7
인천광역시 부평구 부평동 10-1210번지,,214.2,01000,단독주택,2018-10-29,13
인천광역시 부평구 부평동 10-129번지,,163.27,01000,단독주택,1995-07-29,287
인천광역시 부평구 부평동 10-130번지,,170.54,01000,단독주택,1984-02-01,423
인천광역시 부평구 부평동 10-131번지,,206.82,01000,단독주택,1988-12-12,365
인천광역시 부평구 부평동 10-138번지,환희빌리지,472.22,02000,공동주택,2003-08-19,192
인천광역시 부평구 부평동 10-152번지,,1573.3,04000,제2종근린생활시설,1993-04-23,314
인천광역시 부평구 부평동 10-161번지,,216.135,01000,단독주택,1997-02-17,269
인천광역시 부평구 부평동 10-164번지,,1267.75,04000,제2종근린생활시설,1996-06-19,277
인천광역시 부평구 부평동 10-165번지,환희빌리지,659.9,02000,공동주택,2003-08-19,192
인천광역시 부평구 부평동 10-166번지,혜인아이빌,659.81,02000,공동주택,2003-07-01,194
인천광역시 부평구 부평동 10-184번지,,273.32,04000,제2종근린생활시설,1989-09-12,357
인천광역시 부평구 부평동 10-185번지,태원빌딩,732.01,04000,제2종근린생활시설,2002-11-11,201
인천광역시 부평구 부평동 10-187번지,백인빌딩,884.3,04000,제2종근린생활시설,2010-07-09,111
인천광역시 부평구 부평동 10-195번지,,174.45,01000,단독주택,1987-09-07,380
인천광역시 부평구 부평동 10-217번지,,396.72,01000,단독주택,1994-04-08,303
인천광역시 부평구 부평동 10-21번지,로얄하이츠빌라,333.49,02000,공동주택,1992-07-03,323
인천광역시 부평구 부평동 10-222번지,,494.0,01000,단독주택,1992-09-01,322
인천광역시 부평구 부평동 10-223번지,,78.0,04000,제2종근린생활시설,2000-02-11,234
인천광역시 부평구 부평동 10-225번지,삼성빌라,324.96,02000,공동주택,1990-04-03,350
인천광역시 부평구 부평동 10-226번지,,207.79,01000,단독주택,2010-06-24,112
인천광역시 부평구 부평동 10-228번지,,518.52,02000,공동주택,1994-09-08,298
인천광역시 부평구 부평동 10-22번지,,37.19,01000,단독주택,1974-06-25,536
인천광역시 부평구 부평동 10-22번지,,245.19,01000,단독주택,1983-10-05,427
인천광역시 부평구 부평동 10-230번지,,328.8,01000,단독주택,1993-10-13,308
인천광역시 부평구 부평동 10-233번지,스마트빌,823.56,02000,공동주택,2015-05-21,54
인천광역시 부평구 부평동 10-234번지,궁전빌라,559.96,02000,공동주택,1994-02-21,304
인천광역시 부평구 부평동 10-235번지,,73.65,01000,단독주택,1975-04-26,526
인천광역시 부평구 부평동 10-236번지,,82.81,01000,단독주택,1977-01-17,506
인천광역시 부평구 부평동 10-239번지,포인트빌,657.67,02000,공동주택,2010-11-25,107
인천광역시 부평구 부평동 10-241번지,성지그린빌,389.43,02000,공동주택,2001-05-04,219
인천광역시 부평구 부평동 10-242번지,,198.88,01000,단독주택,1993-07-22,311
인천광역시 부평구 부평동 10-244번지,,430.4,03000,제1종근린생활시설,1993-07-22,311
인천광역시 부평구 부평동 10-245번지,,174.08,01000,단독주택,1975-12-02,519
인천광역시 부평구 부평동 10-246번지,미래빌라,539.14,02000,공동주택,1997-10-02,262
인천광역시 부평구 부평동 10-247번지,대흥아이빌,625.0,02000,공동주택,2008-06-12,136
인천광역시 부평구 부평동 10-248번지,,73.95,01000,단독주택,1977-09-01,498
인천광역시 부평구 부평동 10-249번지,위드어스빌 2차,736.36,02000,공동주택,2014-08-06,63
인천광역시 부평구 부평동 10-250번지,LH행복타운 2동,214.68,01000,단독주택,2019-02-26,9
인천광역시 부평구 부평동 10-251번지,명신빌라,324.56,02000,공동주택,1991-01-09,341
인천광역시 부평구 부평동 10-252번지,,181.86,01000,단독주택,2002-11-08,202
인천광역시 부평구 부평동 10-253번지,로얄하이츠빌라,547.4,02000,공동주택,1993-06-11,312
인천광역시 부평구 부평동 10-254번지,부림주택,328.4,02000,공동주택,1991-01-22,341
인천광역시 부평구 부평동 10-255번지,,238.52,01000,단독주택,1992-08-31,322
인천광역시 부평구 부평동 10-257번지,,279.51,01000,단독주택,1991-11-27,331
인천광역시 부평구 부평동 10-258번지,현대빌라,649.54,02000,공동주택,1998-04-08,256
인천광역시 부평구 부평동 10-259번지,,330.54,01000,단독주택,1991-04-18,338
인천광역시 부평구 부평동 10-25번지,,55.54,01000,단독주택,1974-04-23,538
인천광역시 부평구 부평동 10-260번지,그린하이빌,394.5,02000,공동주택,2001-09-21,215
인천광역시 부평구 부평동 10-261번지,그린하이빌,394.5,02000,공동주택,2001-09-21,215
인천광역시 부평구 부평동 10-262번지,가온팰리스,686.03,02000,공동주택,2013-12-11,71
인천광역시 부평구 부평동 10-264번지,,284.88,01000,단독주택,1996-04-18,279
인천광역시 부평구 부평동 10-266번지,승림하이츠,658.9,02000,공동주택,2010-07-22,111
인천광역시 부평구 부평동 10-267번지,보령빌라,327.0,02000,공동주택,2001-10-26,214
인천광역시 부평구 부평동 10-268번지,승림하이츠,656.15,02000,공동주택,2011-12-23,94
인천광역시 부평구 부평동 10-269번지,,280.17,01000,단독주택,1991-02-22,340
인천광역시 부평구 부평동 10-270번지,미가프라임 제1동,991.6,02000,공동주택,2011-04-25,102
인천광역시 부평구 부평동 10-271번지,,658.7,02000,공동주택,1994-06-11,301
인천광역시 부평구 부평동 10-272번지,다원캐슬,653.76,02000,공동주택,2016-04-04,44
인천광역시 부평구 부평동 10-273번지,,277.91,01000,단독주택,1991-08-19,334
인천광역시 부평구 부평동 10-273번지,,57.95,01000,단독주택,1975-11-08,520
인천광역시 부평구 부평동 10-274번지,,74.21,01000,단독주택,1976-07-30,511
인천광역시 부평구 부평동 10-284번지,정도빌라,367.83,02000,공동주택,2002-05-04,208
인천광역시 부평구 부평동 10-285번지,정도빌라,367.83,02000,공동주택,2002-05-04,208
인천광역시 부평구 부평동 10-286번지,진주빌라,599.26,02000,공동주택,1991-08-13,334
인천광역시 부평구 부평동 10-287번지,가람빌리지,704.58,02000,공동주택,2008-04-28,137
인천광역시 부평구 부평동 10-288번지,김덕환씨 다가구주택,276.21,01000,단독주택,1996-02-14,281
인천광역시 부평구 부평동 10-289번지,대광빌라10차,378.09,02000,공동주택,2001-12-07,212
인천광역시 부평구 부평동 10-290번지,영보팰리스,881.73,02000,공동주택,2015-02-12,57
인천광역시 부평구 부평동 10-291번지,부광파크빌라,364.08,02000,공동주택,1994-06-23,300
인천광역시 부평구 부평동 10-292번지,,561.03,02000,공동주택,1994-02-08,305
인천광역시 부평구 부평동 10-293번지,금강하이츠,528.66,02000,공동주택,2010-12-01,107
인천광역시 부평구 부평동 10-294번지,형우캐스빌,633.49,02000,공동주택,2010-06-24,112
인천광역시 부평구 부평동 10-295번지,,173.71,01000,단독주택,1986-02-25,398
인천광역시 부평구 부평동 10-298번지,,61.49,01000,단독주택,1976-04-09,515
인천광역시 부평구 부평동 10-301번지,,3.31,01000,단독주택,1977-09-12,498
인천광역시 부평구 부평동 10-302번지,,275.1,01000,단독주택,1989-06-05,360
인천광역시 부평구 부평동 10-303번지,,5.26,01000,단독주택,1977-03-16,504
인천광역시 부평구 부평동 10-304번지,부평 10-304,652.61,02000,공동주택,2003-07-04,194
인천광역시 부평구 부평동 10-305번지,,66.35,01000,단독주택,1976-10-07,509
인천광역시 부평구 부평동 10-307번지,G&S드림빌,628.0,02000,공동주택,2012-02-09,93
인천광역시 부평구 부평동 10-30번지,예선타운,336.45,01000,단독주택,2014-01-28,69
인천광역시 부평구 부평동 10-311번지,,408.62,01000,단독주택,2002-07-25,205
인천광역시 부평구 부평동 10-314번지,,218.99,04000,제2종근린생활시설,1999-06-09,242
인천광역시 부평구 부평동 10-315번지,반석빌딩,923.35,04000,제2종근린생활시설,2004-08-05,181
인천광역시 부평구 부평동 10-320번지,,65.71,04000,제2종근린생활시설,1998-03-27,256
인천광역시 부평구 부평동 10-322번지,화송빌라,328.68,02000,공동주택,1991-10-22,332
인천광역시 부평구 부평동 10-327번지,명성아트빌,656.2,02000,공동주택,2003-04-22,196
인천광역시 부평구 부평동 10-329번지,,322.84,04000,제2종근린생활시설,1995-10-09,285
인천광역시 부평구 부평동 10-32번지,,56.13,01000,단독주택,1976-07-07,512
인천광역시 부평구 부평동 10-332번지,,570.3,04000,제2종근린생활시설,1989-09-22,356
인천광역시 부평구 부평동 10-337번지,,610.33,02000,공동주택,1993-09-14,309
인천광역시 부평구 부평동 10-338번지,한울파크,370.32,01000,단독주택,2018-11-19,13
인천광역시 부평구 부평동 10-339번지,남송빌리지,727.15,02000,공동주택,2007-08-14,145
인천광역시 부평구 부평동 10-340번지,신영빌라,611.83,02000,공동주택,2002-11-07,202
인천광역시 부평구 부평동 10-341번지,청호빌라,640.79,02000,공동주택,2003-03-04,198
인천광역시 부평구 부평동 10-343번지,청호탑스빌,524.99,02000,공동주택,2002-11-21,201
인천광역시 부평구 부평동 10-345번지,청담빌리지,659.02,02000,공동주택,2012-09-17,85
인천광역시 부평구 부평동 10-346번지,,396.88,04000,제2종근린생활시설,2019-04-18,8
인천광역시 부평구 부평동 10-348번지,,264.39,01000,단독주택,2001-06-18,218
인천광역시 부평구 부평동 10-349번지,써미트빌,657.76,02000,공동주택,2018-12-05,12
인천광역시 부평구 부평동 10-351번지,,402.84,01000,단독주택,1988-09-22,368
인천광역시 부평구 부평동 10-352번지,원타운빌라,633.33,02000,공동주택,1998-08-04,252
인천광역시 부평구 부평동 10-354번지,,437.15,04000,제2종근린생활시설,1992-11-18,319
인천광역시 부평구 부평동 10-355번지,,350.49,01000,단독주택,2002-06-11,206
인천광역시 부평구 부평동 10-356번지,,21.58,01000,단독주택,1977-02-02,505
인천광역시 부평구 부평동 10-356번지,,271.07,01000,단독주택,1990-11-30,342
인천광역시 부평구 부평동 10-357번지,한일빌라,328.44,02000,공동주택,1990-01-23,352
인천광역시 부평구 부평동 10-358번지,정도빌라,654.05,02000,공동주택,2001-05-28,219
인천광역시 부평구 부평동 10-359번지,,570.66,01000,단독주택,1994-03-22,303
인천광역시 부평구 부평동 10-360번지,부흥쉐르빌,646.04,02000,공동주택,2002-09-19,203
인천광역시 부평구 부평동 10-361번지,,153.09,01000,단독주택,2000-07-05,229
인천광역시 부평구 부평동 10-362번지,,80.89,01000,단독주택,1983-10-13,426
인천광역시 부평구 부평동 10-363번지,성진빌리지,355.6,02000,공동주택,2001-12-03,213
인천광역시 부평구 부평동 10-364번지,경부빌라,307.41,02000,공동주택,1991-09-06,333
인천광역시 부평구 부평동 10-365번지,,352.76,01000,단독주택,1995-04-25,290
인천광역시 부평구 부평동 10-370번지,진주아트빌,649.48,02000,공동주택,2002-09-19,203
인천광역시 부평구 부평동 10-371번지,,182.32,01000,단독주택,1984-08-01,417
인천광역시 부평구 부평동 10-372번지,로얄하이츠 빌라,591.2,02000,공동주택,1992-04-20,326
인천광역시 부평구 부평동 10-373번지,,650.36,02000,공동주택,2008-04-04,138
인천광역시 부평구 부평동 10-374번지,정도빌라,628.28,02000,공동주택,2001-11-05,213
인천광역시 부평구 부평동 10-375번지,,222.3,01000,단독주택,2009-01-29,128
인천광역시 부평구 부평동 10-376번지,,297.33,01000,단독주택,2019-01-31,10
인천광역시 부평구 부평동 10-377번지,선경 하이츠빌라,622.3,02000,공동주택,1998-02-20,257
인천광역시 부평구 부평동 10-379번지,,353.07,02000,공동주택,2010-04-08,114
인천광역시 부평구 부평동 10-380번지,청담빌리지,521.54,02000,공동주택,2011-04-04,103
인천광역시 부평구 부평동 10-382번지,정도빌라,639.58,02000,공동주택,2001-11-05,213
인천광역시 부평구 부평동 10-383번지,부흥아트빌라,653.76,02000,공동주택,2003-05-02,196
인천광역시 부평구 부평동 10-388번지,쌍용빌라,566.22,02000,공동주택,2002-03-15,209
인천광역시 부평구 부평동 10-389번지,덕영빌리지,341.69,02000,공동주택,2002-01-24,211
인천광역시 부평구 부평동 10-393번지,,283.41,01000,단독주택,1992-07-13,323
인천광역시 부평구 부평동 10-394번지,,169.9,03000,제1종근린생활시설,1986-12-29,388
인천광역시 부평구 부평동 10-397번지,,657.0,02000,공동주택,2011-02-10,104
인천광역시 부평구 부평동 10-400번지,,300.24,01000,단독주택,1994-12-28,294
인천광역시 부평구 부평동 10-402번지,,61.45,01000,단독주택,1976-04-09,515
인천광역시 부평구 부평동 10-403번지,청원빌리지,536.14,02000,공동주택,2002-10-24,202
인천광역시 부평구 부평동 10-405번지,영빈빌리지,656.66,02000,공동주택,2001-12-20,212
인천광역시 부평구 부평동 10-407번지,문화에이스빌,635.67,02000,공동주택,2002-05-14,207
인천광역시 부평구 부평동 10-410번지,롯데하이빌,414.6,02000,공동주택,2009-01-28,128
인천광역시 부평구 부평동 10-411번지,신궁전빌라,559.01,02000,공동주택,1993-12-24,306
인천광역시 부평구 부평동 10-413번지,,1.4,01000,단독주택,1986-11-26,389
인천광역시 부평구 부평동 10-414번지,제이와이벤처파크,338.44,01000,단독주택,2019-01-04,11
인천광역시 부평구 부평동 10-415번지,영인파크빌라,425.2,02000,공동주택,2001-05-09,219
인천광역시 부평구 부평동 10-416번지,,174.78,03000,제1종근린생활시설,1986-11-24,390
인천광역시 부평구 부평동 10-417번지,,74.87,01000,단독주택,1976-08-30,510
인천광역시 부평구 부평동 10-418번지,,55.87,01000,단독주택,1976-06-28,512
인천광역시 부평구 부평동 10-419번지,,53.55,01000,단독주택,1976-06-28,512
인천광역시 부평구 부평동 10-420번지,,484.74,02000,공동주택,2009-11-10,119
인천광역시 부평구 부평동 10-421번지,,56.09,01000,단독주택,1976-07-07,512
인천광역시 부평구 부평동 10-423번지,,224.28,01000,단독주택,1995-12-20,283
인천광역시 부평구 부평동 10-424번지,정도빌라,367.83,02000,공동주택,2002-05-04,208
인천광역시 부평구 부평동 10-425번지,로얄 하이츠빌라,547.4,02000,공동주택,1993-05-19,313
인천광역시 부평구 부평동 10-427번지,시티하우스,516.44,02000,공동주택,2002-03-15,209
인천광역시 부평구 부평동 10-430번지,,187.87,01000,단독주택,1985-08-03,405
인천광역시 부평구 부평동 10-431번지,,212.03,01000,단독주택,1993-08-03,311
인천광역시 부평구 부평동 10-433번지,,0.81,01000,단독주택,1989-11-11,355
인천광역시 부평구 부평동 10-436번지,,267.93,01000,단독주택,1988-08-17,369
인천광역시 부평구 부평동 10-438번지,,322.4,01000,단독주택,1990-11-20,343
인천광역시 부평구 부평동 10-439번지,,748.2,04000,제2종근린생활시설,1991-07-08,335
인천광역시 부평구 부평동 10-43번지,,183.79,03000,제1종근린생활시설,1986-08-28,392
인천광역시 부평구 부평동 10-452번지,,199.71,01000,단독주택,1993-08-04,311
인천광역시 부평구 부평동 10-454번지,,60.4,01000,단독주택,1977-12-20,495
인천광역시 부평구 부평동 10-456번지,,368.8,01000,단독주택,1991-08-23,334
인천광역시 부평구 부평동 10-457번지,,245.225,01000,단독주택,1988-10-27,367
인천광역시 부평구 부평동 10-459번지,,174.66,03000,제1종근린생활시설,1988-11-19,366
인천광역시 부평구 부평동 10-459번지,,1.44,01000,단독주택,1988-11-19,366
인천광역시 부평구 부평동 10-460번지,보광빌라,330.46,02000,공동주택,2001-06-11,218
인천광역시 부평구 부평동 10-462번지,보광빌라,333.02,02000,공동주택,2001-06-11,218
인천광역시 부평구 부평동 10-462번지,,4.2,01000,단독주택,1977-11-04,496
인천광역시 부평구 부평동 10-463번지,,329.58,01000,단독주택,1993-10-05,309
인천광역시 부평구 부평동 10-465번지,,403.49,01000,단독주택,1994-07-29,299
인천광역시 부평구 부평동 10-466번지,,336.01,01000,단독주택,1992-09-23,321
인천광역시 부평구 부평동 10-468번지,,1.44,01000,단독주택,1992-09-23,321
인천광역시 부평구 부평동 10-470번지,,4.2,01000,단독주택,1977-08-24,499
인천광역시 부평구 부평동 10-472번지,,214.92,01000,단독주택,1990-11-20,343
인천광역시 부평구 부평동 10-474번지,리치플러스,701.85,02000,공동주택,2013-01-30,81
인천광역시 부평구 부평동 10-475번지,,216.96,01000,단독주택,1990-12-18,342
인천광역시 부평구 부평동 10-477번지,,67.1,01000,단독주택,1977-09-16,498
인천광역시 부평구 부평동 10-480번지,,260.01,01000,단독주택,1993-11-22,307
인천광역시 부평구 부평동 10-481번지,,4.2,01000,단독주택,1977-09-01,498
인천광역시 부평구 부평동 10-482번지,,4.2,01000,단독주택,1977-09-07,498
인천광역시 부평구 부평동 10-483번지,,198.42,01000,단독주택,1993-10-06,309
인천광역시 부평구 부평동 10-484번지,,66.35,01000,단독주택,1977-09-01,498
인천광역시 부평구 부평동 10-485번지,더드림하우스,241.4,01000,단독주택,2017-09-07,27
인천광역시 부평구 부평동 10-486번지,,4.2,01000,단독주택,1977-08-24,499
인천광역시 부평구 부평동 10-487번지,,274.5,01000,단독주택,1996-05-27,278
인천광역시 부평구 부평동 10-488번지,,76.92,01000,단독주택,1977-09-30,497
인천광역시 부평구 부평동 10-489번지,,74.67,01000,단독주택,1978-01-11,494
인천광역시 부평구 부평동 10-490번지,,68.76,01000,단독주택,1977-09-01,498
인천광역시 부평구 부평동 10-491번지,,4.2,01000,단독주택,1977-08-01,499
인천광역시 부평구 부평동 10-492번지,,276.29,01000,단독주택,2016-03-21,44
인천광역시 부평구 부평동 10-493번지,STAY빌,291.82,01000,단독주택,2012-02-10,92
인천광역시 부평구 부평동 10-495번지,,240.33,01000,단독주택,1990-09-27,344
인천광역시 부평구 부평동 10-496번지,,67.34,01000,단독주택,1977-08-04,499
인천광역시 부평구 부평동 10-497번지,,4.2,01000,단독주택,1977-08-24,499
인천광역시 부평구 부평동 10-498번지,해피팰리스,759.37,02000,공동주택,2015-08-06,51
인천광역시 부평구 부평동 10-501번지,,204.48,01000,단독주택,1996-01-26,281
인천광역시 부평구 부평동 10-502번지,,222.51,01000,단독주택,1997-09-20,262
인천광역시 부평구 부평동 10-503번지,,226.305,01000,단독주택,2000-11-01,225
인천광역시 부평구 부평동 10-504번지,,4.2,01000,단독주택,1977-08-24,499
인천광역시 부평구 부평동 10-505번지,,4.2,01000,단독주택,1977-08-04,499
인천광역시 부평구 부평동 10-506번지,,64.92,01000,단독주택,1977-08-04,499
인천광역시 부평구 부평동 10-507번지,,4.2,01000,단독주택,1977-09-01,498
인천광역시 부평구 부평동 10-508번지,,4.2,01000,단독주택,1977-09-01,498
인천광역시 부평구 부평동 10-509번지,,4.2,01000,단독주택,1977-08-04,499
인천광역시 부평구 부평동 10-510번지,,4.2,01000,단독주택,1977-08-04,499
인천광역시 부평구 부평동 10-511번지,,235.4,01000,단독주택,1993-12-09,307
인천광역시 부평구 부평동 10-512번지,,155.36,04000,제2종근린생활시설,1977-08-24,499
인천광역시 부평구 부평동 10-513번지,,72.9,04000,제2종근린생활시설,2005-06-08,171
인천광역시 부평구 부평동 10-514번지,,494.7,03000,제1종근린생활시설,1992-12-11,318
인천광역시 부평구 부평동 10-515번지,,494.12,03000,제1종근린생활시설,1992-08-27,322
인천광역시 부평구 부평동 10-516번지,,64.57,01000,단독주택,1977-08-01,499
인천광역시 부평구 부평동 10-517번지,,64.57,01000,단독주택,1977-08-04,499
인천광역시 부평구 부평동 10-518번지,,494.48,03000,제1종근린생활시설,1992-09-07,321
인천광역시 부평구 부평동 10-519번지,,493.4639,03000,제1종근린생활시설,1992-12-22,318
인천광역시 부평구 부평동 10-520번지,,67.1,01000,단독주택,1977-10-24,497
인천광역시 부평구 부평동 10-521번지,,67.1,01000,단독주택,1977-10-24,497
인천광역시 부평구 부평동 10-522번지,,493.4578,01000,단독주택,1992-12-22,318
인천광역시 부평구 부평동 10-523번지,,1496.7,03000,제1종근린생활시설,1993-07-22,311
인천광역시 부평구 부평동 10-525번지,,378.59,04000,제2종근린생활시설,1993-07-19,311
인천광역시 부평구 부평동 10-527번지,,220.36,01000,단독주택,1988-11-28,366
인천광역시 부평구 부평동 10-528번지,,199.02,01000,단독주택,1991-08-08,334
인천광역시 부평구 부평동 10-530번지,,198.48,01000,단독주택,1991-11-16,331
인천광역시 부평구 부평동 10-531번지,,224.04,01000,단독주택,1988-11-04,367
인천광역시 부평구 부평동 10-532번지,,230.85,01000,단독주택,1993-05-27,313
인천광역시 부평구 부평동 10-533번지,,2.0,01000,단독주택,1988-08-05,370
인천광역시 부평구 부평동 10-534번지,,163.64,01000,단독주택,1989-07-31,358
인천광역시 부평구 부평동 10-535번지,,4.2,01000,단독주택,1977-09-07,498
인천광역시 부평구 부평동 10-536번지,,233.91,01000,단독주택,1991-08-08,334
인천광역시 부평구 부평동 10-537번지,,215.67,01000,단독주택,1993-07-23,311
인천광역시 부평구 부평동 10-538번지,,67.38,01000,단독주택,1977-09-07,498
인천광역시 부평구 부평동 10-539번지,7호선,206.06,01000,단독주택,2019-10-18,2
인천광역시 부평구 부평동 10-540번지,,4.2,01000,단독주택,1977-09-01,498
인천광역시 부평구 부평동 10-541번지,,332.62,01000,단독주택,2017-02-24,33
인천광역시 부평구 부평동 10-542번지,,76.72,01000,단독주택,1977-09-07,498
인천광역시 부평구 부평동 10-543번지,,235.17,01000,단독주택,1990-08-10,346
인천광역시 부평구 부평동 10-544번지,,237.36,01000,단독주택,1996-11-14,272
인천광역시 부평구 부평동 10-545번지,,4.2,01000,단독주택,1977-09-07,498
인천광역시 부평구 부평동 10-546번지,,76.72,01000,단독주택,1977-09-07,498
인천광역시 부평구 부평동 10-547번지,,363.42,01000,단독주택,1993-11-09,308
인천광역시 부평구 부평동 10-548번지,,339.16,01000,단독주택,1993-10-28,308
인천광역시 부평구 부평동 10-549번지,,67.38,01000,단독주택,1977-09-09,498
인천광역시 부평구 부평동 10-550번지,,242.52,01000,단독주택,1993-06-21,312
인천광역시 부평구 부평동 10-551번지,,376.66,01000,단독주택,1993-07-12,311
인천광역시 부평구 부평동 10-552번지,,67.38,01000,단독주택,1977-09-07,498
인천광역시 부평구 부평동 10-553번지,,63.18,01000,단독주택,1977-09-07,498
인천광역시 부평구 부평동 10-554번지,,347.4,03000,제1종근린생활시설,1990-11-23,342
인천광역시 부평구 부평동 10-555번지,,2.0,03000,제1종근린생활시설,1990-09-28,344
인천광역시 부평구 부평동 10-556번지,,98.43,04000,제2종근린생활시설,1977-11-01,496
인천광역시 부평구 부평동 10-557번지,,4.93,01000,단독주택,1977-11-19,496
인천광역시 부평구 부평동 10-558번지,,4.2,01000,단독주택,1977-09-07,498
인천광역시 부평구 부평동 10-560번지,부평동상가주택,456.46,01000,단독주택,2002-09-25,203
인천광역시 부평구 부평동 10-561번지,주안빌딩,1455.87,04000,제2종근린생활시설,2003-08-12,193
인천광역시 부평구 부평동 10-567번지,,68.11,01000,단독주택,1977-11-01,496
인천광역시 부평구 부평동 10-568번지,,4.93,03000,제1종근린생활시설,1977-11-01,496
인천광역시 부평구 부평동 10-569번지,,68.11,03000,제1종근린생활시설,1977-11-01,496
인천광역시 부평구 부평동 10-570번지,,4.93,01000,단독주택,1977-11-01,496
인천광역시 부평구 부평동 10-571번지,명진빌딩,715.84,03000,제1종근린생활시설,2005-08-22,169
인천광역시 부평구 부평동 10-573번지,한영빌라,295.51,02000,공동주택,2009-01-19,129
인천광역시 부평구 부평동 10-574번지,,256.06,01000,단독주택,1993-05-18,313
인천광역시 부평구 부평동 10-575번지,,67.38,01000,단독주택,1977-09-07,498
인천광역시 부평구 부평동 10-576번지,,67.38,01000,단독주택,1977-09-07,498
인천광역시 부평구 부평동 10-577번지,,67.38,01000,단독주택,1977-09-07,498
인천광역시 부평구 부평동 10-578번지,,381.84,01000,단독주택,1991-10-15,332
인천광역시 부평구 부평동 10-579번지,,298.92,01000,단독주택,1995-08-09,287
인천광역시 부평구 부평동 10-580번지,,4.2,01000,단독주택,1977-11-04,496
인천광역시 부평구 부평동 10-581번지,,72.8,01000,단독주택,1977-11-04,496
인천광역시 부평구 부평동 10-582번지,,297.53,03000,제1종근린생활시설,1997-03-14,268
인천광역시 부평구 부평동 10-583번지,준하우스,198.49,01000,단독주택,2018-08-21,16
인천광역시 부평구 부평동 10-584번지,,343.0,01000,단독주택,1990-12-03,342
인천광역시 부평구 부평동 10-585번지,,387.54,01000,단독주택,1993-09-11,309
인천광역시 부평구 부평동 10-586번지,우신빌,197.82,01000,단독주택,2019-05-30,6
인천광역시 부평구 부평동 10-587번지,,323.47,01000,단독주택,1993-08-14,310
인천광역시 부평구 부평동 10-588번지,,199.65,01000,단독주택,1992-07-27,323
인천광역시 부평구 부평동 10-589번지,,196.11,01000,단독주택,1993-09-23,309
인천광역시 부평구 부평동 10-590번지,,683.98,03000,제1종근린생활시설,1993-11-18,307
인천광역시 부평구 부평동 10-591번지,,494.0378,04000,제2종근린생활시설,1993-09-27,309
인천광역시 부평구 부평동 10-592번지,,196.65,01000,단독주택,1992-07-27,323
인천광역시 부평구 부평동 10-593번지,동진빌라,269.61,02000,공동주택,1990-11-23,342
인천광역시 부평구 부평동 10-596번지,,653.94,01000,단독주택,2000-10-26,226
인천광역시 부평구 부평동 10-597번지,환에코빌,901.43,02000,공동주택,2014-02-21,69
인천광역시 부평구 부평동 10-601번지,,189.42,01000,단독주택,1991-07-11,335
인천광역시 부평구 부평동 10-602번지,,71.34,01000,단독주택,1977-11-02,496
인천광역시 부평구 부평동 10-606번지,하얀606,295.06,01000,단독주택,2017-07-12,29
인천광역시 부평구 부평동 10-607번지,,70.81,01000,단독주택,1978-09-04,486
인천광역시 부평구 부평동 10-608번지,,174.84,01000,단독주택,1990-10-22,343
인천광역시 부평구 부평동 10-609번지,,15.04,01000,단독주택,1978-07-14,488
인천광역시 부평구 부평동 10-610번지,LH행복타운 1동,204.78,01000,단독주택,2019-02-26,9
인천광역시 부평구 부평동 10-611번지,,42.97,01000,단독주택,1965-01-15,647
인천광역시 부평구 부평동 10-613번지,,127.9,01000,단독주택,1979-08-30,475
인천광역시 부평구 부평동 10-614번지,그린하이빌,394.5,02000,공동주택,2001-09-21,215
인천광역시 부평구 부평동 10-618번지,스위트홈,279.93,01000,단독주택,2018-06-12,18
