대지위치,건물명,연면적,주용도코드,주용도코드명,사용승인일,건물노후도
인천광역시 부평구 부평동 475-13번지,,449.8,02000,공동주택,1995-05-13,290
인천광역시 부평구 부평동 475-14번지,,636.34,02000,공동주택,1995-12-29,282
인천광역시 부평구 부평동 475-1번지,,572.52,02000,공동주택,1992-02-11,328
인천광역시 부평구 부평동 475-3번지,무한홈타운,805.88,02000,공동주택,2001-09-25,215
인천광역시 부평구 부평동 475-6번지,,566.5,02000,공동주택,1992-05-12,325
인천광역시 부평구 부평동 475-9번지,우진그린아파트,628.19,02000,공동주택,2001-07-12,217
인천광역시 부평구 부평동 476-10번지,,329.22,01000,단독주택,1994-11-25,295
인천광역시 부평구 부평동 476-1번지,골드클래스,4988.22,14000,업무시설,2017-08-02,28
인천광역시 부평구 부평동 476-3번지,,326.48,02000,공동주택,1988-11-01,367
인천광역시 부평구 부평동 476-5번지,인 마스터뷰,3427.1,14000,업무시설,2016-09-09,39
인천광역시 부평구 부평동 476-6번지,창우아이빌,859.94,02000,공동주택,2009-10-07,120
인천광역시 부평구 부평동 476-9번지,,326.48,02000,공동주택,1988-11-04,367
인천광역시 부평구 부평동 477-2번지,,81.92,01000,단독주택,1977-12-08,495
인천광역시 부평구 부평동 478-2번지,,107.0,01000,단독주택,1976-12-18,507
인천광역시 부평구 부평동 479-4번지,,387.12,01000,단독주택,1990-02-10,352
인천광역시 부평구 부평동 479-4번지,,2.88,01000,단독주택,1979-09-28,474
인천광역시 부평구 부평동 479번지,,71.04,01000,단독주택,1977-12-20,495
인천광역시 부평구 부평동 481-11번지,다원캐슬,763.6,02000,공동주택,2012-04-27,90
인천광역시 부평구 부평동 481-13번지,중성골든타운,447.96,02000,공동주택,1994-11-05,296
인천광역시 부평구 부평동 481-1번지,민경아파트,772.82,02000,공동주택,2001-07-21,217
인천광역시 부평구 부평동 481-2번지,,659.64,02000,공동주택,1993-07-29,311
인천광역시 부평구 부평동 481-3번지,,494.1,02000,공동주택,1991-10-31,331
인천광역시 부평구 부평동 481-4번지,중성골든타운,653.3,02000,공동주택,1994-11-05,296
인천광역시 부평구 부평동 481-5번지,,328.8,02000,공동주택,1991-05-31,336
인천광역시 부평구 부평동 481-6번지,,494.1,02000,공동주택,1991-10-31,331
