intercept,외식업매출월평균변화량,서비스업매출월평균변화량,아파트시세변화_차분평균,소매업매출월평균변화량,점포밀도,주거인구/직장인구,단독주택 연면적 비율,아파트 가구수,BAS_AR,서비스업매출비율,상가밀도,외식업매출비율,개별공시지가 변화 차분평균,근린생활시설 연면적 비율,평균최근접역거리,(주거인구+직장인구)/유동인구,도로길이고려_국부통합도_R3,평균 도로 길이,평균최근접정류장거리,외식업종다양성,공동주택 연면적 비율,x,y,BAS_ID
63.3878332277402,3.505062601100641e-07,-1.531974531003687e-06,-0.009157450472313875,-1.003517551764603e-07,-0.0011465962076963605,-0.07374868030348751,0.8650823150614746,-0.005019832170473598,6.60873434112162,26.348661379865277,0.009207364064998416,8.055920636331834,2.5646349576409603e-05,0.9810049687623035,9.138929676784034,16.993800299282565,0.003123335541331035,0.07704066139816954,-229.49921899954074,-42.50348196132232,0.6984498957909546,126.68913490770505,37.51870773736182,21300
50.59888737854266,4.1928852661855327e-07,-1.3138834767569597e-06,-0.00942966475845982,-5.2175361156939106e-08,-0.001121504936840572,-0.08899916885232545,0.8141549100884098,-0.005192263143795967,2.109883688108327,22.00455537610083,0.0041309546675598295,11.039105866404428,4.333711659669434e-05,1.0453748045795161,11.173964137379304,18.070748545394146,0.0036802618586041736,0.07063288313909356,-229.5937491770177,-30.14589459092609,0.7450264971573574,126.69545880461988,37.52241686372307,21301
42.025099902641436,4.762219817025284e-07,-1.3539792457681088e-06,-0.010642528771920115,-4.7662661219283154e-08,-0.0011181977193637578,-0.09021216528226815,0.7783991883075707,-0.005680167097877299,-0.9733295980973558,21.556787770398547,0.002906412869365776,14.382704536918986,4.8050678871345094e-05,1.0692023137067108,12.301843717420553,18.551109330376114,0.003919413213814981,0.07072819250159992,-218.9080596267481,-23.649076854233677,0.7833522574512921,126.70134171772969,37.52233877708572,21302
50.51125148138657,2.240313756504168e-07,-1.3246103181768661e-06,-0.009488638221295904,-3.763386534654555e-08,-0.001162252074976246,-0.09083433747323767,0.8185738209305191,-0.004888236741281391,2.7464611324559725,21.859001325862884,0.004288518025771261,8.136939677474368,4.4971205628816e-05,1.0961028718216876,11.141456214408919,18.02480134387438,0.0035076244274296195,0.07354853516945016,-228.26147993708324,-31.577002292519698,0.7521859116275567,126.69872979436714,37.51898140944887,21303
42.37256864650385,2.730707425648833e-07,-1.3589891149457262e-06,-0.010582985931453133,-3.0702258738023005e-08,-0.0011458866618830183,-0.0925249179024249,0.7878157591976547,-0.005303432493888444,1.063610254975623,22.37262656564031,0.0026676547014038146,10.784927657276734,5.07524382090498e-05,1.1149020756730517,12.518071125864099,18.494862914691936,0.003630726562298104,0.07237987031123179,-220.02323819583816,-25.103636938129974,0.7899249591900176,126.70341884326405,37.519318995056054,21304
48.74902317735739,-3.424948613836891e-08,-1.3310906161252676e-06,-0.009695641214817736,-1.630683357616148e-08,-0.00122915287164789,-0.09469972620549706,0.8230455796213407,-0.0045272573224331885,3.8377759421261435,21.798354515369915,0.0041156053688206,3.581136311973036,5.031382093094155e-05,1.18883956273174,11.218008423851462,17.91168494139536,0.0032587106675514978,0.07771577029666446,-224.63427253937218,-32.861427397755556,0.7754794528697005,126.70300423971963,37.515329100586754,21305
57.90609907059981,1.2017157450971697e-07,-1.3828178669167498e-06,-0.008845168229136642,-5.69514025883536e-08,-0.0011948136239001937,-0.08817068314873883,0.8487448718186668,-0.004611495370099611,5.527059159627436,24.979474026777293,0.006261016214412721,5.1590614780554285,3.7457356332270565e-05,1.0923488236468424,9.877753985584798,17.58342029738458,0.0031120924576798757,0.07732093844154778,-230.94194854892476,-39.265895095977555,0.7311561303266735,126.69720548857926,37.51567898613793,21306
66.72591470674678,3.2815357320177376e-07,-1.8188751410620814e-06,-0.009094060568809138,-1.7597840899871973e-07,-0.0011400350178416613,0.0015818297088562652,0.9051899180881032,-0.005302343767937867,12.882661096772273,37.53819343076844,0.011402008359803227,6.309460063583166,1.9154967373738775e-05,0.9103763210637573,8.917309893751126,14.891481836012277,0.0027057604345544976,0.0828868397048049,-225.77855964451211,-48.634148667689004,0.6757158609489138,126.69309964043227,37.512529261238306,21307
68.69549635383373,4.288015859714372e-07,-1.8708970377874057e-06,-0.007979318322530966,-2.2354998826147192e-07,-0.0011056477392544178,-0.002855299881684221,0.9333397098308773,-0.005378835304709651,16.784852439613765,46.711528926479495,0.010312794786179594,6.695681777481588,2.1732496362265995e-05,0.8548577171489372,8.603324319745221,14.814083053488883,0.0025597888022580594,0.08137345094701867,-233.31626395815772,-51.5205501360888,0.6665066244779584,126.69463592515947,37.50972402615308,21308
56.03471707118519,-7.734675837697068e-08,-1.3664096804116063e-06,-0.008195558158679766,-6.277822018619943e-08,-0.0012665750111677376,-0.09180755453630586,0.8714778053910951,-0.004378820334266212,8.663939236082294,30.531529412557166,0.005600783700367044,-0.8661015827661735,4.6198753082634346e-05,1.1885925730186362,9.54102165899949,17.274511723957215,0.0027398577586940556,0.08317389039440481,-228.8597245511296,-43.12209471576647,0.7681096480883433,126.70257157044347,37.51088024429188,21309
37.94310981442511,6.163256872693849e-07,-1.3388903640563558e-06,-0.011688242092702035,-5.3632269163385234e-08,-0.0009641829961116357,-0.09461565725791007,0.7367777271054617,-0.006905876657197677,4.598548403727899,32.95576913032311,0.00011271039897617328,15.952824719601642,4.85500604790569e-05,1.0046542029041958,15.09488072587338,19.350215599574327,0.0032271215467485673,0.05625084336837887,-216.16099246010077,-16.116798672559014,0.8285675862753857,126.70802741158735,37.5214043470635,21310
