address,latitude,longitude,주용도코드명,연면적
인천광역시 부평구 부평동 10-266번지,37.5037645,126.7284498,공동주택,658.9
인천광역시 부평구 부평동 10-267번지,37.5037769,126.7282823,공동주택,327.0
인천광역시 부평구 부평동 10-268번지,37.5037906,126.7281089,공동주택,656.15
인천광역시 부평구 부평동 10-269번지,37.5038093,126.7278311,단독주택,280.17
인천광역시 부평구 부평동 10-270번지,37.5038284,126.7276346,공동주택,991.6
인천광역시 부평구 부평동 10-271번지,37.5038485,126.7273932,공동주택,658.7
인천광역시 부평구 부평동 10-272번지,37.5038623,126.7271997,공동주택,653.76
인천광역시 부평구 부평동 10-273번지,37.503874,126.7270473,단독주택,335.86
인천광역시 부평구 부평동 10-274번지,37.5038888,126.7268396,단독주택,74.21
인천광역시 부평구 부평동 10-284번지,37.5036665,126.7269022,공동주택,367.83
인천광역시 부평구 부평동 10-285번지,37.5036513,126.7271074,공동주택,367.83
인천광역시 부평구 부평동 10-286번지,37.5036307,126.7273644,공동주택,599.26
인천광역시 부평구 부평동 10-287번지,37.5036065,126.7276522,공동주택,704.58
인천광역시 부평구 부평동 10-288번지,37.5035963,126.7278008,단독주택,276.21
인천광역시 부평구 부평동 10-289번지,37.5035885,126.7279045,공동주택,378.09
인천광역시 부평구 부평동 10-290번지,37.5035771,126.7280709,공동주택,881.73
인천광역시 부평구 부평동 10-291번지,37.503565,126.7282437,공동주택,364.08
인천광역시 부평구 부평동 10-292번지,37.5035416,126.7283786,공동주택,561.03
인천광역시 부평구 부평동 10-293번지,37.5035312,126.7285271,공동주택,528.66
인천광역시 부평구 부평동 10-294번지,37.5035181,126.7286638,공동주택,633.49
인천광역시 부평구 부평동 10-295번지,37.5033831,126.7286577,단독주택,174.91
인천광역시 부평구 부평동 10-298번지,37.5034245,126.7282083,단독주택,61.49
인천광역시 부평구 부평동 10-301번지,37.5034772,126.7276353,단독주택,142.15
인천광역시 부평구 부평동 10-302번지,37.5035017,126.7273715,단독주택,275.1
인천광역시 부평구 부평동 10-303번지,37.5035073,126.7272023,단독주택,72.07000000000001
인천광역시 부평구 부평동 10-304번지,37.5034706,126.727052,공동주택,652.61
인천광역시 부평구 부평동 10-305번지,37.5035171,126.7269119,단독주택,70.55
인천광역시 부평구 부평동 10-307번지,37.5035042,126.7265877,공동주택,628.0
인천광역시 부평구 부평동 10-30번지,37.5031067,126.7286022,단독주택,336.45
인천광역시 부평구 부평동 10-311번지,37.5041441,126.7287794,단독주택,408.62
인천광역시 부평구 부평동 10-314번지,37.5039119,126.7334668,제2종근린생활시설,218.99
인천광역시 부평구 부평동 10-315번지,37.5039178,126.7333068,제2종근린생활시설,923.35
인천광역시 부평구 부평동 10-320번지,37.5039556,126.7329551,제2종근린생활시설,65.71
인천광역시 부평구 부평동 10-322번지,37.5038704,126.7328608,공동주택,328.68
인천광역시 부평구 부평동 10-327번지,37.5032814,126.726164,공동주택,656.2
인천광역시 부평구 부평동 10-329번지,37.5031562,126.7257311,제2종근린생활시설,322.84
인천광역시 부평구 부평동 10-32번지,37.5039476,126.7266159,단독주택,56.13
인천광역시 부평구 부평동 10-332번지,37.5029447,126.7256774,제2종근린생활시설,570.3
인천광역시 부평구 부평동 10-337번지,37.502984,126.7280016,공동주택,610.33
인천광역시 부평구 부평동 10-338번지,37.5031503,126.7279438,단독주택,370.32
인천광역시 부평구 부평동 10-339번지,37.5030026,126.7277864,공동주택,727.15
인천광역시 부평구 부평동 10-340번지,37.5030215,126.7275806,공동주택,611.83
인천광역시 부평구 부평동 10-341번지,37.503199,126.7273172,공동주택,640.79
인천광역시 부평구 부평동 10-343번지,37.503045,126.7273134,공동주택,524.99
인천광역시 부평구 부평동 10-344번지,37.5030653,126.7269855,공동주택,659.84
인천광역시 부평구 부평동 10-345번지,37.5032449,126.726666,공동주택,659.02
인천광역시 부평구 부평동 10-346번지,37.5032624,126.7265173,제2종근린생활시설,396.88
인천광역시 부평구 부평동 10-348번지,37.5031077,126.7263946,단독주택,264.39
인천광역시 부평구 부평동 10-349번지,37.5030963,126.7265441,공동주택,657.76
인천광역시 부평구 부평동 10-351번지,37.5030841,126.7267203,단독주택,510.37
인천광역시 부평구 부평동 10-352번지,37.5028418,126.7270412,공동주택,633.33
인천광역시 부평구 부평동 10-354번지,37.5028661,126.7272786,제2종근린생활시설,437.15
인천광역시 부평구 부평동 10-355번지,37.5028404,126.7275745,단독주택,350.49
인천광역시 부평구 부평동 10-356번지,37.5027607,126.7275635,단독주택,292.65
인천광역시 부평구 부평동 10-357번지,37.5026134,126.7276963,공동주택,328.44
인천광역시 부평구 부평동 10-358번지,37.5027891,126.7277414,공동주택,654.05
인천광역시 부평구 부평동 10-359번지,37.5027252,126.728324,단독주택,570.66
인천광역시 부평구 부평동 10-360번지,37.5027151,126.728461,공동주택,646.04
인천광역시 부평구 부평동 10-361번지,37.5027528,126.7285985,단독주택,153.09
인천광역시 부평구 부평동 10-362번지,37.5025369,126.7284814,단독주택,81.7
인천광역시 부평구 부평동 10-363번지,37.5025458,126.7283683,공동주택,355.6
인천광역시 부평구 부평동 10-364번지,37.5025523,126.7282542,공동주택,307.41
인천광역시 부평구 부평동 10-365번지,37.5025663,126.7281423,단독주택,352.76
인천광역시 부평구 부평동 10-370번지,37.5032254,126.7269577,공동주택,649.48
인천광역시 부평구 부평동 10-371번지,37.5031633,126.7278228,단독주택,182.32
인천광역시 부평구 부평동 10-372번지,37.5032131,126.7271376,공동주택,591.2
인천광역시 부평구 부평동 10-373번지,37.503267,126.7263656,공동주택,650.36
인천광역시 부평구 부평동 10-374번지,37.5027471,126.7280396,공동주택,628.28
인천광역시 부평구 부평동 10-375번지,37.5025768,126.7279227,단독주택,222.3
인천광역시 부평구 부평동 10-376번지,37.5026027,126.7278113,단독주택,297.33
인천광역시 부평구 부평동 10-377번지,37.5032956,126.7259642,공동주택,622.3
인천광역시 부평구 부평동 10-379번지,37.5031715,126.7277037,공동주택,353.07
인천광역시 부평구 부평동 10-380번지,37.5031791,126.727577,공동주택,521.54
인천광역시 부평구 부평동 10-382번지,37.5027366,126.7281838,공동주택,639.58
인천광역시 부평구 부평동 10-383번지,37.5035396,126.7259688,공동주택,653.76
인천광역시 부평구 부평동 10-388번지,37.5031267,126.7281944,공동주택,566.22
