,대지위치,주용도코드명,연면적
97,인천광역시 부평구 갈산동 113-11번지,단독주택,362.17
98,인천광역시 부평구 갈산동 113-12번지,제2종근린생활시설,273.49
99,인천광역시 부평구 갈산동 113-14번지,제1종근린생활시설,378.615
100,인천광역시 부평구 갈산동 113-15번지,제2종근린생활시설,214.155
101,인천광역시 부평구 갈산동 113-1번지,공동주택,782.8199999999999
102,인천광역시 부평구 갈산동 113-1번지,단독주택,94.22
103,인천광역시 부평구 갈산동 113-3번지,공동주택,1152.0900000000001
104,인천광역시 부평구 갈산동 113-4번지,단독주택,145.82999999999998
105,인천광역시 부평구 갈산동 113-5번지,단독주택,223.68
106,인천광역시 부평구 갈산동 113-9번지,제2종근린생활시설,405.81
107,인천광역시 부평구 갈산동 113번지,단독주택,39.67
108,인천광역시 부평구 갈산동 114-4번지,공동주택,233.34
109,인천광역시 부평구 갈산동 114-6번지,제1종근린생활시설,244.385
110,인천광역시 부평구 갈산동 114-7번지,단독주택,76.03
111,인천광역시 부평구 갈산동 114-8번지,단독주택,98.28
112,인천광역시 부평구 갈산동 115-3번지,단독주택,42.98
113,인천광역시 부평구 갈산동 115-3번지,제1종근린생활시설,471.12
114,인천광역시 부평구 갈산동 116번지,단독주택,62.023
115,인천광역시 부평구 갈산동 116번지,제1종근린생활시설,76.92
116,인천광역시 부평구 갈산동 117-10번지,공동주택,329.17
117,인천광역시 부평구 갈산동 117-1번지,제1종근린생활시설,198.0
118,인천광역시 부평구 갈산동 117-3번지,단독주택,104.6
119,인천광역시 부평구 갈산동 117-4번지,단독주택,141.72
120,인천광역시 부평구 갈산동 117-4번지,제2종근린생활시설,842.8
121,인천광역시 부평구 갈산동 117-5번지,단독주택,65.77
122,인천광역시 부평구 갈산동 117-9번지,공동주택,329.36
123,인천광역시 부평구 갈산동 117번지,단독주택,20.17
124,인천광역시 부평구 갈산동 118-10번지,공동주택,449.6
125,인천광역시 부평구 갈산동 118-11번지,단독주택,491.4
126,인천광역시 부평구 갈산동 118-2번지,공동주택,552.6
127,인천광역시 부평구 갈산동 118-9번지,공동주택,449.8
128,인천광역시 부평구 갈산동 12-7번지,단독주택,39.67
129,인천광역시 부평구 갈산동 120-10번지,공동주택,887.47
130,인천광역시 부평구 갈산동 120-13번지,공동주택,575.49
131,인천광역시 부평구 갈산동 120-14번지,공동주택,575.49
132,인천광역시 부평구 갈산동 120-16번지,공동주택,575.49
133,인천광역시 부평구 갈산동 120-17번지,제2종근린생활시설,494.61
134,인천광역시 부평구 갈산동 120-18번지,공동주택,653.11
135,인천광역시 부평구 갈산동 120-19번지,공동주택,648.83
136,인천광역시 부평구 갈산동 120-20번지,공동주택,648.83
137,인천광역시 부평구 갈산동 120-21번지,공동주택,659.77
138,인천광역시 부평구 갈산동 120-22번지,공동주택,319.03
139,인천광역시 부평구 갈산동 120-23번지,공동주택,507.34
140,인천광역시 부평구 갈산동 120-24번지,공동주택,559.64
141,인천광역시 부평구 갈산동 120-25번지,공동주택,585.77
142,인천광역시 부평구 갈산동 120-27번지,공동주택,382.95
143,인천광역시 부평구 갈산동 120-28번지,공동주택,530.44
144,인천광역시 부평구 갈산동 120-3번지,공동주택,408.68
145,인천광역시 부평구 갈산동 120-5번지,제2종근린생활시설,460.18
146,인천광역시 부평구 갈산동 120-8번지,제2종근린생활시설,132.0
147,인천광역시 부평구 갈산동 123-10번지,공동주택,589.59
148,인천광역시 부평구 갈산동 123-8번지,공동주택,650.86
149,인천광역시 부평구 갈산동 123-9번지,공동주택,589.59
150,인천광역시 부평구 갈산동 124-61번지,단독주택,125.19
151,인천광역시 부평구 갈산동 124-62번지,단독주택,151.05
152,인천광역시 부평구 갈산동 124-64번지,단독주택,114.19
153,인천광역시 부평구 갈산동 125-21번지,단독주택,89.09
154,인천광역시 부평구 갈산동 125-9번지,단독주택,72.69
155,인천광역시 부평구 갈산동 12번지,단독주택,395.25
156,인천광역시 부평구 갈산동 131번지,단독주택,50.58
157,인천광역시 부평구 갈산동 14-2번지,단독주택,112.14
158,인천광역시 부평구 갈산동 14-5번지,공동주택,499.79
159,인천광역시 부평구 갈산동 15-5번지,단독주택,158.76
160,인천광역시 부평구 갈산동 151-18번지,단독주택,515.06
161,인천광역시 부평구 갈산동 151-19번지,공동주택,468.0
162,인천광역시 부평구 갈산동 151-1번지,업무시설,1688.74
163,인천광역시 부평구 갈산동 151-29번지,제1종근린생활시설,382.68
164,인천광역시 부평구 갈산동 151-3번지,제2종근린생활시설,720.0
165,인천광역시 부평구 갈산동 158-10번지,제1종근린생활시설,2237.04
166,인천광역시 부평구 갈산동 158-13번지,제2종근린생활시설,153.0
167,인천광역시 부평구 갈산동 158-2번지,제2종근린생활시설,565.85
168,인천광역시 부평구 갈산동 158-3번지,제1종근린생활시설,899.96
169,인천광역시 부평구 갈산동 158-4번지,제2종근린생활시설,966.02
170,인천광역시 부평구 갈산동 158-6번지,단독주택,156.52
171,인천광역시 부평구 갈산동 158-8번지,제1종근린생활시설,1300.36
172,인천광역시 부평구 갈산동 158번지,제1종근린생활시설,590.06
173,인천광역시 부평구 갈산동 159-3번지,공동주택,4788.34
174,인천광역시 부평구 갈산동 159번지,공동주택,29004.06
175,인천광역시 부평구 갈산동 16-10번지,단독주택,150.70999999999998
176,인천광역시 부평구 갈산동 16-11번지,단독주택,75.84
177,인천광역시 부평구 갈산동 16-15번지,단독주택,143.74
178,인천광역시 부평구 갈산동 16-1번지,단독주택,152.76
179,인천광역시 부평구 갈산동 16-22번지,단독주택,308.77
180,인천광역시 부평구 갈산동 16-2번지,단독주택,145.02
181,인천광역시 부평구 갈산동 16-4번지,공동주택,645.1
182,인천광역시 부평구 갈산동 16-5번지,공동주택,926.85
183,인천광역시 부평구 갈산동 16-7번지,단독주택,151.27
184,인천광역시 부평구 갈산동 16-8번지,단독주택,152.76
185,인천광역시 부평구 갈산동 160-10번지,단독주택,72.42
186,인천광역시 부평구 갈산동 160-12번지,단독주택,82.2
187,인천광역시 부평구 갈산동 160-13번지,단독주택,50.44
188,인천광역시 부평구 갈산동 160-14번지,단독주택,124.12
189,인천광역시 부평구 갈산동 160-16번지,단독주택,507.46
190,인천광역시 부평구 갈산동 160-17번지,제1종근린생활시설,150.3
191,인천광역시 부평구 갈산동 160-19번지,단독주택,311.46
