대지위치,주용도코드명,연면적
인천광역시 부평구 갈산동 112-92번지,단독주택,72.89
인천광역시 부평구 갈산동 112-93번지,단독주택,129.6
인천광역시 부평구 갈산동 112-94번지,단독주택,98.09
인천광역시 부평구 갈산동 112-95번지,단독주택,129.6
인천광역시 부평구 갈산동 112-97번지,공동주택,639.9
인천광역시 부평구 갈산동 112-98번지,공동주택,521.6
인천광역시 부평구 갈산동 113-10번지,공동주택,446.31
인천광역시 부평구 갈산동 113-11번지,단독주택,362.17
인천광역시 부평구 갈산동 113-12번지,제2종근린생활시설,273.49
인천광역시 부평구 갈산동 113-14번지,제1종근린생활시설,378.615
인천광역시 부평구 갈산동 113-15번지,제2종근린생활시설,214.155
인천광역시 부평구 갈산동 113-1번지,공동주택,459.06
인천광역시 부평구 갈산동 113-3번지,공동주택,586.19
인천광역시 부평구 갈산동 113-4번지,단독주택,100.74
인천광역시 부평구 갈산동 113-5번지,단독주택,223.68
인천광역시 부평구 갈산동 113-9번지,제2종근린생활시설,405.81
인천광역시 부평구 갈산동 114-4번지,공동주택,233.34
인천광역시 부평구 갈산동 114-6번지,제1종근린생활시설,244.385
인천광역시 부평구 갈산동 114-8번지,단독주택,3.6
인천광역시 부평구 갈산동 115-3번지,제1종근린생활시설,471.12
인천광역시 부평구 갈산동 116번지,단독주택,62.023
인천광역시 부평구 갈산동 116번지,제1종근린생활시설,4.55
인천광역시 부평구 갈산동 117-10번지,공동주택,329.17
인천광역시 부평구 갈산동 117-1번지,제1종근린생활시설,198.0
인천광역시 부평구 갈산동 117-3번지,단독주택,104.6
인천광역시 부평구 갈산동 117-4번지,단독주택,141.72
인천광역시 부평구 갈산동 117-4번지,제2종근린생활시설,842.8
인천광역시 부평구 갈산동 117-5번지,단독주택,60.87
인천광역시 부평구 갈산동 117-9번지,공동주택,329.36
인천광역시 부평구 갈산동 118-10번지,공동주택,449.6
인천광역시 부평구 갈산동 118-11번지,단독주택,491.4
인천광역시 부평구 갈산동 118-2번지,공동주택,552.6
인천광역시 부평구 갈산동 118-9번지,공동주택,449.8
인천광역시 부평구 갈산동 120-10번지,공동주택,524.23
인천광역시 부평구 갈산동 120-13번지,공동주택,575.49
인천광역시 부평구 갈산동 120-14번지,공동주택,575.49
인천광역시 부평구 갈산동 120-16번지,공동주택,575.49
인천광역시 부평구 갈산동 120-17번지,제2종근린생활시설,494.61
인천광역시 부평구 갈산동 120-18번지,공동주택,653.11
인천광역시 부평구 갈산동 120-19번지,공동주택,648.83
인천광역시 부평구 갈산동 120-20번지,공동주택,648.83
인천광역시 부평구 갈산동 120-21번지,공동주택,659.77
인천광역시 부평구 갈산동 120-22번지,공동주택,319.03
인천광역시 부평구 갈산동 120-23번지,공동주택,507.34
인천광역시 부평구 갈산동 120-24번지,공동주택,559.64
인천광역시 부평구 갈산동 120-25번지,공동주택,585.77
인천광역시 부평구 갈산동 120-27번지,공동주택,382.95
인천광역시 부평구 갈산동 120-28번지,공동주택,530.44
인천광역시 부평구 갈산동 120-3번지,공동주택,408.68
인천광역시 부평구 갈산동 120-5번지,제2종근린생활시설,460.18
인천광역시 부평구 갈산동 120-8번지,제2종근린생활시설,132.0
인천광역시 부평구 갈산동 123-10번지,공동주택,589.59
인천광역시 부평구 갈산동 123-8번지,공동주택,650.86
인천광역시 부평구 갈산동 123-9번지,공동주택,589.59
인천광역시 부평구 갈산동 124-61번지,단독주택,125.19
인천광역시 부평구 갈산동 124-62번지,단독주택,77.69
인천광역시 부평구 갈산동 124-64번지,단독주택,109.03
인천광역시 부평구 갈산동 125-21번지,단독주택,89.09
인천광역시 부평구 갈산동 125-9번지,단독주택,72.69
인천광역시 부평구 갈산동 12번지,단독주택,395.25
인천광역시 부평구 갈산동 14-2번지,단독주택,109.16
인천광역시 부평구 갈산동 14-5번지,공동주택,499.79
인천광역시 부평구 갈산동 15-5번지,단독주택,158.76
인천광역시 부평구 갈산동 151-18번지,단독주택,515.06
인천광역시 부평구 갈산동 151-19번지,공동주택,468.0
인천광역시 부평구 갈산동 151-1번지,업무시설,1688.74
인천광역시 부평구 갈산동 151-29번지,제1종근린생활시설,382.68
인천광역시 부평구 갈산동 151-3번지,제2종근린생활시설,720.0
인천광역시 부평구 갈산동 158-10번지,제1종근린생활시설,2237.04
인천광역시 부평구 갈산동 158-13번지,제2종근린생활시설,153.0
인천광역시 부평구 갈산동 158-2번지,제2종근린생활시설,565.85
인천광역시 부평구 갈산동 158-3번지,제1종근린생활시설,899.96
인천광역시 부평구 갈산동 158-4번지,제2종근린생활시설,966.02
인천광역시 부평구 갈산동 158-6번지,단독주택,156.52
