시도명,시군구명,법정읍면동명,법정리명,본번,부번,기초구역번호,2017,2018,2019
인천광역시,부평구,부평동,,185,25,21404,"4,875,000 원","5,166,000 원","5,573,000 원"
인천광역시,부평구,부평동,,185,8,21404,"4,759,000 원","5,045,000 원","5,440,000 원"
인천광역시,부평구,부평동,,159,40,21395,"6,870,000 원","7,490,000 원","8,605,000 원"
인천광역시,부평구,부평동,,159,6,21395,"3,610,000 원","4,530,000 원","5,435,000 원"
인천광역시,부평구,부평동,,185,33,21404,"3,846,000 원","4,537,000 원","5,217,000 원"
인천광역시,부평구,부평동,,185,137,21404,"1,411,000 원","1,725,000 원","1,984,000 원"
인천광역시,부평구,부평동,,159,5,21395,"3,610,000 원","4,530,000 원","5,435,000 원"
인천광역시,부평구,부평동,,185,82,21404,"3,734,000 원","4,500,000 원","5,174,000 원"
인천광역시,부평구,부평동,,159,4,21395,"3,610,000 원","4,530,000 원","5,435,000 원"
인천광역시,부평구,부평동,,185,6,21404,"3,657,000 원","4,408,000 원","5,068,000 원"
인천광역시,부평구,부평동,,159,50,21395,"3,610,000 원","4,530,000 원","5,435,000 원"
인천광역시,부평구,부평동,,159,42,21395,"2,660,000 원","2,863,000 원","3,086,000 원"
인천광역시,부평구,부평동,,185,41,21404,"3,850,000 원","4,640,000 원","5,335,000 원"
인천광역시,부평구,부평동,,159,1,21395,"4,007,000 원","5,028,000 원","6,032,000 원"
