,VIF Factor,features
0,2.8735532806143333,서비스업매출월평균변화량
1,3.7413398570931955,주거인구/직장인구
2,3.8065496277053437,BAS_AR
3,4.069698806838892,외식업매출비율
4,5.0575988399717335,상가밀도
5,7.029326759218859,근린생활시설 비율
6,7.093254075815129,외식업매출월평균변화량
7,7.53589090067196,아파트시세변화_차분평균
