,VIF Factor,features
0,2.2217209879725455,단독주택 비율
1,2.294196578997323,소매업매출월평균변화량
2,2.481794488952134,주거인구/직장인구
3,3.244288742444134,평균최근접정류장거리
4,3.269799683794508,서비스업매출비율
5,3.8600508706411394,외식업매출월평균변화량
6,6.018972208654198,평균최근접역거리
7,6.939864434840172,BAS_AR
8,8.07161225847984,근린생활시설 비율
