연번,아파트명,소재지지번주소,소재지도로명주소,층수,동수,세대수,사용검사,데이터기준일자,address,latitude,longitude
33,동원8차(저),인천광역시 부평구 산곡1동 82-118,인천광역시 부평구 원적로287번길 38,5,3,150,1990-02-10,2019-09-06,인천광역시 부평구 산곡1동 82-118,37.5064654,126.6983376
34,동원6차 (고),인천광역시 부평구 산곡1동 82-36,인천광역시 부평구 길주로326번길 45,10,2,348,1989-05-16,2019-09-06,인천광역시 부평구 산곡1동 82-36,37.5076676,126.6983049
35,재원,인천광역시 부평구 산곡1동 180-329,인천광역시 부평구 원적로 276,5,7,210,1984-12-24,2019-09-06,인천광역시 부평구 산곡1동 180-329,37.5033042,126.6968066
36,삼보,인천광역시 부평구 산곡1동 180-116,인천광역시 부평구 원적로 288,5,4,295,1985-11-06,2019-09-06,인천광역시 부평구 산곡1동 180-116,37.5040058,126.6975469
37,거산,인천광역시 부평구 산곡1동 63-70,인천광역시 부평구 세월천로115번길 21,7,2,72,1997-08-13,2019-09-06,인천광역시 부평구 산곡1동 63-70,37.5138056,126.6977418
38,산곡현대1차,인천광역시 부평구 산곡1동 179-92,인천광역시 부평구 원적로269번길 15,25,5,384,1999-11-13,2019-09-06,인천광역시 부평구 산곡1동 179-92,37.5055025,126.6945346
39,산곡현대2차,인천광역시 부평구 산곡1동 179-69,인천광역시 부평구 원적로269번길 55-5,25,1,199,2001-11-13,2019-09-06,인천광역시 부평구 산곡1동 179-69,37.5065067,126.6927063
40,세창,인천광역시 부평구 산곡1동 65-1,인천광역시 부평구 마곡로 17,14,1,99,2005-08-10,2019-09-06,인천광역시 부평구 산곡1동 65-1,37.5119637,126.6995070
41,신명스카이뷰,인천광역시 부평구 산곡1동 506,인천광역시 부평구 원적로 270,15,4,191,2007-05-10,2019-09-06,인천광역시 부평구 산곡1동 506,37.5043420,126.6961262
42,경남3차,인천광역시 부평구 산곡2동 145,인천광역시 부평구 마장로272번길 76,15,14,916,1992-11-21,2019-09-06,인천광역시 부평구 산곡2동 145,37.5031011,126.7079310
43,뉴서울2차,인천광역시 부평구 산곡2동 264-1,인천광역시 부평구 부흥로123번길 36,17,4,498,1991-07-27,2019-09-06,인천광역시 부평구 산곡2동 264-1,37.4994610,126.7063381
