,BAS_ID,IntHH_RI,IntHH_R2_RI,IntHH_R3_RI,IntHH_R5_RI,IntTekl_RI,IntTekl_R2_RI,IntTekl_R3_RI,IntTekl_R5_RI
0,21300,569.031289354576,9173.697528357057,7364.655991561722,5807.57108701068,4911.250794156893,2986.6853873230834,4004.2064236602732,4118.154992296217
1,21301,209.03933610241188,3396.748481525532,2722.3686183584673,2138.022826738669,1721.0515002038005,1693.172364308393,1531.217694531672,1503.000334277078
2,21302,313.40202454383984,4798.4211192666535,3755.4929816332215,2913.17425224211,2215.5890191830813,2154.5820995249724,1990.679383653228,1968.5314110659756
3,21303,406.5716589472677,6602.475412753469,5161.563338593414,4036.9678093897746,2904.8709705431916,2655.0000698207027,2652.823650987567,2639.1384498697034
4,21304,189.33353643007288,2977.651673017095,2305.8723921441056,1787.7384511046525,1272.860317929841,1321.426996256318,1182.1381454160455,1153.9636203527693
5,21305,411.08934124297934,5455.105611462735,4383.56833843737,3499.2136512533034,2704.938766257295,2192.261316815334,2322.3017045812094,2372.246303411403
6,21306,568.1043548147853,8543.955538625365,6784.707101481477,5333.4459500716475,4097.506042525357,3746.873327726397,3645.9892004517924,3622.863880192229
7,21307,475.07550679263215,6999.069365803575,5576.950441658664,4387.622853374293,3342.6572283199584,3018.065951134666,2981.1502422448298,2967.27819728781
8,21308,359.36796052032315,5607.132758699466,4347.892608741577,3387.8795047044377,2441.5490226221104,2449.2255014119623,2272.689511112295,2217.3426916844815
9,21309,249.08662069789895,3941.6018702406695,2968.503213048948,2255.896471009067,1569.3609056062373,1685.5416929455134,1484.7071870373297,1430.5934605935206
10,21310,314.35265128133244,4979.965926717992,4125.074950661922,3317.3587795264557,2628.2974732758803,2400.745264020651,2301.5832749685874,2294.5794955505376
11,21311,242.33361032122363,3387.511890615085,2733.2941741146433,2180.098942098868,1646.9255087317533,1508.8538776544049,1472.804202275915,1469.713418483408
12,21312,338.8750889716122,4792.921762523024,3837.8971279818325,3032.2589916417064,2213.1113192153257,2246.976261681625,2040.8847092904243,2009.1871927655632
13,21313,298.6403429836125,3657.0575878783075,2969.837675915898,2357.295784066392,1975.401557327747,1568.6413219406056,1636.7311261624359,1672.9729721117562
14,21314,421.3400240825465,7263.423148794131,5444.76855714996,4200.667949257065,2881.675351826747,3281.3685300902903,2757.296225354298,2667.511920074793
15,21315,424.6391586672543,7202.737743598394,5422.740582340993,4179.446593562766,2909.782776121199,3300.8332717322014,2770.5360223311077,2680.58292894977
