BAS_ID,open_7cluster,open_8cluster,open_9cluster,open_10cluster,open_11cluster,open_12cluster,open_13cluster,open_14cluster,open_15cluster,open_16cluster,open_17cluster,open_18cluster,open_19cluster,open_20cluster,open_21cluster,open_22cluster,open_23cluster,open_24cluster,open_25cluster,open_26cluster,open_27cluster,open_28cluster,open_29cluster,open_30cluster,close_7cluster,close_8cluster,close_9cluster,close_10cluster,close_11cluster,close_12cluster,close_13cluster,close_14cluster,close_15cluster,close_16cluster,close_17cluster,close_18cluster,close_19cluster,close_20cluster,close_21cluster,close_22cluster,close_23cluster,close_24cluster,close_25cluster,close_26cluster,close_27cluster,close_28cluster,close_29cluster,close_30cluster
21379,3,3,1,0,6,6,2,0,14,14,14,14,14,14,14,14,6,6,6,6,6,2,2,2,2.0,0.0,6.0,6.0,6.0,6.0,6.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,6.0,6.0,6.0,6.0,2.0,0.0,4.0,4.0,4.0
21380,3,3,1,0,1,1,1,1,0,6,6,6,6,6,6,6,2,0,24,24,24,24,24,24,0.0,6.0,2.0,2.0,2.0,2.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
21381,3,3,1,0,1,1,1,1,0,6,6,6,6,6,6,6,2,0,12,12,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,
21382,3,3,1,0,1,1,1,1,0,6,6,6,6,6,6,6,2,0,24,24,24,24,24,24,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
21383,3,3,1,0,1,1,1,1,0,6,6,6,6,6,6,6,2,0,12,12,5,5,5,5,1.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,6.0,2.0,2.0,2.0,0.0
21384,3,3,1,0,6,6,2,0,14,14,14,14,14,14,14,14,6,6,6,6,6,2,2,2,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,0.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,5.0
21385,3,3,1,0,6,6,2,0,14,14,14,14,14,14,14,14,6,6,6,6,6,2,2,2,1.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,6.0,2.0,2.0,2.0,0.0
21386,3,3,1,0,6,6,2,0,10,10,10,4,1,1,0,21,21,21,21,21,21,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,
21387,3,3,1,0,6,6,2,0,10,10,10,4,1,1,0,3,3,3,3,1,1,1,0,18,2.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
21388,3,3,1,0,6,6,2,0,10,10,10,4,1,1,0,3,3,3,3,1,1,1,0,18,0.0,6.0,2.0,2.0,2.0,2.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,2.0,0.0,24.0,24.0,24.0,24.0,24.0,24.0
